nome,municipio,encontrado_na_busca,aprovado_filtro_automatico,place_id
Game Of Boards,Rio de Janeiro,sim,sim,ChIJu1yUroF_mQAR7qxqAfxKSw4
RED jogos,Rio de Janeiro,sim,sim,ChIJ1SAzAGF_mQARQgP-yrPBxbQ
Bolsa do Infinito,Rio de Janeiro,sim,nao,ChIJA7jlA899mQARAEFLCN4b2oI
Goblin Hero Store,Rio de Janeiro,sim,sim,ChIJ_20ww0LZmwARHjZmY0uwR9I
Player 2 - Jogos de Tabuleiro e Videogame Retrô,Niterói,sim,sim,ChIJvXtOFNqDmQARo9nf7HpT6Z4
Estante 42,Rio de Janeiro,nao,nao,
Magic Store Brasil,Rio de Janeiro,sim,nao,ChIJYzHxUhR-mQARpqVtYD9th0c
Tabuloja,Niterói,sim,nao,ChIJl4L7Lg2DmQAR4gBZHrupFC4
Ludus BG,Rio de Janeiro,sim,nao,ChIJscjzQYPZmwARU5u5vAHiPMk
In Bar Ludus Garage,Rio de Janeiro,sim,sim,ChIJU1AIvR3ZmwARX3zXn0JdzWg
Konklave Funstore,Nova Iguaçu,nao,nao,
Cards of Paradise,Rio de Janeiro,sim,sim,ChIJP3B-ZrJkmQARg8kuYENy-5c
