place_id,nome,endereco,municipio,uf,capital_referencia,recorte_ibge,situacao
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),"Av. Cel. Belchior de Godói, 1330 - Santa Terezinha, Araguari - MG, 38447-218, Brazil",Araguari,MG,Belo Horizonte,Região Metropolitana de Belo Horizonte,fora_da_rm
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,"R. João Balbino, 537 - Santa Mônica, Uberlândia - MG, 38408-265, Brazil",Uberlândia,MG,Belo Horizonte,Região Metropolitana de Belo Horizonte,fora_da_rm
ChIJzcQ9t_ND65QRqkeUm-aANaE,BoardGame in Box,"R. Raja Gabaglia, 326 - Quebec, Londrina - PR, 86060-190, Brazil",Londrina,PR,Curitiba,Região Metropolitana de Curitiba,fora_da_rm
ChIJN40KG6z645QR2XQSR2syQMY,Loja Happy Nerd,"R. Frei Edgar, 89 - Sl 05 - Centro, Joaçaba - SC, 89600-000, Brazil",Joaçaba,SC,Florianópolis,Região Metropolitana de Florianópolis,fora_da_rm
ChIJbd5rjOCx3pQRXkBpFSLvsOk,Grãomestre Boards & Brew,"R. Gothard Kaesemodel, 928 - Sala 2 - Anita Garibaldi, Joinville - SC, 89203-522, Brazil",Joinville,SC,Florianópolis,Região Metropolitana de Florianópolis,fora_da_rm
ChIJJe6LbmTP2JQRekuDVD0eEVA,Ludonave - Jogos e Drinks,"R. Osvaldo Schimitz, 26 - Gravatá, Navegantes - SC, 88372-706, Brazil",Navegantes,SC,Florianópolis,Região Metropolitana de Florianópolis,fora_da_rm
ChIJlR3mn93bYZMRP6xg5L4vg_M,Loja Fantasma Card Game Center,"Av. Jk, 140 - Q.02 L.35 SALA 2 - Res. Tocantins, Rio Verde - GO, 75909-456, Brazil",Rio Verde,GO,Goiânia,Região Metropolitana de Goiânia,fora_da_rm
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brazil",Arapiraca,AL,Maceió,Região Metropolitana de Maceió,fora_da_rm
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,"R. Gen. Abreu, 342 - Cidade Nova, Rio Grande - RS, 96202-570, Brazil",Rio Grande,RS,Porto Alegre,Região Metropolitana de Porto Alegre,fora_da_rm
ChIJqUbogQucEZURHO-GUHAfDs4,Stop Games,"R. Dom Bosco, 484 - Cidade Nova, Rio Grande - RS, 96211-090, Brazil",Rio Grande,RS,Porto Alegre,Região Metropolitana de Porto Alegre,fora_da_rm
ChIJaWBHOg21lwARHT8gg8Y7xEg,Armazém dos Jogos,"R. Niterói, 580 - Jardim Mariléa, Rio das Ostras - RJ, 28895-547, Brazil",Rio das Ostras,RJ,Rio de Janeiro,Região Metropolitana do Rio de Janeiro,fora_da_rm
ChIJOxz30nqrOQcRX7Hke7sTIqQ,Brinquedoteca Sonho de Criança,"R. Pernambuco, 314 - Jardim Vitoria, Itabuna - BA, 45605-510, Brazil",Itabuna,BA,Salvador,Região Metropolitana de Salvador,fora_da_rm
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,"Av. São Paulo, 614 - Boqueirão, Praia Grande - SP, 11701-380, Brazil",Praia Grande,SP,São Paulo,Região Metropolitana de São Paulo,fora_da_rm
ChIJ-emmf1YDzpQRC8b--AztRFM,Coala Games Locadora de Jogos de Tabuleiro,"Av. Mal. Deodoro, 73 - Gonzaga, Santos - SP, 11060-401, Brazil",Santos,SP,São Paulo,Região Metropolitana de São Paulo,fora_da_rm
ChIJ5xTjWy-zvZQRuKHrl2Evgl4,PlayCards,"R. Independência, 3861 - Vila Santo Antonio, São José do Rio Preto - SP, 15014-400, Brazil",São José do Rio Preto,SP,São Paulo,Região Metropolitana de São Paulo,fora_da_rm
ChIJfbpAYqzLyZQRNv5blbdB9Kk,Bardos Game Store,"R. Cel. Ernesto de Oliveira, 440 - Centro, São João da Boa Vista - SP, 13870-249, Brazil",São João da Boa Vista,SP,São Paulo,Região Metropolitana de São Paulo,fora_da_rm
ChIJKUt41jAltgARthoxe_e-_pY,Toca do Lobo - Locadora de Jogos Lúdicos,"R. Carlos Almeida Neto, nº 14 - quadra 15 - Juparanã, Linhares - ES, 29900-600, Brazil",Linhares,ES,Vitória,Região Metropolitana da Grande Vitória,fora_da_rm
ChIJlf0bweWtGgcRGD25GVdiVF4,"Jully Festas, Aluguel de Brinquedos Infláveis em Aracaju, Futebol de Sabão, Touro Mecânico, Tobogã, Escorrega…","Av. Boa Viagem, 809 - Santa Cecília, Nossa Sra. do Socorro - SE, 49160-000, Brazil",Nossa Sra. do Socorro,SE,Aracaju,Região Metropolitana de Aracaju,dentro_da_rm
ChIJjZAoSWazGgcRC0eKTbZyZp8,World Of Games,"Av. Moacir Oliveira - Marcos Freire I, Nossa Sra. do Socorro - SE, 49152-378, Brazil",Nossa Sra. do Socorro,SE,Aracaju,Região Metropolitana de Aracaju,dentro_da_rm
ChIJC0KRp9upGgcRKiF8-jF8FoY,Loja Geek Of Thrones,"R. Jose Manuel Xavier da Silva, 580 - Rosa Maria, São Cristóvão - SE, 49107-006, Brazil",São Cristóvão,SE,Aracaju,Região Metropolitana de Aracaju,dentro_da_rm
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,"R. Manoel João Diniz Camargos, 524 - Alvorada, Contagem - MG, 32042-220, Brazil",Contagem,MG,Belo Horizonte,Região Metropolitana de Belo Horizonte,dentro_da_rm
ChIJ_1Yngo-LpJIRj6otOv7kRn8,FANTASY GAMES - Assistência Técnica Especializada,"Passagem Jarbas Passarinho, 120 A - Atalaia, Ananindeua - PA, 66645-410, Brazil",Ananindeua,PA,Belém,Região Metropolitana de Belém,dentro_da_rm
ChIJld4etAH_3JQRw27WmOOZBgE,PsZ3D,"R. Goiabeira, 75 - Sobreloja - Eucaliptos, Fazenda Rio Grande - PR, 83820-527, Brazil",Fazenda Rio Grande,PR,Curitiba,Região Metropolitana de Curitiba,dentro_da_rm
ChIJrcZiZzfx3JQRojjx3qhX5xc,Modo Avião Board Games,"R. Anneliese Gellert Krigsner, 3202 - Iná, São José dos Pinhais - PR, 83065-470, Brazil",São José dos Pinhais,PR,Curitiba,Região Metropolitana de Curitiba,dentro_da_rm
ChIJ_S4eaAzx3JQRmGn0sZGSqts,SJPlay Board Games (Aluguel de Jogos de Tabuleiro em São José dos Pinhais),"Rua: Profª Lourdes Grutter Bonin, 1182 - Parque da Fonte, São José dos Pinhais - PR, 83050-140, Brazil",São José dos Pinhais,PR,Curitiba,Região Metropolitana de Curitiba,dentro_da_rm
ChIJoSChlA1JJ5URNj9RlBZxa6U,Caverna do Coelho | Aluguel de Jogos de Tabuleiro,"R. César Zuchinali, 12 - Serraria, São José - SC, 88115-210, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJZyPjxFc3J5URCNnFhJDfz20,BRINCADICA BRINQUEDOTECA e CONTRATURNO,"R. Victor Meirelles, 600 - Sl 12 - TÉRREO, São José - SC, 88101-170, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJJz8-gcY3J5URYdZrEXdHaAk,Cineplay- Restaurante e Jogos,"R. Getúlio Vargas, 362 - Centro, São José - SC, 88103-400, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJ186St8s5J5URi82koubWJyU,De Casa Boardgames,"R. Pedro Gregório, 157 - Barreiros, São José - SC, 88117-335, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJK8OwZi82J5UR5WnZNxqg1zQ,Loja Game e Cia - Informática,"R. Wanderlei Júnior, 256 - Shopping Camelão - Loja 167 - Campinas, São José - SC, 88101-010, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJOV7SZY9JJ5URac0ZlEu2HYo,Offline Club - Aluguel de Jogos,"R. Ver. Mário Coelho Pires, 736 - Campinas, São José - SC, 88101-280, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJK3WLgIJJJ5UR0l6znL1hD4w,Play Up Kids - Contraturno e Brinquedoteca,"R. Dom Pedro II, nº494 - Campinas, São José - SC, 88101-320, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJISNOxQxJJ5UR1zgCl3TFoYM,Prime Games Shopping Itaguaçu,"R. Gerôncio Thives, 1079 - Barreiros, São José - SC, 88117-292, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJnT4SINE3J5UR9ZzTUW8OnwM,Storm Card Games,"R. Ver. Arthur Manoel Mariano, 362 - Lj 01 - Forquilhinhas, São José - SC, 88106-500, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJYaaRQxY3J5URP4z5l1MMX6c,Taberna dos Heróis,"R. Francisco Silveira Matos, 62 - Flor de Nápolis, São José - SC, 88106-505, Brazil",São José,SC,Florianópolis,Região Metropolitana de Florianópolis,dentro_da_rm
ChIJu_Xu7PpLxwcRc40wGJaXD_0,Game House SK,"R. Lindomar Castilho - Parque Soledade, Caucaia - CE, 61690, Brazil",Caucaia,CE,Fortaleza,Região Metropolitana de Fortaleza,dentro_da_rm
ChIJTauec15bxwcRgonUqiXj7JE,Jogai tabuleiria - Jogos de tabuleiro,"R. Ceará - Lot. Recanto do Eusébio, Eusébio - CE, 61777-288, Brazil",Eusébio,CE,Fortaleza,Região Metropolitana de Fortaleza,dentro_da_rm
ChIJ541nyd1JxwcRNzn2zaGyLWI,Up Serviços E Games,"Av. Padre José Holanda do Vale, 1590 - Piratininga, Maracanaú - CE, 61905-292, Brazil",Maracanaú,CE,Fortaleza,Região Metropolitana de Fortaleza,dentro_da_rm
ChIJtVrjGWdNxwcRpE1jKUW2pyw,Hack Cards&Games,"Praça Loteamento Mãe Rainha Pacatuba - Monguba, Pacatuba - CE, 61814-901, Brazil",Pacatuba,CE,Fortaleza,Região Metropolitana de Fortaleza,dentro_da_rm
ChIJGbkGXUL3XpMRfX0hiruyMDQ,RPG Alforts,"R. Doná Gercina Borges Teixeira, qd 27 - lt 21 - Bairro Ilda, Aparecida de Goiânia - GO, 74935-610, Brazil",Aparecida de Goiânia,GO,Goiânia,Região Metropolitana de Goiânia,dentro_da_rm
ChIJsT8pxUPxXpMReGQSBqX-LSI,Solo Sacred Cards,"R. H-34, Qd 172 - Lt 2A - Conj. Estrela do Sul, Aparecida de Goiânia - GO, 74936-020, Brazil",Aparecida de Goiânia,GO,Goiânia,Região Metropolitana de Goiânia,dentro_da_rm
