place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJqaN5u0exGgcRL91c0tFi9PE,1,"R. João Mota dos Santos, 950 - Aruana, Aracaju - SE, 49001-400, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJwYg3S2U3jgcR9ceqDLqsrg4,100% Drinks,"R. São Pedro, 905 - Centro (Sul), Teresina - PI, 64001-260, Brazil",Teresina,so_termo_baixa_precisao,quiz bar,restaurant;point_of_interest;food;establishment,4.3,28,,2026-09-01
ChIJfxlyLBIbFgcRYAc9uQueREw,1Dado Mais10,"Av. São Rafael - São Marcos, Salvador - BA, 41253-190, Brazil",Salvador,sem_termo_chave,clube de jogos de tabuleiro;jogos de tabuleiro,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJoYYWG-b_sgcRG6QXSiGY3xM,294 BAR & RESTAURANTE,"Av. Deodoro da Fonseca, 294 - Petrópolis, Natal - RN, 59012-600, Brazil",Natal,so_termo_baixa_precisao,quiz bar,restaurant;bar;seafood_restaurant;food;point_of_interest;establishment,4.5,2176,https://www.instagram.com/bar294/,2026-09-01
ChIJX4KXW4dgXpMRRorL_x1ZbPQ,4+ Poker Friends,"R. Crisandalia, Qd F-2 Lt 13 - St. Dona Iris II, Trindade - GO, 75382-114, Brazil",Goiânia,sem_termo_chave,bar de jogos de tabuleiro;board game café;café de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,4.3,19,http://www.instagram.com/FOURPLUSPOKERFRIENDS,2026-09-01
ChIJV8yzqgFJxwcRqDgn1Lyax0w,5 Elementos Pub,"R. Ana Bilhar, 1180 - Meireles, Fortaleza - CE, 60160-110, Brazil",Fortaleza,so_termo_baixa_precisao,quiz bar,gastropub;bar;restaurant;food;point_of_interest;establishment,4.6,212,,2026-09-01
ChIJjQuJRD2xnZMRc4PT48sJtDg,77 Gastro Pub Restaurante e Lanchonete,"Av. Érico Preza, 13 - Jardim Itália, Cuiabá - MT, 78060-758, Brazil",Cuiabá,so_termo_baixa_precisao,quiz bar,restaurant;food;point_of_interest;establishment,4,309,,2026-09-01
ChIJS8UALzAxO5MRiP3eMKATJYI,A Social Bar,"R. 14 Q 13, 22 - Taquaralto V - Palmas, TO, 77001-970, Brazil",Palmas,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,5,2,,2026-09-01
ChIJlcaoZADLJJMRdeVfwonWCGQ,AGROBAR PALMAS,"Q. 103 Sul Rua SO 11 - 103 Sul, Palmas - TO, 77015-036, Brazil",Palmas,sem_termo_chave,ludobar,bar;point_of_interest;establishment,3.8,13,https://www.instagram.com/agrobar.palmas,2026-09-01
ChIJceKTqssxjgcR0-gvjNnIKQw,ALEGRIA DE BRINCAR,"Q. 206, casa 18 - Dirceu 2, Teresina - PI, 64078-150, Brazil",Teresina,so_termo_baixa_precisao,ludoteca,home_goods_store;service;store;point_of_interest;establishment,5,1,,2026-09-01
