place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJqaN5u0exGgcRL91c0tFi9PE,1,"R. João Mota dos Santos, 950 - Aruana, Aracaju - SE, 49001-400, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJwYg3S2U3jgcR9ceqDLqsrg4,100% Drinks,"R. São Pedro, 905 - Centro (Sul), Teresina - PI, 64001-260, Brazil",Teresina,so_termo_baixa_precisao,quiz bar,restaurant;point_of_interest;food;establishment,4.3,28,,2026-09-01
ChIJoYYWG-b_sgcRG6QXSiGY3xM,294 BAR & RESTAURANTE,"Av. Deodoro da Fonseca, 294 - Petrópolis, Natal - RN, 59012-600, Brazil",Natal,so_termo_baixa_precisao,quiz bar,restaurant;bar;seafood_restaurant;food;point_of_interest;establishment,4.5,2176,https://www.instagram.com/bar294/,2026-09-01
ChIJjQuJRD2xnZMRc4PT48sJtDg,77 Gastro Pub Restaurante e Lanchonete,"Av. Érico Preza, 13 - Jardim Itália, Cuiabá - MT, 78060-758, Brazil",Cuiabá,so_termo_baixa_precisao,quiz bar,restaurant;food;point_of_interest;establishment,4,309,,2026-09-01
ChIJS8UALzAxO5MRiP3eMKATJYI,A Social Bar,"R. 14 Q 13, 22 - Taquaralto V - Palmas, TO, 77001-970, Brazil",Palmas,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,5,2,,2026-09-01
ChIJlcaoZADLJJMRdeVfwonWCGQ,AGROBAR PALMAS,"Q. 103 Sul Rua SO 11 - 103 Sul, Palmas - TO, 77015-036, Brazil",Palmas,sem_termo_chave,ludobar,bar;point_of_interest;establishment,3.8,13,https://www.instagram.com/agrobar.palmas,2026-09-01
ChIJceKTqssxjgcR0-gvjNnIKQw,ALEGRIA DE BRINCAR,"Q. 206, casa 18 - Dirceu 2, Teresina - PI, 64078-150, Brazil",Teresina,so_termo_baixa_precisao,ludoteca,home_goods_store;service;store;point_of_interest;establishment,5,1,,2026-09-01
ChIJKfGDY2vhYY0RweefbOXSwhg,ARKD BAR,"R. Paraná, 640F - Santa Rita, Macapá - AP, 68901-260, Brazil",Macapá,sem_termo_chave,luderia;ludobar;quiz bar,cocktail_bar;hamburger_restaurant;bar;american_restaurant;event_venue;restaurant;food;point_of_interest;establishment,4.7,847,,2026-09-01
ChIJPct5IgBJAQcR9w9rrtalizI,Agario PATA Candy Crush - Unidade Clima Bom,"Tabuleiro do Martins, Maceió - AL, 57037-630, Brazil",Maceió,sem_termo_chave,jogos de tabuleiro;loja de jogos de tabuleiro,store;point_of_interest;establishment,,0,,2026-09-01
ChIJ0aeLBPc5jgcRSOCMeSe9lYI,Al Capone Pub Rock and Blues,"R. Visc. da Parnaíba, 1081 - Ininga, Teresina - PI, 64049-570, Brazil",Teresina,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.6,1007,https://alcaponepub.menudino.com/,2026-09-01
