place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJfxlyLBIbFgcRYAc9uQueREw,1Dado Mais10,"Av. São Rafael - São Marcos, Salvador - BA, 41253-190, Brazil",Salvador,sem_termo_chave,clube de jogos de tabuleiro;jogos de tabuleiro,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJX4KXW4dgXpMRRorL_x1ZbPQ,4+ Poker Friends,"R. Crisandalia, Qd F-2 Lt 13 - St. Dona Iris II, Trindade - GO, 75382-114, Brazil",Goiânia,sem_termo_chave,bar de jogos de tabuleiro;board game café;café de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,4.3,19,http://www.instagram.com/FOURPLUSPOKERFRIENDS,2026-09-01
ChIJV8yzqgFJxwcRqDgn1Lyax0w,5 Elementos Pub,"R. Ana Bilhar, 1180 - Meireles, Fortaleza - CE, 60160-110, Brazil",Fortaleza,so_termo_baixa_precisao,quiz bar,gastropub;bar;restaurant;food;point_of_interest;establishment,4.6,212,,2026-09-01
ChIJKdc2sYI7WpMRJUTFTu557nQ,Abençoado Bar - Asa Norte,"SHCN CLN 207 BL A - Asa Norte, Brasília - DF, 70852-510, Brazil",Brasília,so_termo_baixa_precisao,quiz bar,restaurant;cocktail_bar;bar;point_of_interest;food;establishment,4.7,3036,https://abencoadobar.com.br/abencoado-bar-restaurante-asa-norte/,2026-09-01
ChIJgyCmIbMRbJIRxZ3gQGP9qAU,Adoleta Parque,"Av. Jacira Reis, 18 - Dom Pedro, Manaus - AM, 69033-008, Brazil",Manaus,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,5,4,,2026-09-01
ChIJJdZzNAB5GZURkYcyBk7x9OE,Alcatraz Bar Porto Alegre,"R. Alm. Barroso, 355 - Floresta, Porto Alegre - RS, 90220-021, Brazil",Porto Alegre,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.8,30,,2026-09-01
ChIJaQfYmHVJxwcRwP03Rz5uB34,Alenca's Bar,"R. Gustavo Sampaio, 692 - Parquelândia, Fortaleza - CE, 60455-000, Brazil",Fortaleza,sem_termo_chave,ludobar,bar;point_of_interest;establishment,4.3,1687,https://instagram.com/alencasbar?igshid=YmMyMTA2M2Y=,2026-09-01
ChIJcdm9wXWXpgAR0WDRlPxZB_A,Alipepê,"R. Curral Del Rei, 25 - Padre Eustáquio, Belo Horizonte - MG, 30720-220, Brazil",Belo Horizonte,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.5,15,,2026-09-01
ChIJt_fbtsEabJIRaOqqmmvk4Zc,All Night Pub,"Av. Efigênio Salles, 2085 - Aleixo, Manaus - AM, 69060-020, Brazil",Manaus,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.4,289,https://all-night-pub.cluvi.com.br/,2026-09-01
ChIJpVPtCWYDFgcRM0ydkvWayJM,Alquimia Bar e Petiscaria,"Av. Almirante Marques de Leão, 172 - Lj 1 - Barra, Salvador - BA, 40140-230, Brazil",Salvador,so_termo_baixa_precisao,quiz bar,pub;bar;point_of_interest;establishment,4.9,15,,2026-09-01
ChIJT4G03CjxXpMRkQxq_K4L87M,Ambiência Bar,"Av. Portugal, 1229 - St. Marista, Goiânia - GO, 74150-030, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,pub;bar;restaurant;point_of_interest;food;establishment,4.5,48,https://instagram.com/ambienciabar,2026-09-01
ChIJq6rq9NkaFgcReIH_ahObdio,Americanas,"Alameda Euvaldo Luz, 92 - Bela Vista, Salvador - BA, 41150-125, Brazil",Boa Vista,sem_termo_chave,board game bar,department_store;cell_phone_store;clothing_store;electronics_store;home_goods_store;service;store;point_of_interest;establishment,4.3,366,https://www.americanas.com.br/nossas-lojas?utm_source=google&utm_medium=maps&utm_campaign=gmb_130&utm_content=mn_00_00_go_pacotelocal,2026-09-01
ChIJU8Q58vh_mQAR86pZ53Z6QLs,Animasom Rio Sul,"Shopping Rio Sul - Av. Lauro Sodré, 445 - 1º piso - Botafogo, Rio de Janeiro - RJ, 22290-000, Brazil",Rio de Janeiro,so_termo_baixa_precisao,ludoteca,banquet_hall;amusement_center;event_venue;point_of_interest;establishment,4.9,1229,http://www.animasom.com.br/,2026-09-01
ChIJt8b5P-5_mQARMF3KkPx6yTg,Animasom Shopping Tijuca,"Av. Maracanã, 987 - Tijuca, Rio de Janeiro - RJ, 20511-000, Brazil",Rio de Janeiro,so_termo_baixa_precisao,ludoteca,playground;point_of_interest;establishment,5,1123,http://www.animasom.com.br/,2026-09-01
ChIJx-vbBdg9uAARWjmMZo-VINc,Anti-Heróis Cybercafé e Lan house,"Av. Cel. José Martins de Figueiredo - Tabuazeiro, Vitória - ES, 29043-405, Brazil",Vitória,sem_termo_chave,board game café,internet_cafe;service;point_of_interest;establishment,5,31,https://linktr.ee/antiherois.cybercafe,2026-09-01
ChIJgVZnH7c7J5UROVfXrmJSWl0,Apprentice Workshop,"Rod SC 405, 1120 - Campeche, Florianópolis - SC, 88065-000, Brazil",Florianópolis,sem_termo_chave,jogos de tabuleiro;loja de jogos de tabuleiro;ludoteca,toy_store;manufacturer;consultant;store;point_of_interest;service;establishment,4.8,143,http://oficinadoaprendiz.com.br/,2026-09-01
ChIJ65egMZRRzpQR4fanDyj9Dl4,Arcade Haus - Santo Amaro,"R. Dr. Rubens Gomes Bueno, 288 - Várzea de Baixo, São Paulo - SP, 04730-000, Brazil",São Paulo,so_termo_baixa_precisao,ludoteca,amusement_park;amusement_center;point_of_interest;establishment,4.8,191,https://www.arcadehaus.com.br/,2026-09-01
ChIJ7bh3K2gzWpMRJaIgDmlUIyw,Arcane Arena,"One Park Mall - R. das Paineiras, 06 - Lj 2 - Águas Claras, Brasília - DF, 71928-720, Brazil",Brasília,sem_termo_chave,bar de jogos de tabuleiro;board game;board game bar;café de jogos de tabuleiro;jogos de tabuleiro;ludobar,point_of_interest;store;establishment,4.7,123,https://cardapio.arcanearena.com.br/assets/cardapio-arcane.pdf,2026-09-01
ChIJMROk5FIZqwcRrJpuhpd_n5M,Arcádia Tabuleria,"Rua Almirante Ary Parreiras, 155 - Santo Amaro, Recife - PE, 50100-370, Brazil",Recife,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,point_of_interest;association_or_organization;establishment,,0,https://www.arcadiatabuleria.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1889605379093990036,2026-09-01
ChIJyVX2sZMbbJIRkCD6lfJ1baI,Arkana,"R. Visc. de Pôrto Seguro, 178 - Flores, Manaus - AM, 69058-090, Brazil",Manaus,so_termo_baixa_precisao,quiz bar,cocktail_bar;bar;point_of_interest;establishment,4.8,430,,2026-09-01
ChIJaWBHOg21lwARHT8gg8Y7xEg,Armazém dos Jogos,"R. Niterói, 580 - Jardim Mariléa, Rio das Ostras - RJ, 28895-547, Brazil",Rio Branco,fora_da_rm_da_capital,board game;loja de jogos de tabuleiro,store;point_of_interest;establishment,5,72,https://armazemdosjogos.acervodejogos.com.br/,2026-09-16
ChIJP0EE_bcZqwcRhwh4EoxwUdM,Atacadão Mec Papelaria - Rosarinho,"Av. Norte Miguel Arraes de Alencar, 3311 - Rosarinho, Recife - PE, 52041-005, Brazil",Recife,sem_termo_chave,jogos de tabuleiro,point_of_interest;store;establishment,4.7,96,http://www.atacadaomec.com.br/,2026-09-01
ChIJj10jK6Pl3JQR1fK0UarOy8E,Ateliê de Entusiasmo,"Rua da Sesmaria, 190 - Guabirotuba, Curitiba - PR, 81520-590, Brazil",Curitiba,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.9,9,https://instagram.com/ateliedeentusiasmo?igshid=MzRlODBiNWFlZA==,2026-09-01
ChIJ7Sv8cqUXuAARMny_wRPKWhU,Aventura Kids Vila Velha,"Shopping Vila Velha - Av. Luciano das Neves, 2418 - Piso Térreo - Divino Espírito Santo, Vila Velha - ES, 29107-900, Brazil",Vitória,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.6,18,,2026-09-01
ChIJ_Wf3l1fxXpMRCqXUHjbIQC8,BLEND GASTROBAR,"R. S-1, 237 - St. Bela Vista, Goiânia - GO, 74823-310, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,3.7,788,https://www.blendgastrobar.com.br/,2026-09-01
ChIJKa_5PSU3J5URLBsCWtRR0NA,Balbúrdia Cervejeira Florianópolis,"R. Alm. Lamego, 425 - Centro, Florianópolis - SC, 88015-600, Brazil",Florianópolis,so_termo_baixa_precisao,quiz bar,cocktail_bar;brewery;bar;manufacturer;restaurant;food;point_of_interest;service;establishment,4.8,2726,https://www.balburdiafloripa.com.br/,2026-09-01
ChIJO0mzt-wabJIRFbqQTQP80N0,Bar Do Meio,"Rua Doutora Yamile Nogueira - Parque Dez de Novembro, Manaus - AM, 69054-320, Brazil",Manaus,sem_termo_chave,ludobar,pub;food_court;bar;restaurant;food;point_of_interest;establishment,4.6,143,,2026-09-01
ChIJtW-uiPf1XpMRjkYsEmwif28,Bar Dodô,"R. Horizonte, 160 - Aeroviario, Goiânia - GO, 74435-040, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.5,1939,https://linktr.ee/bardodo,2026-09-01
ChIJDb1WBDHl3JQRE3il9usJErc,Bar Nacional,"R. Mateus Leme, 368 - São Francisco, Curitiba - PR, 80510-190, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,bar_and_grill;bar;restaurant;food;point_of_interest;establishment,4.8,3659,https://www.barnacionalcuritiba.com.br/,2026-09-01
ChIJJ4U2TqcZqwcRg83OBm1F2s4,Bar Real Botequim,"Av. Dezessete de Agosto, 1761 - Casa Forte, Recife - PE, 52061-900, Brazil",Recife,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.3,1509,http://www.realbotequim.com.br/,2026-09-01
ChIJuXujxmc7WpMRkdodghUQ-8w,Bar Responsa,"SHCS CLS 202 Bloco A loja - Plano Piloto, Brasília - DF, 70232-515, Brazil",Brasília,so_termo_baixa_precisao,quiz bar,cocktail_bar;bar;point_of_interest;establishment,4.8,12965,https://www.instagram.com/bar.responsa/,2026-09-01
