place_id,nome,endereco,capital_busca,lat,lng,qt_praias_parques_500m,qt_praias_parques_1000m,qt_shoppings_grandes_500m,qt_shoppings_grandes_1000m,qt_estacoes_metro_500m,qt_estacoes_metro_1000m
ChIJa6-7T2uxGgcR4K-1owvXsuI,Multiverso Game Point,"Tv. 5 Cj Jorn O Dantas, 37 - São Conrado, Aracaju - SE, 49042-971, Brazil",Aracaju,-10.963738,-37.0835852,1,4,0,0,0,0
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,"R. Rio Grande do Sul, 197 - Siqueira Campos, Aracaju - SE, 49075-510, Brazil",Aracaju,-10.9124736,-37.0695374,2,7,0,0,0,0
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,"R. Gen. Abreu, 342 - Cidade Nova, Rio Grande - RS, 96202-570, Brazil",Aracaju;Belém;Boa Vista;Campo Grande;Natal;Porto Velho;Rio de Janeiro,-32.0424838,-52.111675,2,3,0,0,0,0
ChIJY_lqHVLl3JQRvDHacOMDKuc,BoardZ Game Pub,"R. Chile, 2077 - Rebouças, Curitiba - PR, 80220-181, Brazil",Aracaju;Boa Vista;Campo Grande;Curitiba;João Pessoa;Rio de Janeiro,-25.4521863,-49.268752799999994,2,9,0,0,0,0
ChIJbZRHQPRfzpQRz97-ZOg0yXA,Castelos Bar & Boardgames,"R. Serra de Botucatu, 995 - Vila Gomes Cardim, São Paulo - SP, 03317-000, Brazil",Aracaju;São Paulo,-23.542591299999998,-46.5621838,5,17,0,0,0,1
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,"Av. Amazonas, 2310 - Santo Agostinho, Belo Horizonte - MG, 30180-012, Brazil",Belo Horizonte,-19.9276457,-43.954388200000004,5,7,0,1,0,0
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,"R. Nadir, 450 - Caiçara-Adelaide, Belo Horizonte - MG, 30770-420, Brazil",Belo Horizonte,-19.903543199999998,-43.9765941,1,7,0,0,0,0
ChIJ-TwfHyaapgARy0qIc8g0r28,Taberna Santê,"R. Salinas, 2113 - Santa Tereza, Belo Horizonte - MG, 31015-115, Brazil",Belo Horizonte,-19.9141151,-43.915381,2,6,0,1,0,3
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,"R. Manoel João Diniz Camargos, 524 - Alvorada, Contagem - MG, 32042-220, Brazil",Belo Horizonte;Belém;Goiânia,-19.898244599999998,-44.0817006,1,3,0,0,0,0
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,"Av. do Contorno, 7287 - Lourdes, Belo Horizonte - MG, 30110-047, Brazil",Belo Horizonte;Palmas,-19.937802899999998,-43.9449477,5,10,0,0,0,0
