capital,REGIC,min_0,min_0_ativos,min_10,min_10_ativos,min_20,min_20_ativos,min_30,min_30_ativos,min_50,min_50_ativos,min_100,min_100_ativos
Metrópoles,,474,137,387,122,340,105,311,95,266,82,192,48
Belo Horizonte,Metrópole,35,8,28,7,25,7,25,7,20,5,18,4
Belém,Metrópole,25,5,19,4,15,3,10,2,9,2,6,1
Brasília,Metrópole Nacional,24,15,20,13,17,11,16,10,15,9,11,7
Curitiba,Metrópole,33,12,29,11,28,10,24,8,21,7,15,5
Florianópolis,Metrópole,31,12,23,10,19,8,18,7,14,5,9,1
Fortaleza,Metrópole,43,5,34,5,33,5,31,5,24,4,20,4
Goiânia,Metrópole,35,10,25,9,24,8,22,7,18,6,13,3
Manaus,Metrópole,26,7,23,7,18,6,16,4,14,3,10,1
Porto Alegre,Metrópole,32,10,26,7,25,7,25,7,24,6,14,2
Recife,Metrópole,32,7,28,6,28,6,24,6,22,6,16,3
Rio de Janeiro,Metrópole Nacional,46,18,39,16,32,14,26,13,21,11,14,6
Salvador,Metrópole,26,5,19,5,17,3,17,3,12,2,8,1
São Paulo,Grande Metrópole Nacional,59,19,54,18,45,15,44,15,41,15,29,9
Vitória,Metrópole,27,4,20,4,14,2,13,1,11,1,9,1
Capitais Regionais,,263,60,177,47,155,38,133,31,97,24,67,16
Aracaju,Capital Regional A,20,3,14,3,12,3,12,3,9,2,6,1
Boa Vista,Capital Regional C,11,1,6,1,5,0,4,0,3,0,2,0
Campo Grande,Capital Regional A,31,8,24,8,23,8,20,6,14,4,9,2
Cuiabá,Capital Regional A,23,2,11,1,9,1,6,1,5,1,5,1
João Pessoa,Capital Regional A,29,7,23,5,22,4,21,4,14,3,9,2
Macapá,Capital Regional C,13,4,10,2,9,2,8,2,5,0,3,0
Maceió,Capital Regional A,27,7,15,6,11,4,11,4,8,4,7,3
Natal,Capital Regional A,23,6,19,6,17,5,15,4,13,4,11,4
Palmas,Capital Regional B,20,7,13,3,12,3,9,2,9,2,5,2
Porto Velho,Capital Regional B,9,2,7,2,5,1,2,0,1,0,1,0
Rio Branco,Capital Regional C,11,4,7,3,6,2,5,2,3,1,2,1
São Luís,Capital Regional A,26,4,12,3,11,3,9,1,7,1,4,0
Teresina,Capital Regional A,20,5,16,4,13,2,11,2,6,2,3,0
TOTAL_UNICOS,,737,197,564,169,495,143,444,126,363,106,259,64
