place_id,nome,endereco,capital_busca,origem,match_tipo,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,ultima_avaliacao_data,ativo_6m,site_ou_rede_social,instagram_usuario,telefone,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJr-agjM2zGgcRUxwiaZwGD04,Arte Em Cards,"R. Lindalva Silva Dantas, 47 - Ponto Novo, Aracaju - SE, 49047-456, Brazil",Aracaju,busca_automatica,nome+avaliacao,outro,association_or_organization;point_of_interest;establishment,4.9,32,OPERATIONAL,2026-06-25,sim,https://www.ligamagic.com.br/?view=ecom/home&id=745133,,+55 79 93300-4865,https://maps.google.com/?cid=5624721728457546835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJyxR13o-zGgcR7PIPDruoLcY,Barreto Games & Assistência.,"Av. Franklin de Campos Sobral, 2238 - Grageru, Aracaju - SE, 49027-000, Brazil",Aracaju,busca_automatica,nome,loja,service;point_of_interest;store;establishment,4.9,231,OPERATIONAL,,inconclusivo,http://www.barretogames.com.br/,,+55 79 99838-9153,https://maps.google.com/?cid=14280255514809987820&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJU2O7Ds6xGgcR4QyZYEDOjC8,Encanta Brinquedos,"Shopping Praia Sul - Av. Melício Machado, 4880 - Aruana, Aracaju - SE, 49038-445, Brazil",Aracaju,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,5,12,OPERATIONAL,,inconclusivo,,,+55 79 98123-2118,https://maps.google.com/?cid=3426340192415976673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJL4dRqGGzGgcRPMR_LXvl-B8,Estacao Jogos,"Av. Ministro Geraldo Barreto Sobral, 215 - Jardins, Aracaju - SE, 49026-010, Brazil",Aracaju,busca_automatica,nome,outro,video_arcade;point_of_interest;establishment,4.3,501,OPERATIONAL,,inconclusivo,http://shoppingjardins.com.br/,,+55 79 3217-6028,https://maps.google.com/?cid=2303843526607094844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJl-nNCfGzGgcRh2XJP5ca7ZM,Game Station - Shopping RioMar Aracaju,"R. Delmiro Gouvêia, 400 - Coroa do Meio, Aracaju - SE, 49035-500, Brazil",Aracaju,busca_automatica,nome,outro,amusement_park;amusement_center;point_of_interest;establishment,4.3,1231,OPERATIONAL,2025-09-25,inconclusivo,http://www.gamestation.com.br/,,+55 79 3231-5797,https://maps.google.com/?cid=10659205129968379271&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJAWKaZByzGgcRZ-R91C0S2jE,Jogos Aju,"Av. Prof. Acrísio Cruz, 549 - 13 de Julho, Aracaju - SE, 49020-210, Brazil",Aracaju,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.5,57,OPERATIONAL,2026-07-07,sim,,,+55 79 99956-5677,https://maps.google.com/?cid=3592203640829240423&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJlf0bweWtGgcRGD25GVdiVF4,"Jully Festas, Aluguel de Brinquedos Infláveis em Aracaju, Futebol de Sabão, Touro Mecânico, Tobogã, Escorrega…","Av. Boa Viagem, 809 - Santa Cecília, Nossa Sra. do Socorro - SE, 49160-000, Brazil",Aracaju,busca_automatica,nome,outro,point_of_interest;establishment,5,33,OPERATIONAL,2026-02-04,inconclusivo,,,+55 79 98163-3920,https://maps.google.com/?cid=6797165863842168088&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJC0KRp9upGgcRKiF8-jF8FoY,Loja Geek Of Thrones,"R. Jose Manuel Xavier da Silva, 580 - Rosa Maria, São Cristóvão - SE, 49107-006, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,30,OPERATIONAL,,inconclusivo,http://instabio.cc/lojageekofthrones,,+55 79 99842-8101,https://maps.google.com/?cid=9662046604667658538&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ_2rRoVuxGgcRJ4HRTiX5Tpg,"Misael fest kids locação de brinquedos em Aracaju, aluguel de futebol de sabão, touro mecânico p festas e eventos","R. Ferroviário José Matias de Siqueira - São Conrado, Aracaju - SE, 49042-720, Brazil",Aracaju,busca_automatica,nome,outro,service;point_of_interest;establishment,5,73,OPERATIONAL,2025-07-21,inconclusivo,https://www.misaelfestkids.org/,,+55 79 99991-0196,https://maps.google.com/?cid=10974983280579936551&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJa6-7T2uxGgcR4K-1owvXsuI,Multiverso Game Point,"Tv. 5 Cj Jorn O Dantas, 37 - São Conrado, Aracaju - SE, 49042-971, Brazil",Aracaju,busca_automatica,nome,alimentos_bebidas,toy_store;cafe;store;point_of_interest;food;establishment,4.9,178,OPERATIONAL,2020-01-17,inconclusivo,http://www.multiversogamepoint.store/,,+55 79 99199-9206,https://maps.google.com/?cid=16335355243417415648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
