place_id,nome,endereco,capital_endereco,origem,match_tipo,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,ultima_avaliacao_data,ativo_6m,site_ou_rede_social,instagram_usuario,telefone,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJr-agjM2zGgcRUxwiaZwGD04,Arte Em Cards,"R. Lindalva Silva Dantas, 47 - Ponto Novo, Aracaju - SE, 49047-456, Brazil",Aracaju,busca_automatica,nome+avaliacao,outro,association_or_organization;point_of_interest;establishment,4.9,32,OPERATIONAL,2026-06-25,sim,https://www.ligamagic.com.br/?view=ecom/home&id=745133,,+55 79 93300-4865,https://maps.google.com/?cid=5624721728457546835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJL4dRqGGzGgcRPMR_LXvl-B8,Estacao Jogos,"Av. Ministro Geraldo Barreto Sobral, 215 - Jardins, Aracaju - SE, 49026-010, Brazil",Aracaju,busca_automatica,nome,outro,video_arcade;point_of_interest;establishment,4.3,501,OPERATIONAL,,inconclusivo,http://shoppingjardins.com.br/,,+55 79 3217-6028,https://maps.google.com/?cid=2303843526607094844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJl-nNCfGzGgcRh2XJP5ca7ZM,Game Station - Shopping RioMar Aracaju,"R. Delmiro Gouvêia, 400 - Coroa do Meio, Aracaju - SE, 49035-500, Brazil",Aracaju,busca_automatica,nome,outro,amusement_park;amusement_center;point_of_interest;establishment,4.3,1231,OPERATIONAL,2025-09-25,inconclusivo,http://www.gamestation.com.br/,,+55 79 3231-5797,https://maps.google.com/?cid=10659205129968379271&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJAWKaZByzGgcRZ-R91C0S2jE,Jogos Aju,"Av. Prof. Acrísio Cruz, 549 - 13 de Julho, Aracaju - SE, 49020-210, Brazil",Aracaju,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.5,57,OPERATIONAL,2026-07-07,sim,,,+55 79 99956-5677,https://maps.google.com/?cid=3592203640829240423&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJC0KRp9upGgcRKiF8-jF8FoY,Loja Geek Of Thrones,"R. Jose Manuel Xavier da Silva, 580 - Rosa Maria, São Cristóvão - SE, 49107-006, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,30,OPERATIONAL,,inconclusivo,http://instabio.cc/lojageekofthrones,,+55 79 99842-8101,https://maps.google.com/?cid=9662046604667658538&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJa6-7T2uxGgcR4K-1owvXsuI,Multiverso Game Point,"Tv. 5 Cj Jorn O Dantas, 37 - São Conrado, Aracaju - SE, 49042-971, Brazil",Aracaju,busca_automatica,nome,alimentos_bebidas,toy_store;cafe;store;point_of_interest;food;establishment,4.9,178,OPERATIONAL,2020-01-17,inconclusivo,http://www.multiversogamepoint.store/,,+55 79 99199-9206,https://maps.google.com/?cid=16335355243417415648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ5yyvSiKxGgcRGRWdYwkSrIQ,Nakamura Games,"Av. Prof. José Freitas de Andrade, 3749 - Coroa do Meio, Aracaju - SE, 49035-680, Brazil",Aracaju,busca_automatica,nome,loja,point_of_interest;store;establishment,4.9,476,OPERATIONAL,,inconclusivo,https://api.whatsapp.com/send?phone=557933021690,,,https://maps.google.com/?cid=9560035940535964953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJgUmct368AyERlF3sHZlR6xw,Nyquist Games,"R. Euclídes Góis - Coroa do Meio, Aracaju - SE, 49035-310, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1,OPERATIONAL,,inconclusivo,https://www.instagram.com/nyquist.games/,nyquist.games,+55 79 99110-4172,https://maps.google.com/?cid=2083848970662862228&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJk5_aLwCzGgcRm3096HT42cs,Play Games Aracaju | Parque Shopping,"Av. João Rodrigues, 42 - Industrial, Aracaju - SE, 49065-450, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1,OPERATIONAL,2025-12-30,inconclusivo,,,,https://maps.google.com/?cid=14689044840641822107&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJVdzA2r6xGgcRSlifGZ6sFcQ,RPG Comando,"rua, 98 - Aruana, Aracaju - SE, 49000-689, Brazil",Aracaju,busca_automatica,nome,outro,point_of_interest;service;establishment,,0,OPERATIONAL,,inconclusivo,,,+55 79 98138-3044,https://maps.google.com/?cid=14129389200979482698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJWRzlpWmzGgcR_Jo6zSBwWGk,Sandro games oficial,"Avenida Mascarenhas de Morais - Centro, Aracaju - SE, 49010-010, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,3.8,10,OPERATIONAL,,inconclusivo,,,+55 79 99822-4404,https://maps.google.com/?cid=7590940458117405436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,"R. Rio Grande do Sul, 197 - Siqueira Campos, Aracaju - SE, 49075-510, Brazil",Aracaju,busca_automatica,nome,alimentos_bebidas,cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4,4,OPERATIONAL,2024-01-18,inconclusivo,https://instagram.com/_tabuleirodoacaraje?igshid=NDk5N2NlZjQ=,_tabuleirodoacaraje,+55 79 99662-2033,https://maps.google.com/?cid=16444760296649366736&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ7RCGLeuJf00RljVImieDL5Y,Tabulendário - Jogos de Tabuleiro / Boardgames em Aracaju,"Av. Conselheiro João Moreira Filho, 2151 - Coroa do Meio, Aracaju - SE, 49035-655, Brazil",Aracaju,busca_automatica,nome,outro,association_or_organization;point_of_interest;establishment,4.5,8,OPERATIONAL,2026-03-05,inconclusivo,https://www.tabulendario.com/,,+55 79 98135-5465,https://maps.google.com/?cid=10822012635709978006&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ13nDt46zGgcRRUaT9vaaEek,True King's Card Shop,"R. Gen. Chaves, 107 - Sala 2 - São José, Aracaju - SE, 49015-310, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,7,OPERATIONAL,,inconclusivo,https://mypcards.com/TrueKingsStore/yugioh,,+55 79 99602-4568,https://maps.google.com/?cid=16794374870930769477&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJjZAoSWazGgcRC0eKTbZyZp8,World Of Games,"Av. Moacir Oliveira - Marcos Freire I, Nossa Sra. do Socorro - SE, 49152-378, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,4.7,87,OPERATIONAL,,inconclusivo,https://www.instagram.com/world_ofgames10/,world_ofgames10,+55 79 99122-7194,https://maps.google.com/?cid=11485994026965550859&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJB_zo5UAFk40RKz8bUNhtO2Q,Elenda Games,"R. Nilo Brandão, 368 - Calunga, Boa Vista - RR, 69303-240, Brazil",Boa Vista,busca_automatica,nome,loja,store;point_of_interest;establishment,5,3,OPERATIONAL,,inconclusivo,https://instagram.com/elendagames,elendagames,+55 95 99172-1658,https://maps.google.com/?cid=7222487203243048747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJy9pOFzAFk40RXZ1DcdoCKV0,Elenda Games Alvorada - Filial,"R. Z-3, 1132 - Alvorada, Boa Vista - RR, 69317-192, Brazil",Boa Vista,busca_automatica,nome,loja,point_of_interest;store;establishment,5,6,OPERATIONAL,,inconclusivo,http://instagram.com/elendagames,elendagames,+55 95 99172-1658,https://maps.google.com/?cid=6712899856798817629&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJuX7PULsFk40RW3zyoKu8ng4,Mania Games Technology,"AV: Mario homem de melo, 5662 - Tancredo Neves, Boa Vista - RR, 69313-522, Brazil",Boa Vista,busca_automatica,nome,loja,store;point_of_interest;establishment,4.4,29,OPERATIONAL,,inconclusivo,,,+55 95 99123-5127,https://maps.google.com/?cid=1053486808176950363&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJnQ5RFfsFk40RBiwSV0NJNQk,Mimosa Geek,"Av. Maj. Williams, 1009 - Centro, Boa Vista - RR, 69305-085, Brazil",Boa Vista,busca_automatica,nome,loja,store;point_of_interest;establishment,5,2,OPERATIONAL,,inconclusivo,,,+55 95 99169-3360,https://maps.google.com/?cid=663517073679461382&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ8VbDMiwEk40RzQJ0VIHWlKE,Seven Games RR,"R. Peixe Boi, 38 - Santa Tereza, Boa Vista - RR, 69314-074, Brazil",Boa Vista,busca_automatica,nome,outro,corporate_office;point_of_interest;establishment,4.7,117,OPERATIONAL,,inconclusivo,,,+55 95 99144-9737,https://maps.google.com/?cid=11643166787615589069&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJW4Rfhh4Hk40Rn9xq1cgWVus,Style Geek Centro,"Av. Silvio Botelho - Centro, Boa Vista - RR, 69301-330, Brazil",Boa Vista,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1,OPERATIONAL,,inconclusivo,,,+55 95 99142-9328,https://maps.google.com/?cid=16957766498740001951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJsV5jFFoHk40RhlJyuhqYhfc,TidiPlay Jogos e Games,"R. Mte. Diogo, 157/2 - Trinta e Um de Março, Boa Vista - RR, 69305-410, Brazil",Boa Vista,busca_automatica,nome+avaliacao,loja,toy_store;point_of_interest;store;establishment,4.9,12,OPERATIONAL,2026-04-02,sim,,,+55 95 98110-2279,https://maps.google.com/?cid=17835829139835343494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
