place_id,nome,endereco,capital_endereco,origem,match_tipo,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,ultima_avaliacao_data,ativo_6m,site_ou_rede_social,instagram_usuario,telefone,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJ__9TTnxCzpQRwVSzrOijkRY,Bravo Jogos,"Rua Coronel Alfredo Flaquer, 411 - Centro, Santo André - SP, 09020-030, Brazil",São Paulo,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.9,1719,OPERATIONAL,2025-09-07,inconclusivo,https://bravojogos.com.br/,,+55 11 4427-1724,https://maps.google.com/?cid=1626261160182633665&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJY_lqHVLl3JQRvDHacOMDKuc,BoardZ Game Pub,"R. Chile, 2077 - Rebouças, Curitiba - PR, 80220-181, Brazil",Curitiba,busca_automatica,nome+avaliacao,alimentos_bebidas,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.8,776,OPERATIONAL,2024-11-09,inconclusivo,https://boardzgamepub.com.br/,,+55 41 3078-9343,https://maps.google.com/?cid=16657130447169008060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJhSTdlebzXpMRf01LEaFa--8,Ludris Casa de Boardgames,"R. 6-A, 830 - Qd 58 Lt 12 - St. Aeroporto, Goiânia - GO, 74070-070, Brazil",Goiânia,busca_automatica,nome+avaliacao,loja,store;point_of_interest;establishment,4.9,82,OPERATIONAL,2026-08-07,sim,https://www.instagram.com/ludrisboardgames/,ludrisboardgames,+55 62 98644-7637,https://maps.google.com/?cid=17292514842045533567&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJNcHw7jNYzpQRKRHPOrb4jEw,Play Easy,"R. Pedro Taques, 47 - Cerqueira César, São Paulo - SP, 01415-010, Brazil",São Paulo,busca_automatica,avaliacao,loja,association_or_organization;toy_store;store;point_of_interest;establishment,4.7,1002,OPERATIONAL,2026-05-01,sim,https://playeasy.com.br/,,+55 11 2594-9933,https://maps.google.com/?cid=5516057105176400169&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJmeoX-RpZzpQR4joLam_WngM,Akagami Card Games e Colecionáveis,"R. Antônio Carlos, 686 - Cerqueira César, São Paulo - SP, 01309-010, Brazil",São Paulo,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.7,59,OPERATIONAL,,inconclusivo,https://akagami.com.br/,,+55 11 98409-3995,https://maps.google.com/?cid=260881602442902242&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJbZRHQPRfzpQRz97-ZOg0yXA,Castelos Bar & Boardgames,"R. Serra de Botucatu, 995 - Vila Gomes Cardim, São Paulo - SP, 03317-000, Brazil",São Paulo,busca_automatica,nome+avaliacao,alimentos_bebidas,bar;association_or_organization;point_of_interest;establishment,4.6,617,OPERATIONAL,2024-08-15,inconclusivo,http://www.castelosbar.com.br/,,+55 11 3564-0577,https://maps.google.com/?cid=8127085175298252495&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJEXWGxDD5zpQRc6mmlhKeyuI,Meca dos Jogos - Loja de Boardgames!,"R. Jesuíno Antônio Batista, 417 - Jardim Guarani, São Paulo - SP, 02851-080, Brazil",São Paulo,busca_automatica,nome,loja,store;point_of_interest;association_or_organization;establishment,4.8,47,OPERATIONAL,,inconclusivo,https://www.mecadosjogos.com.br/,,+55 11 94932-6543,https://maps.google.com/?cid=16342048000541370739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ2eMCGACRpgARoWEjX5VaIkI,Arcade Save Point,"Av. Sebastião de Brito, 287 - Sl 3 - Dona Clara, Belo Horizonte - MG, 31260-000, Brazil",Belo Horizonte,triagem_manual,,outro,video_arcade;association_or_organization;point_of_interest;establishment,4.6,14,OPERATIONAL,,inconclusivo,,,+55 31 99901-3047,https://maps.google.com/?cid=4765470953304187297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,sim,,,,
ChIJDTIXkfuZpgAR4Wd-CrQu2Ik,BH Games,"R. Curvelo, 32 - Lj 15 - Floresta, Belo Horizonte - MG, 31015-172, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;point_of_interest;store;establishment,4.5,585,OPERATIONAL,,inconclusivo,http://www.bhgames.com.br/,,+55 31 2526-6990,https://maps.google.com/?cid=9932740328970676193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJQ-UyX32bpgARJcyelgu6UGk,"Clube Mineiro de Wargames: Warhammer, Age of Sigmar, One Page Rules, Senhor dos Anéis, FrostGrave e muito mais.","R. Padre Júlio Maria, 93 - Vera Cruz, Belo Horizonte - MG, 30285-360, Brazil",Belo Horizonte,busca_automatica,nome,outro,point_of_interest;association_or_organization;establishment,,0,OPERATIONAL,,inconclusivo,https://www.instagram.com/cm.wargame/,cm.wargame,+55 31 3452-5920,https://maps.google.com/?cid=7588769931053681701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
