place_id,nome,endereco,capital_endereco,origem,match_tipo,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,ultima_avaliacao_data,ativo_6m,site_ou_rede_social,instagram_usuario,telefone,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJW3LzC-OZpgARnd4gdGxlzeA,MK Games BH,"R. da Bahia, 1032 - Sl 606 - Centro, Belo Horizonte - MG, 30160-010, Brazil",Belo Horizonte,busca_automatica,nome,loja,point_of_interest;store;establishment,4.9,3473,OPERATIONAL,,inconclusivo,http://www.mkgamesbh.com.br/,,+55 31 2527-0858,https://maps.google.com/?cid=16198714951200726685&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJtwr4B2uapgARmoNuWVdPSUY,ZEUS GAMES BH,"Av. Cristiano Machado, 1682 - Lj 12 - Cidade Nova, Belo Horizonte - MG, 31170-024, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,4.9,2301,OPERATIONAL,,inconclusivo,http://www.zeusgames.com.br/,,+55 31 2527-5080,https://maps.google.com/?cid=5064666492535997338&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,"Av. do Contorno, 7287 - Lourdes, Belo Horizonte - MG, 30110-047, Brazil",Belo Horizonte,busca_automatica,nome,alimentos_bebidas,cocktail_bar;bar;point_of_interest;establishment,4.6,1505,OPERATIONAL,2026-06-08,sim,http://shelfbar.com.br/,,+55 31 98255-3780,https://maps.google.com/?cid=12305022781081969916&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJwaTDkNuZpgARtBvCnEZjrUY,Savassi Games,"Rua Antônio de Albuquerque, 606 - sala 203 - Praça da Savassi, Edifício Fraternia, mesmo prédio da Melissa Calçados - 2º andar - Savassi, Belo Horizonte - MG, 30112-010, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,4.8,1357,OPERATIONAL,2024-09-30,inconclusivo,https://savassigames.com.br/,,+55 31 99378-0001,https://maps.google.com/?cid=5092835908554726324&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJieP16UCZpgAR8zqQEUSe5oM,Stone Games,"Antônio Braga - Av. Afonso Pena, 578 - Sala 302 Ed - Centro, Belo Horizonte - MG, 30130-002, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1318,OPERATIONAL,,inconclusivo,https://stonegamesloja.com.br/,,,https://maps.google.com/?cid=9504458078801640179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ-TwfHyaapgARy0qIc8g0r28,Taberna Santê,"R. Salinas, 2113 - Santa Tereza, Belo Horizonte - MG, 31015-115, Brazil",Belo Horizonte,busca_automatica,avaliacao,alimentos_bebidas,pub;brewery;bar;service;point_of_interest;manufacturer;food;establishment,4.6,1145,OPERATIONAL,2019-05-23,inconclusivo,http://www.instagram.com/tabernasante,tabernasante,+55 31 99140-9211,https://maps.google.com/?cid=8047709094670781131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJKURw7A2apgARheRIbSu9Pgo,UGCardShop,"R. dos Pampas, 17 - Prado, Belo Horizonte - MG, 30411-073, Brazil",Belo Horizonte,busca_automatica,nome+avaliacao,loja,toy_store;store;point_of_interest;establishment,4.6,1030,OPERATIONAL,2024-07-04,inconclusivo,http://www.ugcardshop.com.br/,,+55 31 3654-9237,https://maps.google.com/?cid=738235383150077061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJw_XYxmaZpgARvqB0k8rFBs8,Game X,"Av. Augusto de Lima, 479 - Sl 1511 - Centro, Belo Horizonte - MG, 30190-000, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,4.9,968,OPERATIONAL,,inconclusivo,http://www.gamexbh.com.br/,,+55 31 3646-3810,https://maps.google.com/?cid=14917828289559306430&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJAVe-obmWpgARQx8-GQoKutU,Elite Games BH,"Xingu Mall - Av. Abílio Machado, 1664 - Box 97/98 - Alípio de Melo, Belo Horizonte - MG, 30830-000, Brazil",Belo Horizonte,busca_automatica,nome,loja,electronics_store;store;point_of_interest;establishment,4.5,652,OPERATIONAL,,inconclusivo,http://www.elitegamesbh.com/,,+55 31 99131-0191,https://maps.google.com/?cid=15400632914236284739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJDTIXkfuZpgAR4Wd-CrQu2Ik,BH Games,"R. Curvelo, 32 - Lj 15 - Floresta, Belo Horizonte - MG, 31015-172, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;point_of_interest;store;establishment,4.5,585,OPERATIONAL,,inconclusivo,http://www.bhgames.com.br/,,+55 31 2526-6990,https://maps.google.com/?cid=9932740328970676193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
