place_id,nome,endereco,capital_busca,termos_busca,termos_alta_precisao,varejo_grande,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,site_ou_rede_social,instagram_usuario,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,observacao,tem_fotos_maps,fotos_comprovam,tem_instagram,instagram_comprova
ChIJGw1wLolZzpQRZGdr_DjXmUE,Newstation SP,"R. Rio Grande, 48 - LOJA1 - Vila Mariana, São Paulo - SP, 04018-000, Brazil",São Paulo,loja de RPG;loja de card game;loja de jogos de tabuleiro,3,nao,loja,book_store;toy_store;store;point_of_interest;establishment,4.5,360,OPERATIONAL,http://www.newstationsp.com.br/,,https://maps.google.com/?cid=4727045923655083876&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJd5zin4vdrAcRH0y9xYoGIRo,Castelo dos Mestres,"Av. Piauí, 595 - loja 06 - Estados, João Pessoa - PB, 58030-030, Brazil",João Pessoa,loja de RPG;loja de card game;loja de jogos de tabuleiro,3,nao,loja,store;point_of_interest;establishment,4.2,11,OPERATIONAL,https://www.castelodosmestrestcg.com.br/,,https://maps.google.com/?cid=1882793312310348831&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJIbX9jH9GAQcRct6b3MT3qGA,Leitura,"Av. Comendador Gustavo Paiva, 5.945 - Cruz das Almas, Maceió - AL, 57038-000, Brazil",Maceió,board game;loja de card game;loja de jogos de tabuleiro,2,nao,loja,book_store;point_of_interest;store;establishment,4.7,3100,OPERATIONAL,http://www.leitura.com.br/,,https://maps.google.com/?cid=6965089248615325298&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJs20TRCXxXpMRTlY5fzlGHFY,Livraria Leitura,"Av. T-10, 1300 - St. Bueno, Goiânia - GO, 74223-063, Brazil",Goiânia,loja de RPG;loja de jogos de tabuleiro,2,nao,loja,book_store;store;point_of_interest;establishment,4.6,3055,OPERATIONAL,https://leitura.com.br/,,https://maps.google.com/?cid=6204911599371245134&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJv7RU7Wjk3JQRSisu6WmZ5Ws,Lima Hobbies,"Av. Sete de Setembro, 2775 - Rebouças, Curitiba - PR, 80230-010, Brazil",Curitiba,board game;loja de RPG;loja de card game,2,nao,loja,toy_store;store;point_of_interest;establishment,4.6,1680,OPERATIONAL,http://www.limahobbies.com.br/,,https://maps.google.com/?cid=7774789011887762250&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJVVXlRCE4J5URyV8l3c_i4L8,Fenix GZ,"R. Francisco Tolentino, 315 - Box 55 - Centro, Florianópolis - SC, 88010-913, Brazil",Florianópolis,loja de RPG;loja de card game,2,nao,loja,cell_phone_store;toy_store;store;point_of_interest;service;establishment,4.7,394,OPERATIONAL,https://www.fenixgz.com.br/,,https://maps.google.com/?cid=13826300238423744457&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJuV9fZdg5jgcRqeHy34--xFY,Playbox,"R. Areolino de Abreu, 1392 - Centro (Sul), Teresina - PI, 64000-180, Brazil",Teresina,board game;loja de RPG;loja de card game,2,nao,loja,point_of_interest;store;establishment,4.3,392,OPERATIONAL,http://www.facebook.com/cledson.play,,https://maps.google.com/?cid=6252331707843928489&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJGzciRv1_mQARl1GVt7Hdw4U,Akashi Store,"Av. Rio Branco, 156 - 3° andar - Loja 335 - Centro, Rio de Janeiro - RJ, 20040-003, Brazil",Rio de Janeiro,board game;loja de RPG;loja de card game,2,nao,loja,toy_store;amusement_center;store;association_or_organization;point_of_interest;establishment,4.9,352,OPERATIONAL,https://akashistore.com.br/,,https://maps.google.com/?cid=9638791382861959575&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJY6JdnnlFAQcRmACLHD2xHfk,Atacadão da Informática,"R. Barão de Atalaia, 324 B - Poço, Maceió - AL, 57020-510, Brazil",Maceió,board game;loja de board game;loja de card game,2,nao,loja,electronics_store;store;point_of_interest;service;establishment,4.2,287,OPERATIONAL,,,https://maps.google.com/?cid=17950698565798658200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ5W8sTkvbmwARQQDleg06Rcs,Collect & Play,"Av. das Américas, 5001 - Lj 116 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",Rio de Janeiro,loja de RPG;loja de card game,2,nao,loja,toy_store;store;point_of_interest;establishment,4.8,98,OPERATIONAL,http://www.collecteplay.com.br/,,https://maps.google.com/?cid=14647177192663220289&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
