place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,2,5,pt,5 months ago,"Amei o local! Belém precisava de local assim. Tem muitos jogos, de cartas, de tabuleiro. O atendimento é ótimo, as cotidianas são maravilhosas, o Pink limonade delícia, banheiro limpo, salas privativas, só achei que não tem acessibilidade. A entrada é R$20 de quarta e quinta-feira e sexta a domingo e feriados R$25.",False,False,maior,promotor,outlier
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,3,5,pt,3 months ago,"Amo a Ludoteca! Ambiente agradável, divertido, e sempre fui muito bem atendida. O preço dos hambúrguer estão na faixa da maioria das hamburgueria de Belém. Tem a opção de lanches mais em conta (croissant e o sanduíche que também são muito bons) Um local ideal para se divertir com amigos e com a família.
Achei um preço justo pela experiência que proporciona e pela segurança.

Somente o nível de barulho é moderado quando está cheio, podendo melhorar.",False,False,maior,promotor,outlier
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,4,5,pt,3 months ago,"Lugar Maravilhoso!!! Sensacional! Na minha opinião melhor lugar para se comemorar aniversário, a gente se diverte brincando, o aniversariante não paga ingresso e ainda ganha uma soda e uma polaroide. Os atendente são super atenciosos. Tem karaokê também. .
Só vão!",False,False,maior,promotor,outlier
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,0,5,pt,4 months ago,"Os atendentes são super legais! eu sendo uma adolescente, me senti muito incluída e especial. E eles explicam tudo direitinho, eu indico!",False,False,maior,promotor,menor
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,1,5,pt,4 months ago,"Atendimento incrível e imersivo, super educados e engraçados, comidas e bebidas excelentes e jogos variados e divertidos.",False,False,maior,promotor,menor
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,2,2,pt,8 months ago,"Reservamos com antecedência a sala de karaokê e quando chegamos foram mais de 30 minutos das pessoas atendentes tentando ligar o microfone (depois de pedirmos e ouvir ""vou botar no grupo para aprender como fazer"") e depois do tempo e ocasião do aniversário perdidos ouvimos que simplesmente não ia funcionar. Um absurdo a falta de consideração do estabelecimento e sua gerência para algo que foi reservado com antecedência.",False,False,maior,detrator,menor
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,4,5,pt,a year ago,"LITERALMENTE, o lugar mais divertido de Salvador!!!",False,False,maior,promotor,menor
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,1,5,pt,a year ago,Adorei! Lugar que vale a pena ir. Muitos jogos legais! Vitor foi muito solícito em explicar os jogos e nos recebeu muito bem. Comida gostosa e preço justo. Pedi um pão de queijo recheado e um suco natural ($28 reais). Lá é cobrado valor por mesa pra jogar ($30 reais jogos simples).Voltaremos mais vezes 😍,False,False,maior,promotor,menor
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,2,5,pt,3 months ago,"Não podia ser melhor, me associei no dia um. Acervo gigantesco, os MELHORES DRINKS no precinho e nossinhora tem um tal de cookie de matcha com siciliano que mudou minha vida. Só vá!",False,False,maior,promotor,menor
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,3,5,pt,3 months ago,Atendimento excelente! O pessoal é muito educado e prestativo e ensinam os jogos super bem. As comidas também são ótimas e o preço é muito bom. Recomendo muito!,False,False,maior,promotor,menor
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,4,5,pt,3 months ago,"Ambiente muito agradável, mas o grande destaque foi o atendimento impecável. Fomos atendidos pelo Sloan, que foi extremamente atencioso e prestativo. Só temos elogios e agradecimentos. Recomendo muito!!",False,False,maior,promotor,menor
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,1,1,pt,3 months ago,"Para quem vai querendo só jogar os board game é ótimo, agr sobre a comida e recepção decepção, primeiro que muita coisa que tem no cardápio não tem disponível, pedimos o milk shake duplo e uma isca de frango com batata frita, a batata frita estava sem sal e tinha umas que passou do ponto, o frango da outra isca que pedimos, estava cru e a salada tava horrível. O garçom mais perdido ou só era preguiçoso mesmo, não retirou os copos e nem os pratos, a gente que levou, o lugar não tava com uma ventilação muito boa, estava com um cheiro de mofo , e além disso comida péssima e super faturada.",False,False,menor,detrator,maior
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,2,5,pt,a month ago,"Recomendo muito vc ir!!

O local tem sinuca,pembolim e boliche 🎳 (sem contar todos aqueles jogos de tabuleiro)

A comida é ótima e o boliche, mesmo sendo pequeno é MT bom",False,False,menor,promotor,maior
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,3,1,pt,4 months ago,"Gente, eu estou passada com o péssimo atendimento e funcionamento do local.
Você chega no local ninguém te orienta direito. Fizemos a reserva do boliche para as 21h, quando deu o horário os funcionários não nos orientou, não avisou ao pessoal da outra reserva que eles precisavam sair para o grupo do outro horário entrar. O karaokê que aparentemente não precisava de reserva, eles não tem uma logística para que todos usem, não tem microfone, ambos estavam quebrados. Quando conseguimos entrar na sala do karaokê, depois de 2h esperando, não tinha internet suficiente para carregar uma música sequer.

O atendimento do salão, pessoas mal educadas e improdutivas.

Eu não volto mais e nem acho que vale a pena o estresse. Melhor comprar o jogo e jogar em casa",False,False,menor,detrator,maior
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,4,1,pt,4 months ago,"Local excelente, com muitas opções para ser divertir , porém fomos muito mal tratadas pelos funcionários. Um pessimo atendimento, todos trabalhando como se estivessem sobrecarregados.

E foi exatamente isso que um dos funcionários falou , devido uma falta de 2 milk-shake o mesmo falou que não era uma máquina para da conta de tudo sozinho.

No final ainda teve uma funcionária que foi bastante sarcástica quando falamos que não precisava mas do milkshake.

Fora a cara negativa dos funcionários.",True,False,menor,detrator,maior
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,1,5,pt,2 months ago,"Se tivesse 10 estrelas pra comida eu dava 11, tudo muito gostoso 😋 e não achamos que seria por ser um lugar de jogos mas é incrível, a chef Lilian está de parabéns junto com a equipe da cozinha. Infelizmente não tirei foto dos pratos!
Os atendentes ALEX E GUILHERME explicam os jogos perfeitamente, achei um dos melhores lugares pra jogos! O ambiente é limpo e a play list muito boa também",False,False,menor,promotor,outlier
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,2,5,pt,3 months ago,"Comemoramos o aniversário de duas amigas minhas no dia 30/05/2026 e fomos recebidos muito bem.

Agradecimentos especiais a Gabriele, Alex e Jesus. Gabriele super proativa nos atendeu super bem e ofereceu que guardasse o bolo, sem precisarmos solicitar.
Alex e Jesus nos ensinou o jogo super bem e esteve presente para auxiliar no desenrolar da competição, oque tornou tudo muito divertido.",False,False,menor,promotor,outlier
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,3,4,pt,6 months ago,"Cuidado com as cobranças. Ficar esperto que qq jogo q tiver é 30 reais, mesmo se vc só pegar, 1, ou brincar pouco, ou n gostar... não importa. O valor é cobrado em separado de tudo.  E ainda sim,  por pessoa, nem é por mesa. E tem mais. Os ""10%"" do atendimento lá são 13%. Já o valor dos pratos eh totalmente condizente com o local,  ambiente etc.  E muito bons,  por sinal.",False,False,menor,neutro,outlier
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4.6,1505,4,5,pt,3 months ago,"Gostei muito da casa! Viemos comemorar um aniversário e foi muito divertido. Fomos muito bem atendidos pela Camila, Pedro, Bruno e Alex! Com certeza voltaremos!",False,False,menor,promotor,outlier
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,0,5,pt,5 months ago,"Amei muito o local!

Os hambúrgueres estão no meu top 3 de melhores que já provei.

O atendimento é perfeito, o Arthur indica os jogos e ainda explica como jogá-los.

O espaço em si também é muito bom, mesas limpas e som agradável.

Muita variedade de jogos, estão de parabéns!

Eu e o meu marido gastamos o total de R$100 com 2 lanches e 2 bebidas + os R$10 de cada para jogar os jogos.",False,False,maior,promotor,menor
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,1,5,pt,a year ago,"Bar com jogos de tabuleiro, a diversão é garantida para aqueles que curtem esses tipos de jogos, e mesmo que vc não conheça, vale muito a pena passar para conhecer, atendimento feito com simpatia e paciência para explicar os jogos e sobre o cardápio também. Hambúrguer com sabor bem suave e valores bem em conta. Situado no mesmo nível da rua e com acessibilidade.",False,False,maior,promotor,menor
