Indicador,IndicadorDetalhe,Data,DataReferencia,Mediana,Media,DesvioPadrao,Minimo,Maximo,numeroRespondentes
Câmbio,,2026-09-11,2026,5.2,5.1906,0.1256,4.8,5.45,113
Câmbio,,2026-09-11,2027,5.275,5.2561,0.183,4.7,5.68,113
Câmbio,,2026-09-11,2028,5.3,5.3042,0.219,4.5,6.0,83
Câmbio,,2026-09-11,2029,5.363,5.3599,0.2426,4.5,6.2,78
Câmbio,,2026-09-11,2030,5.4,5.4102,0.2686,4.5,6.4,78
IGP-M,,2026-09-11,2026,4.5427,4.3874,0.9214,0.7617,6.2452,67
IGP-M,,2026-09-11,2027,4.1095,4.1628,0.8053,1.7778,7.0853,64
IGP-M,,2026-09-11,2028,3.9225,3.9748,0.7603,1.5,6.97,52
IGP-M,,2026-09-11,2029,3.8125,3.8608,0.5188,2.56,5.9,48
IGP-M,,2026-09-11,2030,3.8,3.8226,0.5036,2.8,5.6,48
IPCA,,2026-09-11,2026,4.9,4.9067,0.2212,4.2407,5.8332,147
IPCA,,2026-09-11,2027,4.3,4.3228,0.4202,3.17,6.0,147
IPCA,,2026-09-11,2028,3.8,3.8335,0.4612,3.0,6.0,117
IPCA,,2026-09-11,2029,3.5003,3.6985,0.4747,3.0,6.0,110
IPCA,,2026-09-11,2030,3.5,3.6626,0.4978,3.0,6.0,106
PIB Total,,2026-09-11,2026,1.893,1.8809,0.1269,1.5551,2.2825,112
PIB Total,,2026-09-11,2027,1.453,1.4456,0.3858,0.6988,2.5,111
PIB Total,,2026-09-11,2028,1.87,1.8421,0.368,0.5,2.8001,81
PIB Total,,2026-09-11,2029,2.0,1.9496,0.3119,1.0,2.8,75
PIB Total,,2026-09-11,2030,2.0,1.9706,0.3083,1.0,2.8,74
Selic,,2026-09-11,2026,13.75,13.583,0.2573,12.75,14.0,143
Selic,,2026-09-11,2027,12.0,12.0158,0.7652,9.75,14.0,142
Selic,,2026-09-11,2028,10.5,10.5651,0.9622,8.0,13.75,119
Selic,,2026-09-11,2029,10.0,10.2183,0.9856,8.0,13.75,110
Selic,,2026-09-11,2030,10.0,10.0787,1.0783,7.0,13.75,108
