tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Atividades de serviços,valor_original,valor
10758,630,Número de empresas,Unidades,Brasil,1,Brasil,2024,1. Total,1919365,1919365.0
10758,630,Número de empresas,Unidades,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,220098,220098.0
10758,630,Número de empresas,Unidades,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",57579,57579.0
10758,631,Pessoal ocupado em 31/12,Pessoas,Brasil,1,Brasil,2024,1. Total,15864213,15864213.0
10758,631,Pessoal ocupado em 31/12,Pessoas,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1856632,1856632.0
10758,631,Pessoal ocupado em 31/12,Pessoas,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",253500,253500.0
10758,857,"Gastos com pessoal - salários, retiradas e outras remunerações",Mil Reais,Brasil,1,Brasil,2024,1. Total,644229550,644229550.0
10758,857,"Gastos com pessoal - salários, retiradas e outras remunerações",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,49116567,49116567.0
10758,857,"Gastos com pessoal - salários, retiradas e outras remunerações",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",6366191,6366191.0
10758,1242,Valor adicionado,Mil Reais,Brasil,1,Brasil,2024,1. Total,2061821000,2061821000.0
10758,1242,Valor adicionado,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,130518100,130518100.0
10758,1242,Valor adicionado,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",21303053,21303053.0
10758,643,Receita operacional líquida,Mil Reais,Brasil,1,Brasil,2024,1. Total,3529697760,3529697760.0
10758,643,Receita operacional líquida,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,257709554,257709554.0
10758,643,Receita operacional líquida,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",33676457,33676457.0
10758,657,Custo das mercadorias revendidas,Mil Reais,Brasil,1,Brasil,2024,1. Total,71318304,71318304.0
10758,657,Custo das mercadorias revendidas,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,11715528,11715528.0
10758,657,Custo das mercadorias revendidas,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",420235,420235.0
10758,1552,Subvenções e outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,132858272,132858272.0
10758,1552,Subvenções e outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4211911,4211911.0
10758,1552,Subvenções e outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1064458,1064458.0
