tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Serviços prestados às famílias,valor_original,valor
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,1. Total,70482879,70482879.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,1. Total,58312205,58312205.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,1. Total,65357284,65357284.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,1. Total,81503827,81503827.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,1. Total,97761461,97761461.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,1.2 Serviços de alimentação,42570971,42570971.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,1.2 Serviços de alimentação,35110468,35110468.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,1.2 Serviços de alimentação,37816724,37816724.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,1.2 Serviços de alimentação,46610722,46610722.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,1.2 Serviços de alimentação,57502005,57502005.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,"1.3 Atividades culturais, recreativas e esportivas",4568803,4568803.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",3498036,3498036.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,"1.3 Atividades culturais, recreativas e esportivas",4019610,4019610.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,"1.3 Atividades culturais, recreativas e esportivas",5191093,5191093.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,"1.3 Atividades culturais, recreativas e esportivas",6411869,6411869.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,2.2 Serviços de alimentação,23764010,23764010.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,2.2 Serviços de alimentação,17581690,17581690.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,2.2 Serviços de alimentação,19868724,19868724.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,2.2 Serviços de alimentação,25632590,25632590.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,2.2 Serviços de alimentação,31674251,31674251.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,16143139,16143139.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,11156537,11156537.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,12746337,12746337.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,16936263,16936263.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,20632204,20632204.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2019,"2.3 Atividades culturais, recreativas e esportivas",2470036,2470036.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2020,"2.3 Atividades culturais, recreativas e esportivas",1556779,1556779.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2021,"2.3 Atividades culturais, recreativas e esportivas",1916917,1916917.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2022,"2.3 Atividades culturais, recreativas e esportivas",2616962,2616962.0
2618,1235,Total de gastos de pessoal,Mil Reais,Brasil,1,Brasil,2023,"2.3 Atividades culturais, recreativas e esportivas",3319265,3319265.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,1. Total,47353348,47353348.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,1. Total,37017961,37017961.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,1. Total,43502994,43502994.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,1. Total,54412499,54412499.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,1. Total,66021907,66021907.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,1.2 Serviços de alimentação,28896825,28896825.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,1.2 Serviços de alimentação,22447221,22447221.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2021,1.2 Serviços de alimentação,25422678,25422678.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2022,1.2 Serviços de alimentação,31767845,31767845.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2023,1.2 Serviços de alimentação,39347870,39347870.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2019,"1.3 Atividades culturais, recreativas e esportivas",2782951,2782951.0
2618,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",2078655,2078655.0
