tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
6579,9324,População residente estimada,Pessoas,Brasil,1,Brasil,2024,212583750,212583750.0
6579,9324,População residente estimada,Pessoas,Brasil,1,Brasil,2025,213421037,213421037.0
6579,9324,População residente estimada,Pessoas,Brasil,1,Brasil,2026,214211951,214211951.0
6579,9324,População residente estimada,Pessoas,Município,1200401,Rio Branco (AC),2024,387852,387852.0
6579,9324,População residente estimada,Pessoas,Município,1200401,Rio Branco (AC),2025,389001,389001.0
6579,9324,População residente estimada,Pessoas,Município,1200401,Rio Branco (AC),2026,390058,390058.0
6579,9324,População residente estimada,Pessoas,Município,2704302,Maceió (AL),2024,994464,994464.0
6579,9324,População residente estimada,Pessoas,Município,2704302,Maceió (AL),2025,994952,994952.0
6579,9324,População residente estimada,Pessoas,Município,2704302,Maceió (AL),2026,995134,995134.0
6579,9324,População residente estimada,Pessoas,Município,1600303,Macapá (AP),2024,487200,487200.0
6579,9324,População residente estimada,Pessoas,Município,1600303,Macapá (AP),2025,489676,489676.0
6579,9324,População residente estimada,Pessoas,Município,1600303,Macapá (AP),2026,491987,491987.0
6579,9324,População residente estimada,Pessoas,Município,1302603,Manaus (AM),2024,2279686,2279686.0
6579,9324,População residente estimada,Pessoas,Município,1302603,Manaus (AM),2025,2303732,2303732.0
6579,9324,População residente estimada,Pessoas,Município,1302603,Manaus (AM),2026,2327101,2327101.0
6579,9324,População residente estimada,Pessoas,Município,2927408,Salvador (BA),2024,2568928,2568928.0
6579,9324,População residente estimada,Pessoas,Município,2927408,Salvador (BA),2025,2564204,2564204.0
6579,9324,População residente estimada,Pessoas,Município,2927408,Salvador (BA),2026,2559945,2559945.0
6579,9324,População residente estimada,Pessoas,Município,2304400,Fortaleza (CE),2024,2574412,2574412.0
6579,9324,População residente estimada,Pessoas,Município,2304400,Fortaleza (CE),2025,2578483,2578483.0
6579,9324,População residente estimada,Pessoas,Município,2304400,Fortaleza (CE),2026,2582360,2582360.0
6579,9324,População residente estimada,Pessoas,Município,5300108,Brasília (DF),2024,2982818,2982818.0
6579,9324,População residente estimada,Pessoas,Município,5300108,Brasília (DF),2025,2996899,2996899.0
6579,9324,População residente estimada,Pessoas,Município,5300108,Brasília (DF),2026,3009996,3009996.0
6579,9324,População residente estimada,Pessoas,Município,3205309,Vitória (ES),2024,342800,342800.0
6579,9324,População residente estimada,Pessoas,Município,3205309,Vitória (ES),2025,343378,343378.0
6579,9324,População residente estimada,Pessoas,Município,3205309,Vitória (ES),2026,343935,343935.0
6579,9324,População residente estimada,Pessoas,Município,5208707,Goiânia (GO),2024,1494599,1494599.0
6579,9324,População residente estimada,Pessoas,Município,5208707,Goiânia (GO),2025,1503256,1503256.0
6579,9324,População residente estimada,Pessoas,Município,5208707,Goiânia (GO),2026,1511709,1511709.0
6579,9324,População residente estimada,Pessoas,Município,2111300,São Luís (MA),2024,1088057,1088057.0
6579,9324,População residente estimada,Pessoas,Município,2111300,São Luís (MA),2025,1089215,1089215.0
6579,9324,População residente estimada,Pessoas,Município,2111300,São Luís (MA),2026,1090229,1090229.0
6579,9324,População residente estimada,Pessoas,Município,5103403,Cuiabá (MT),2024,682932,682932.0
6579,9324,População residente estimada,Pessoas,Município,5103403,Cuiabá (MT),2025,691875,691875.0
6579,9324,População residente estimada,Pessoas,Município,5103403,Cuiabá (MT),2026,698917,698917.0
6579,9324,População residente estimada,Pessoas,Município,5002704,Campo Grande (MS),2024,954537,954537.0
6579,9324,População residente estimada,Pessoas,Município,5002704,Campo Grande (MS),2025,962883,962883.0
6579,9324,População residente estimada,Pessoas,Município,5002704,Campo Grande (MS),2026,970843,970843.0
6579,9324,População residente estimada,Pessoas,Município,3106200,Belo Horizonte (MG),2024,2416339,2416339.0
6579,9324,População residente estimada,Pessoas,Município,3106200,Belo Horizonte (MG),2025,2415872,2415872.0
6579,9324,População residente estimada,Pessoas,Município,3106200,Belo Horizonte (MG),2026,2415451,2415451.0
6579,9324,População residente estimada,Pessoas,Município,1501402,Belém (PA),2024,1398531,1398531.0
6579,9324,População residente estimada,Pessoas,Município,1501402,Belém (PA),2025,1397315,1397315.0
6579,9324,População residente estimada,Pessoas,Município,1501402,Belém (PA),2026,1396157,1396157.0
6579,9324,População residente estimada,Pessoas,Município,2507507,João Pessoa (PB),2024,888679,888679.0
6579,9324,População residente estimada,Pessoas,Município,2507507,João Pessoa (PB),2025,897633,897633.0
6579,9324,População residente estimada,Pessoas,Município,2507507,João Pessoa (PB),2026,906093,906093.0
6579,9324,População residente estimada,Pessoas,Município,4106902,Curitiba (PR),2024,1829225,1829225.0
6579,9324,População residente estimada,Pessoas,Município,4106902,Curitiba (PR),2025,1830795,1830795.0
6579,9324,População residente estimada,Pessoas,Município,4106902,Curitiba (PR),2026,1832183,1832183.0
6579,9324,População residente estimada,Pessoas,Município,2611606,Recife (PE),2024,1587707,1587707.0
6579,9324,População residente estimada,Pessoas,Município,2611606,Recife (PE),2025,1588376,1588376.0
6579,9324,População residente estimada,Pessoas,Município,2611606,Recife (PE),2026,1588983,1588983.0
6579,9324,População residente estimada,Pessoas,Município,2211001,Teresina (PI),2024,902644,902644.0
6579,9324,População residente estimada,Pessoas,Município,2211001,Teresina (PI),2025,905692,905692.0
6579,9324,População residente estimada,Pessoas,Município,2211001,Teresina (PI),2026,908012,908012.0
6579,9324,População residente estimada,Pessoas,Município,3304557,Rio de Janeiro (RJ),2024,6729894,6729894.0
6579,9324,População residente estimada,Pessoas,Município,3304557,Rio de Janeiro (RJ),2025,6730729,6730729.0
