tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,Total,165667330,165667330.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,Total,285670,285670.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,Total,777488,777488.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,Total,337289,337289.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,Total,1609599,1609599.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,Total,2040694,2040694.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,Total,2009069,2009069.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,Total,2322667,2322667.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,Total,273412,273412.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,Total,1196373,1196373.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,Total,851522,851522.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,Total,524537,524537.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,Total,726208,726208.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,Total,1979439,1979439.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,Total,1085955,1085955.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,Total,681933,681933.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,Total,1505499,1505499.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,Total,1243147,1243147.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,Total,707752,707752.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,Total,5241642,5241642.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,Total,625164,625164.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,Total,1132758,1132758.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,Total,363844,363844.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,Total,311580,311580.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,Total,459243,459243.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,Total,9626967,9626967.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,Total,497260,497260.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,Total,239041,239041.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,14 a 17 anos,11357843,11357843.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,14 a 17 anos,24540,24540.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,14 a 17 anos,53575,53575.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,14 a 17 anos,30244,30244.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,14 a 17 anos,133410,133410.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,14 a 17 anos,115079,115079.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,14 a 17 anos,126585,126585.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,14 a 17 anos,161335,161335.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,14 a 17 anos,14716,14716.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,14 a 17 anos,71639,71639.0
