ano,recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,meses_no_ano,ano_incompleto,salario_minimo_medio_ano,razao_medio_salario_minimo,var_anual_nominal_pct,var_anual_real_pct
2021,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,4175,2278.3,1550.0,2000.0,2800.0,2979.37,44.0,False,12,False,1100.0,2.071,,
2022,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,5645,2330.74,1666.7,2000.0,2705.0,2801.52,44.0,False,12,False,1212.0,1.923,2.3,-5.97
2023,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,5910,2486.39,1800.0,2148.6,3000.0,2858.5,44.0,False,12,False,1314.0,1.892,6.68,2.03
2024,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,6366,2638.27,1900.0,2369.8,3092.8,2905.86,44.0,False,12,False,1412.0,1.868,6.11,1.66
2025,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,6790,2858.61,2000.0,2500.0,3351.8,2997.16,44.0,False,12,False,1518.0,1.883,8.35,3.14
2026,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,4492,3028.92,2232.02,2774.0,3500.0,3061.75,44.0,False,7,True,1621.0,1.869,5.96,2.16
2021,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,1028,1927.69,1500.0,1700.0,2150.0,2517.0,44.0,False,12,False,1100.0,1.752,,
2022,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,1362,2107.39,1540.98,1825.18,2500.0,2537.21,44.0,False,12,False,1212.0,1.739,9.32,0.8
2023,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,1366,2269.51,1688.89,2000.0,2519.64,2607.61,44.0,False,12,False,1314.0,1.727,7.69,2.77
2024,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,1493,2518.27,1800.0,2200.0,2893.8,2770.87,44.0,False,12,False,1412.0,1.783,10.96,6.26
2025,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,1359,2650.44,2000.0,2480.5,3000.0,2781.36,44.0,False,12,False,1518.0,1.746,5.25,0.38
2026,CNAE 56 - alimentação,27 capitais,141515,Gerente de bar,851,2722.44,2047.58,2500.0,3000.0,2754.8,44.0,False,7,True,1621.0,1.679,2.72,-0.95
2021,CNAE 56 - alimentação,27 capitais,371410,Recreador,437,1199.96,1125.0,1170.0,1235.0,1554.07,44.0,False,12,False,1100.0,1.091,,
2022,CNAE 56 - alimentação,27 capitais,371410,Recreador,691,1322.91,1245.5,1300.0,1350.0,1588.14,44.0,False,12,False,1212.0,1.092,10.25,2.19
2023,CNAE 56 - alimentação,27 capitais,371410,Recreador,873,1420.94,1326.6,1377.0,1433.26,1632.12,44.0,False,12,False,1314.0,1.081,7.41,2.77
2024,CNAE 56 - alimentação,27 capitais,371410,Recreador,1023,1516.23,1428.0,1482.6,1550.0,1669.8,44.0,False,12,False,1412.0,1.074,6.71,2.31
2025,CNAE 56 - alimentação,27 capitais,371410,Recreador,1142,1630.82,1550.0,1596.5,1650.0,1710.02,44.0,False,12,False,1518.0,1.074,7.56,2.41
2026,CNAE 56 - alimentação,27 capitais,371410,Recreador,705,1734.12,1635.87,1695.0,1750.68,1754.13,44.0,False,7,True,1621.0,1.07,6.33,2.58
2021,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,10791,1276.2,1133.0,1230.0,1368.06,1666.41,44.0,False,12,False,1100.0,1.16,,
2022,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,14400,1381.83,1248.36,1308.96,1475.96,1661.8,44.0,False,12,False,1212.0,1.14,8.28,-0.28
2023,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,14949,1487.54,1348.2,1423.63,1585.0,1710.32,44.0,False,12,False,1314.0,1.132,7.65,2.92
2024,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,15229,1610.26,1454.36,1537.4,1700.0,1774.16,44.0,False,12,False,1412.0,1.14,8.25,3.73
2025,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,14811,1727.47,1563.54,1639.44,1804.0,1813.04,44.0,False,12,False,1518.0,1.138,7.28,2.19
2026,CNAE 56 - alimentação,27 capitais,421125,Operador de caixa,8425,1828.92,1658.8,1750.68,1930.0,1850.97,44.0,False,7,True,1621.0,1.128,5.87,2.09
2021,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,35272,1433.2,1211.95,1330.0,1540.0,1873.51,44.0,False,12,False,1100.0,1.303,,
2022,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,48773,1531.42,1305.0,1420.0,1650.0,1843.32,44.0,False,12,False,1212.0,1.264,6.85,-1.61
2023,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,51006,1649.78,1398.63,1550.08,1800.0,1897.88,44.0,False,12,False,1314.0,1.256,7.73,2.96
2024,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,50447,1800.76,1524.96,1695.93,1990.64,1985.64,44.0,False,12,False,1412.0,1.275,9.15,4.62
2025,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,52039,1957.3,1639.44,1810.0,2149.88,2054.26,44.0,False,12,False,1518.0,1.289,8.69,3.46
2026,CNAE 56 - alimentação,27 capitais,513205,Cozinheiro geral,33593,2069.18,1750.68,1889.28,2285.8,2094.49,44.0,False,7,True,1621.0,1.276,5.72,1.96
2021,CNAE 56 - alimentação,27 capitais,513405,Garçom,25520,1290.73,1150.0,1230.55,1391.0,1677.23,44.0,False,12,False,1100.0,1.173,,
2022,CNAE 56 - alimentação,27 capitais,513405,Garçom,37193,1400.0,1250.0,1336.23,1504.9,1682.87,44.0,False,12,False,1212.0,1.155,8.47,0.34
2023,CNAE 56 - alimentação,27 capitais,513405,Garçom,39730,1514.4,1371.54,1455.0,1609.0,1740.86,44.0,False,12,False,1314.0,1.153,8.17,3.45
2024,CNAE 56 - alimentação,27 capitais,513405,Garçom,41077,1645.24,1470.0,1572.32,1765.33,1812.02,44.0,False,12,False,1412.0,1.165,8.64,4.09
2025,CNAE 56 - alimentação,27 capitais,513405,Garçom,43296,1762.63,1580.0,1658.8,1878.24,1848.97,44.0,False,12,False,1518.0,1.161,7.14,2.04
2026,CNAE 56 - alimentação,27 capitais,513405,Garçom,25388,1864.12,1674.49,1751.0,1996.79,1886.06,44.0,False,7,True,1621.0,1.15,5.76,2.01
2021,CNAE 56 - alimentação,27 capitais,513415,Cumim,8894,1246.47,1145.0,1215.0,1287.13,1616.7,44.0,False,12,False,1100.0,1.133,,
2022,CNAE 56 - alimentação,27 capitais,513415,Cumim,13530,1351.15,1248.36,1308.96,1400.0,1623.55,44.0,False,12,False,1212.0,1.115,8.4,0.42
2023,CNAE 56 - alimentação,27 capitais,513415,Cumim,15266,1460.62,1368.0,1425.6,1509.34,1678.99,44.0,False,12,False,1314.0,1.112,8.1,3.41
2024,CNAE 56 - alimentação,27 capitais,513415,Cumim,15621,1570.05,1461.92,1550.0,1615.63,1729.49,44.0,False,12,False,1412.0,1.112,7.49,3.01
2025,CNAE 56 - alimentação,27 capitais,513415,Cumim,16159,1678.75,1572.32,1639.44,1700.0,1761.56,44.0,False,12,False,1518.0,1.106,6.92,1.85
2026,CNAE 56 - alimentação,27 capitais,513415,Cumim,9411,1763.9,1658.8,1734.0,1804.0,1784.38,44.0,False,7,True,1621.0,1.088,5.07,1.3
2021,CNAE 56 - alimentação,27 capitais,513420,Barman,5144,1328.3,1180.0,1271.23,1402.56,1725.38,44.0,False,12,False,1100.0,1.208,,
2022,CNAE 56 - alimentação,27 capitais,513420,Barman,7876,1437.54,1270.0,1372.4,1521.0,1727.93,44.0,False,12,False,1212.0,1.186,8.22,0.15
2023,CNAE 56 - alimentação,27 capitais,513420,Barman,8410,1551.42,1383.0,1500.0,1650.0,1783.25,44.0,False,12,False,1314.0,1.181,7.92,3.2
2024,CNAE 56 - alimentação,27 capitais,513420,Barman,8811,1674.13,1483.0,1598.22,1800.0,1843.95,44.0,False,12,False,1412.0,1.186,7.91,3.4
2025,CNAE 56 - alimentação,27 capitais,513420,Barman,9006,1789.01,1600.0,1700.0,1900.0,1876.93,44.0,False,12,False,1518.0,1.179,6.86,1.79
2026,CNAE 56 - alimentação,27 capitais,513420,Barman,5549,1886.31,1695.0,1800.0,2000.0,1908.38,44.0,False,7,True,1621.0,1.164,5.44,1.68
2021,CNAE 56 - alimentação,27 capitais,513435,Atendente de lanchonete,51893,1244.47,1121.64,1200.0,1316.26,1619.93,44.0,False,12,False,1100.0,1.131,,
2022,CNAE 56 - alimentação,27 capitais,513435,Atendente de lanchonete,79442,1353.46,1230.0,1304.91,1400.0,1626.32,44.0,False,12,False,1212.0,1.117,8.76,0.39
2023,CNAE 56 - alimentação,27 capitais,513435,Atendente de lanchonete,88857,1464.94,1338.0,1406.16,1550.08,1683.81,44.0,False,12,False,1314.0,1.115,8.24,3.53
2024,CNAE 56 - alimentação,27 capitais,513435,Atendente de lanchonete,101521,1576.14,1439.36,1524.96,1671.73,1735.64,44.0,False,12,False,1412.0,1.116,7.59,3.08
2025,CNAE 56 - alimentação,27 capitais,513435,Atendente de lanchonete,116363,1680.58,1548.36,1608.12,1770.85,1762.64,44.0,False,12,False,1518.0,1.107,6.63,1.56
