competencia,recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,salario_minimo,razao_medio_salario_minimo
202101,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,288,2184.11,1500.0,1867.5,2767.73,3000.32,44.0,False,1100.0,1.986
202102,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,308,2166.24,1500.0,1978.22,2543.59,2950.4,44.0,False,1100.0,1.969
202103,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,255,2356.11,1526.73,1986.77,2906.79,3179.44,44.0,False,1100.0,2.142
202104,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,233,2335.27,1600.0,2033.0,2906.79,3141.58,44.0,False,1100.0,2.123
202105,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,301,2153.66,1500.0,1953.1,2600.0,2873.41,44.0,False,1100.0,1.958
202106,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,335,2291.63,1565.43,2000.0,2901.36,3041.38,44.0,False,1100.0,2.083
202107,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,348,2271.65,1500.0,2000.0,2901.7,2986.19,44.0,False,1100.0,2.065
202108,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,415,2239.01,1585.55,2000.0,2550.82,2917.9,44.0,False,1100.0,2.035
202109,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,405,2317.49,1563.07,2000.0,3000.0,2985.54,44.0,False,1100.0,2.107
202110,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,443,2308.4,1600.0,2000.0,2868.47,2937.12,44.0,False,1100.0,2.099
202111,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,450,2273.75,1580.73,2000.0,2691.0,2865.81,44.0,False,1100.0,2.067
202112,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,394,2412.88,1615.98,2100.0,2898.98,3019.12,44.0,False,1100.0,2.194
202201,CNAE 56 - alimentação,27 capitais,141510,Gerente de restaurante,405,2367.4,1650.0,2100.0,2904.0,2946.31,44.0,False,1212.0,1.953
