anexo,faixa,rbt12_min,rbt12_max,aliquota_nominal_pct,parcela_deduzir
I,1,0.0,180000.0,4.0,0.0
I,2,180000.01,360000.0,7.3,5940.0
I,3,360000.01,720000.0,9.5,13860.0
I,4,720000.01,1800000.0,10.7,22500.0
I,5,1800000.01,3600000.0,14.3,87300.0
I,6,3600000.01,4800000.0,19.0,378000.0
II,1,0.0,180000.0,4.5,0.0
II,2,180000.01,360000.0,7.8,5940.0
II,3,360000.01,720000.0,10.0,13860.0
II,4,720000.01,1800000.0,11.2,22500.0
II,5,1800000.01,3600000.0,14.7,85500.0
II,6,3600000.01,4800000.0,30.0,720000.0
III,1,0.0,180000.0,6.0,0.0
III,2,180000.01,360000.0,11.2,9360.0
III,3,360000.01,720000.0,13.5,17640.0
III,4,720000.01,1800000.0,16.0,35640.0
III,5,1800000.01,3600000.0,21.0,125640.0
III,6,3600000.01,4800000.0,33.0,648000.0
IV,1,0.0,180000.0,4.5,0.0
IV,2,180000.01,360000.0,9.0,8100.0
IV,3,360000.01,720000.0,10.2,12420.0
IV,4,720000.01,1800000.0,14.0,39780.0
IV,5,1800000.01,3600000.0,22.0,183780.0
IV,6,3600000.01,4800000.0,33.0,828000.0
V,1,0.0,180000.0,15.5,0.0
V,2,180000.01,360000.0,18.0,4500.0
V,3,360000.01,720000.0,19.5,9900.0
V,4,720000.01,1800000.0,20.5,17100.0
V,5,1800000.01,3600000.0,23.0,62100.0
V,6,3600000.01,4800000.0,30.5,540000.0
