tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Brasil,1,Brasil,2023,2039,2039.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Brasil,1,Brasil,2024,2157,2157.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Brasil,1,Brasil,2025,2280,2280.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,11,Rondônia,2023,1647,1647.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,11,Rondônia,2024,1829,1829.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,11,Rondônia,2025,2020,2020.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,12,Acre,2023,1167,1167.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,12,Acre,2024,1316,1316.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,12,Acre,2025,1427,1427.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,13,Amazonas,2023,1284,1284.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,13,Amazonas,2024,1330,1330.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,13,Amazonas,2025,1425,1425.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,14,Roraima,2023,1538,1538.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,14,Roraima,2024,1721,1721.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,14,Roraima,2025,1808,1808.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,15,Pará,2023,1379,1379.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,15,Pará,2024,1419,1419.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,15,Pará,2025,1472,1472.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,16,Amapá,2023,1525,1525.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,16,Amapá,2024,1568,1568.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,16,Amapá,2025,1769,1769.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,17,Tocantins,2023,1736,1736.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,17,Tocantins,2024,1884,1884.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,17,Tocantins,2025,2061,2061.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,21,Maranhão,2023,1056,1056.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,21,Maranhão,2024,1151,1151.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,21,Maranhão,2025,1206,1206.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,22,Piauí,2023,1396,1396.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,22,Piauí,2024,1490,1490.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,22,Piauí,2025,1520,1520.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,23,Ceará,2023,1261,1261.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,23,Ceará,2024,1292,1292.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,23,Ceará,2025,1423,1423.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,24,Rio Grande do Norte,2023,1503,1503.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,24,Rio Grande do Norte,2024,1580,1580.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,24,Rio Grande do Norte,2025,1737,1737.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,25,Paraíba,2023,1429,1429.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,25,Paraíba,2024,1485,1485.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,25,Paraíba,2025,1567,1567.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,26,Pernambuco,2023,1258,1258.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,26,Pernambuco,2024,1507,1507.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,26,Pernambuco,2025,1548,1548.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,27,Alagoas,2023,1196,1196.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,27,Alagoas,2024,1366,1366.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,27,Alagoas,2025,1435,1435.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,28,Sergipe,2023,1316,1316.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,28,Sergipe,2024,1541,1541.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,28,Sergipe,2025,1678,1678.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2023,1272,1272.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2024,1379,1379.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,29,Bahia,2025,1498,1498.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2023,2008,2008.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2024,2079,2079.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,31,Minas Gerais,2025,2259,2259.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2023,2014,2014.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2024,2166,2166.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,32,Espírito Santo,2025,2229,2229.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2023,2433,2433.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2024,2496,2496.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,33,Rio de Janeiro,2025,2711,2711.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2023,2715,2715.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2024,2847,2847.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,35,São Paulo,2025,2917,2917.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2023,2220,2220.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2024,2468,2468.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Unidade da Federação,41,Paraná,2025,2710,2710.0
