tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,valor_original,valor
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202403,Total,3404,3404.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202404,Total,3449,3449.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202501,Total,3499,3499.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202502,Total,3522,3522.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202503,Total,3541,3541.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202504,Total,3625,3625.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202601,Total,3680,3680.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Brasil,1,Brasil,202602,Total,3621,3621.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202403,Total,3077,3077.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202404,Total,3100,3100.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202501,Total,3182,3182.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202502,Total,2933,2933.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202503,Total,3225,3225.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202504,Total,3434,3434.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202601,Total,3347,3347.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,1200401,Rio Branco (AC),202602,Total,3680,3680.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202403,Total,2867,2867.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202404,Total,3034,3034.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202501,Total,3123,3123.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202502,Total,3109,3109.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202503,Total,3069,3069.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202504,Total,3269,3269.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2704302,Maceió (AL),202601,Total,3144,3144.0
