recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,periodo_competencia
todas as atividades,Aracaju,141510,Gerente de restaurante,55,2534.45,2000.0,2304.23,2993.27,2594.38,44.0,False,202508-202607
todas as atividades,Belo Horizonte,141510,Gerente de restaurante,729,2985.18,2037.27,2617.76,3500.0,3047.06,44.0,False,202508-202607
todas as atividades,Belém,141510,Gerente de restaurante,91,3211.63,1800.0,2420.0,3464.44,3300.29,44.0,False,202508-202607
todas as atividades,Boa Vista,141510,Gerente de restaurante,8,2620.56,2055.25,2350.0,2892.86,2687.01,44.0,True,202508-202607
todas as atividades,Brasília,141510,Gerente de restaurante,465,2452.64,1772.56,2200.0,2700.0,2511.07,44.0,False,202508-202607
todas as atividades,Campo Grande,141510,Gerente de restaurante,69,2988.95,2000.0,2508.0,3139.0,3051.75,44.0,False,202508-202607
todas as atividades,Cuiabá,141510,Gerente de restaurante,131,2942.49,2000.0,2618.0,3531.0,3006.28,44.0,False,202508-202607
todas as atividades,Curitiba,141510,Gerente de restaurante,577,3023.39,2200.0,2538.48,3500.0,3091.25,44.0,False,202508-202607
todas as atividades,Florianópolis,141510,Gerente de restaurante,163,2761.3,2146.0,2596.8,3000.0,2822.91,44.0,False,202508-202607
todas as atividades,Fortaleza,141510,Gerente de restaurante,243,2524.93,1800.0,2245.31,2804.36,2582.04,44.0,False,202508-202607
todas as atividades,Goiânia,141510,Gerente de restaurante,179,2657.38,2000.0,2496.0,2885.0,2718.65,44.0,False,202508-202607
todas as atividades,João Pessoa,141510,Gerente de restaurante,106,2507.07,2000.0,2360.52,2779.25,2564.37,44.0,False,202508-202607
todas as atividades,Macapá,141510,Gerente de restaurante,13,2270.16,1825.17,2194.0,2512.04,2324.03,44.0,True,202508-202607
todas as atividades,Maceió,141510,Gerente de restaurante,77,2716.41,1895.0,2500.0,3000.0,2782.22,44.0,False,202508-202607
todas as atividades,Manaus,141510,Gerente de restaurante,177,2593.4,1900.0,2393.92,3000.0,2649.33,44.0,False,202508-202607
todas as atividades,Natal,141510,Gerente de restaurante,53,2589.38,1715.0,2200.0,2890.0,2650.99,44.0,False,202508-202607
todas as atividades,Palmas,141510,Gerente de restaurante,19,2427.05,1747.0,2000.0,2663.93,2485.55,44.0,True,202508-202607
todas as atividades,Porto Alegre,141510,Gerente de restaurante,368,2907.64,2158.52,2600.0,3466.77,2974.53,44.0,False,202508-202607
todas as atividades,Porto Velho,141510,Gerente de restaurante,18,2387.77,1800.0,2000.0,3125.0,2438.75,44.0,True,202508-202607
todas as atividades,Recife,141510,Gerente de restaurante,239,3128.42,2000.0,2750.0,3795.63,3205.33,44.0,False,202508-202607
todas as atividades,Rio Branco,141510,Gerente de restaurante,13,2137.29,1621.0,1621.0,2500.0,2189.17,44.0,True,202508-202607
todas as atividades,Rio de Janeiro,141510,Gerente de restaurante,1378,2657.96,2000.0,2334.64,2983.0,2717.04,44.0,False,202508-202607
todas as atividades,Salvador,141510,Gerente de restaurante,168,2889.45,2000.0,2500.0,3268.79,2950.6,44.0,False,202508-202607
todas as atividades,São Luís,141510,Gerente de restaurante,66,2615.43,1928.1,2233.64,2988.95,2680.1,44.0,False,202508-202607
todas as atividades,São Paulo,141510,Gerente de restaurante,3136,3505.72,2532.2,3000.0,3981.9,3581.9,44.0,False,202508-202607
todas as atividades,Teresina,141510,Gerente de restaurante,33,2163.83,1675.0,2000.0,2325.95,2211.86,44.0,False,202508-202607
