subclasse,descricao,papel_no_plano,classe,grupo,divisao,secao,atividades,observacoes,data_coleta
5611-2/05,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO",Principal candidata: bar com entretenimento,56112 RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,561 RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,56 ALIMENTAÇÃO,I ALOJAMENTO E ALIMENTAÇÃO,"ADEGA COM SERVIÇO COMPLETO, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | BAR COM FABRICAÇÃO PRÓPRIA DE CERVEJA (BREWPUB), COM ENTRETENIMENTO; ATIVIDADES DE | BAR COM SERVIÇO COMPLETO, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO  (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | CHOPERIA, CHOPARIA COM SERVIÇO COMPLETO, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | PETISCARIA (BAR), COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | SNACK-BAR, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | TRUCK BEER, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS) | WHISKERIA, WHISKARIA COM SERVIÇO COMPLETO, COM ENTRETENIMENTO (MÚSICA, APRESENTAÇÕES DE SHOWS, ENTRE OUTROS)","Esta subclasse compreende - as atividades de servir bebidas alcoólicas, com entretenimento (música ao vivo ou não, apresentações, utilização de equipamentos sonoros, ainda que de forma eventual ou periódica), ao público em geral, com serviço completo | Esta subclasse NÃO compreende - as atividades de servir bebidas alcoólicas, sem entretenimento, ao público em geral, com serviço completo (5611-2/04) - as casas de festas e eventos (8230-0/02) - as artes cênicas e espetáculos (90.01-9) - as atividades de exploração de jogos de azar e apostas (9200-3/99) - as atividades de exploração de discotecas, cabarés, danceterias, salões de dança, de bailes e atividades similares (9329-8/01)",2026-09-14
5611-2/04,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",Alternativa: bar sem entretenimento,56112 RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,561 RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,56 ALIMENTAÇÃO,I ALOJAMENTO E ALIMENTAÇÃO,"ADEGA COM SERVIÇO COMPLETO, SEM ENTRETENIMENTO | BAR COM FABRICAÇÃO PRÓPRIA DE CERVEJA (BREWPUB), SEM ENTRETENIMENTO; ATIVIDADES DE | BAR COM SERVIÇO COMPLETO, SEM ENTRETENIMENTO | BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO | CHOPARIA, CHOPERIA COM SERVIÇO COMPLETO, SEM ENTRETENIMENTO | PETISCARIA (BAR), SEM ENTRETENIMENTO | SERVIÇO AMBULANTE DE BEBIDAS, SEM ENTRETENIMENTO | SNACK-BAR, SEM ENTRETENIMENTO | TRUCK BEER, SEM ENTRETENIMENTO | WHISKERIA, WHISKARIA COM SERVIÇO COMPLETO, SEM ENTRETENIMENTO","Esta subclasse compreende - as atividades de servir bebidas alcoólicas, sem entretenimento, ao público em geral, com serviço completo | Esta subclasse NÃO compreende - as atividades de servir bebidas alcoólicas, com entretenimento (sonoro ou não, de forma eventual ou periódica), ao público em geral, com serviço completo (5611-2/05)",2026-09-14
5611-2/01,RESTAURANTES E SIMILARES,Alternativa: restaurante (cozinha própria),56112 RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,561 RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,56 ALIMENTAÇÃO,I ALOJAMENTO E ALIMENTAÇÃO,"A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO | A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO | A QUILO; SERVIÇO DE ALIMENTAÇÃO | ALIMENTAÇÃO COM SERVIÇO COMPLETO; SERVIÇOS DE | CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO | EXPLORAÇÃO DE VAGÕES-RESTAURANTES, POR TERCEIROS; SERVIÇO DE ALIMENTAÇÃO | PENSÃO; SERVIÇO DE ALIMENTAÇÃO | PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO | RESTAURANTE COM SERVIÇO COMPLETO | RESTAURANTE POR COMIDA A QUILO; SERVIÇO DE | RESTAURANTES E BARES EM EMBARCAÇÕES EXPLORADOS POR TERCEIROS; SERVIÇO DE | RESTAURANTES E SIMILARES | ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO | SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO | TRATTORIA; SERVIÇO DE ALIMENTAÇÃO","Esta subclasse compreende - as atividades de vender e servir comida preparada, com ou sem bebidas alcoólicas ao público em geral, com serviço completo | Esta subclasse compreende ainda - os restaurantes self-service ou de comida a quilo - as atividades de restaurante e bares em embarcações explorados por terceiros",2026-09-14
5611-2/03,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",Alternativa: lanchonete,56112 RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,561 RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,56 ALIMENTAÇÃO,I ALOJAMENTO E ALIMENTAÇÃO,ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE | AÇAITERIA; SERVIÇO DE ALIMENTAÇÃO | BAR SEM SERVIÇO COMPLETO | BIROSCA; SERVIÇO DE ALIMENTAÇÃO | BROWNERIA; SERVIÇO DE ALIMENTAÇÃO | CAFETERIA; SERVIÇOS DE | CALDO DE CANA; SERVIÇO DE ALIMENTAÇÃO | CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO | CASA DE SUCO; SERVIÇO DE ALIMENTAÇÃO | CASAS DE CHÁ | FAST-FOOD; SERVIÇO DE ALIMENTAÇÃO | GELATERIA; SERVIÇO DE ALIMENTAÇÃO | HAMBURGUERIA; SERVIÇO DE ALIMENTAÇÃO | LANCHERIA; SERVIÇO DE ALIMENTAÇÃO | LANCHONETE; SERVIÇO DE ALIMENTAÇÃO | PALETERIA; SERVIÇO DE ALIMENTAÇÃO | PASTELARIA; SERVIÇO DE ALIMENTAÇÃO | PIZZARIA (TIPO FAST- FOOD); SERVIÇO DE ALIMENTAÇÃO | SORVETERIA COM FABRICAÇÃO NO LOCAL; SERVIÇO DE ALIMENTAÇÃO | SORVETERIA; SERVIÇO DE ALIMENTAÇÃO,"Esta subclasse compreende - o serviço de alimentação para consumo no local, com venda ou não de bebidas, em estabelecimentos que não oferecem serviço completo, tais como: #- lanchonetes, fast-food, pastelarias, casas de chá, casas de suco e similares #- sorveterias, com consumo no local, de fabricação própria ou não | Esta subclasse NÃO compreende - o serviço ambulante de alimentação (5612-1/00) - as cantinas privativas e estabelecimentos especializados na venda de bebidas alcoólicas (5620-1/03) e (5611-2/02) - a fabricação de sorvetes (1053-8/00)",2026-09-14
9329-8/99,OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,Secundária: recreação e lazer não especificados (jogos de mesa),93298 ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,932 ATIVIDADES DE RECREAÇÃO E LAZER,93 ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,"R ARTES, CULTURA, ESPORTE E RECREAÇÃO","ANIMAÇÃO E RECREAÇÃO EM FESTAS E EVENTOS; ATIVIDADES DE | AQUÁRIO PARA VISITAÇÃO | BALONISMO PARA FINS DE RECREAÇÃO; ATIVIDADES DE | BRINQUEDOTECA; ATIVIDADES DE | CARRINHOS ELÉTRICOS EM CAMPO DE GOLFE; LOCAÇÃO DE | CHARRETES PARA PASSEIO; LOCAÇÃO DE | COLÔNIA DE FÉRIAS | EMBARCAÇÕES (BARCOS) PARA FINS RECREATIVOS; EXPLORAÇÃO DE | EMBARCAÇÕES (BARCOS) PARA LAZER, COM TRIPULAÇÃO; LOCAÇÃO DE | EMBARCAÇÕES (BARCOS) RECREATIVAS, COM TRIPULAÇÃO; LOCAÇÃO DE | ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE | ESCUNAS PARA FINS RECREATIVOS; LOCAÇÃO DE | ESCUNAS PARA LAZER; LOCAÇÃO DE | ESTACIONAMENTO DE BARCOS (MARINA) PARA RECREAÇÃO OU LAZER; ATIVIDADES DE | ESTADIA DE BARCOS; SERVIÇOS DE | ESTADIA PARA EMBARCAÇÕES DE ESPORTE E LAZER; SERVIÇOS DE | EXPLORAÇÃO DE BANANA BOAT; SERVIÇOS DE | EXPLORAÇÃO DE CAIAQUES; SERVIÇOS DE | EXPLORAÇÃO DE JOGOS DE BOCHA; ATIVIDADES DE | EXPLORAÇÃO DE TUK TUK PARA PASSEIOS TURÍSTICOS; SERVIÇOS DE | GARAGEM DE BARCOS; LANCHAS | GARAGEM NÁUTICA; GUARDA DE BARCOS DE LAZER | GUARDA DE BARCOS (MARINA) PARA RECREAÇÃO OU LAZER; ATIVIDADES DE | GUARDA DE EMBARCAÇÕES; SERVIÇOS DE | JOGO DE SNOOKER; EXPLORAÇÃO DE | KARTS; EXPLORAÇÃO DE | MARINA; GUARDA DE BARCOS, IATES, JET SKI | MINI BUGGY; LOCAÇÃO DE, ALUGUEL DE | MÁQUINAS DE PEGAR BICHOS, URSOS, URSINHOS DE PELÚCIA; GESTÃO DE | NAÚTICA E LAZER; LOCAÇÃO DE, ALUGUEL DE | PAINT BALL; ATIVIDADES DE RECREAÇÃO COM | PEBOLIM, FUTEBOL DE MESA, TOTÓ; EXPLORAÇÃO DE | PEDALINHOS; LOCAÇÃO DE | PRANCHAS DE SURFE; LOCAÇÃO, ALUGUEL DE | RECREAÇÃO, CONTATO E INTERAÇÃO COM ANIMAIS; ATIVIDADES DE | SHOWS DE NATUREZA RECREACIONAL | SÍTIOS DE LAZER; ALUGUEL DE | TRENZINHO PARA PASSEIOS TURÍSTICOS;  EXPLORAÇÃO DE | TRENZINHO RECREACIONAL; EXPLORAÇÃO DE | VAGAS PARA BARCOS; SERVIÇOS DE | VAGAS PARA EMBARCAÇÕES; SERVIÇOS DE | VEÍCULOS DE TRAÇÃO ANIMAL; TRANSPORTE DE","Esta subclasse compreende - as atividades de operação da infra-estrutura de transportes recreacionais, como as marinas, garagens, estacionamentos para a guarda de embarcações, atracadores, etc. - a organização de feiras e shows de natureza recreacional - a exploração de pedalinhos - a exploração de karts - a exploração de trenzinhos recreacionais - outras atividades relacionadas ao lazer não especificadas anteriormente | Esta subclasse compreende ainda - o transporte para fins turísticos em veículos de tração animal | Esta subclasse NÃO compreende - o transporte em trens turísticos, teleféricos e similares para exploração de pontos turísticos (4950-7/00) - os cruzeiros para pesca (divisão 50) - as atividades de campings (acampamentos) (5590-6/02) - as atividades de agenciamento de profissionais para atividades esportivas, culturais e artísticas (7490-1/05) - os serviços de organização de feiras, congressos, exposições e festas (8230-0/01) - as casas de festas e eventos (8230-0/02) - as artes cênicas e espetáculos (90.01-9/01, 90.01-9/02, 90.01-9-1/03, 90.01-9/04, 90.01-9/05, 90.01-9/06 e 90.01-9/99) - as atividades de museus e de exploração de lugares e prédios históricos e atrações similares (9102-3/01) - as atividades de exploração de jogos de azar e apostas (92.00-3/01, 92.00-3/02 e 92.00-3/99) - as atividades dos clubes sociais e esportivos (9312-3/00)",2026-09-14
9329-8/04,EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS,Secundária: exploração de jogos eletrônicos recreativos,93298 ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,932 ATIVIDADES DE RECREAÇÃO E LAZER,93 ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,"R ARTES, CULTURA, ESPORTE E RECREAÇÃO","ACESSO À INTERNET PARA JOGOS EM REDE | CYBER CAFÉ COM PREDOMINANCIA DE EXPLORAÇÃO DE JOGOS ELETRÔNICOS E ACESSO À INTERNET | EXPLORAÇÃO DE JOGOS NO COMPUTADOR; SERVIÇOS DE | JOGO DE FLIPERAMA; EXPLORAÇÃO DE | JOGOS ELETRÔNICOS; EXPLORAÇÃO DE | LAN HOUSE COM ACESSO À INTERNET PREDOMINANTEMENTE PARA JOGOS EM REDE | VENDA DE ITENS VIRTUAIS PARA USO EM JOGOS ELETRONICOS (DIGITAIS), EXCETO O DESENVOLVIMENTO E A INTERMEDIAÇÃO; ATIVIDADES DE",Esta subclasse compreende - a exploração de estabelecimentos de jogos eletrônicos recreativos | Esta subclasse NÃO compreende - as salas de acesso à internet (8299-7/07) - as atividades de exploração de casas de bingo (9200-3/01),2026-09-14
8230-0/01,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",Secundária: organização de festas e eventos,"82300 ATIVIDADES DE ORGANIZAÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS","823 ATIVIDADES DE ORGANIZAÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS","82 SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",N ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,"EXPOSIÇÃO DE ANIMAIS EM FEIRAS | GESTÃO DE ESPAÇO PARA EXPOSIÇÃO, PARA USO DE TERCEIROS; ATIVIDADES DE | ORGANIZAÇÃO DE FESTAS FAMILIARES; SERVIÇO DE | ORGANIZAÇÃO DE FESTAS INFANTIS; SERVIÇO DE | ORGANIZAÇÃO DE FESTAS; SERVIÇO DE | ORGANIZAÇÃO DE FORMATURAS; SERVIÇO DE | ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS; SERVIÇOS DE | ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS; SERVIÇOS DE | ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE | PARQUE DE LEILÃO DE GADO; ORGANIZAÇÃO DE | PARQUE PARA FEIRAS AGROPECUÁRIAS; GESTÃO DE | REMATES RURAIS; SERVIÇOS DE | SHOW-ROOM; GESTÃO DE","Esta subclasse compreende - as atividades de organização e promoção de feiras, leilões, congressos, convenções, conferências e exposições comerciais e profissionais, incluindo ou não o fornecimento de pessoal para operar a infra-estrutura dos lugares onde ocorrem esses eventos - a gestão de espaço para exposição para uso de terceiros - a organização de festas e eventos, familiares ou não, inclusive festas de formaturas | Esta subclasse NÃO compreende - os serviços de alimentação para eventos e recepções - bufê (5620-1/02) - as casas de festas e eventos (8230-0/02) - a organização, produção e promoção de eventos culturais (90.01-9/01, 90.01-9/02, 90.01-9/03, 90.01-9/04, 90.01-9/05, 90.01-9/06 e 90.01-9/99) - a produção e promoção de eventos esportivos (9319-1/01)",2026-09-14
5620-1/02,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,Secundária: bufê para eventos,"56201 SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA","562 SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA",56 ALIMENTAÇÃO,I ALOJAMENTO E ALIMENTAÇÃO,"ALIMENTAÇÃO FORNECIDOS POR BUFÊ (BUFFET) PARA BANQUETES, COQUETÉIS E RECEPÇÕES; SERVIÇOS DE | BUFE; SERVIÇOS DE ALIMENTAÇÃO | BUFFET; SERVIÇO DE ALIMENTAÇÃO | FORNECIMENTO DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES; SERVIÇOS DE","Esta subclasse compreende - o serviço de alimentação fornecidos por bufê para banquetes, coquetéis, recepções, etc.",2026-09-14
4763-6/01,COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS,Secundária: venda de jogos (brinquedos e artigos recreativos),47636 COMÉRCIO VAREJISTA DE ARTIGOS RECREATIVOS E ESPORTIVOS,"476 COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",47 COMÉRCIO VAREJISTA,G COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,"AEROMODELOS; COMÉRCIO VAREJISTA DE | ARTIGOS DE BRINQUEDOS; COMÉRCIO VAREJISTA | ARTIGOS RECREATIVOS; COMÉRCIO VAREJISTA | BRINQUEDOS ARTESANAIS; COMÉRCIO VAREJISTA | BRINQUEDOS DE QUALQUER MATERIAL; COMÉRCIO VAREJISTA | BRINQUEDOS, JOGOS ELETRÔNICOS OU NÃO, PEÇAS E ACESSÓRIOS PARA; COMÉRCIO VAREJISTA | CARRINHOS DE CONTROLE REMOTO (AUTOMODELOS); COMÉRCIO VAREJISTA DE | JOGOS RECREATIVOS; COMÉRCIO VAREJISTA | VÍDEO GAME, ELETRÔNICOS OU NÃO; COMÉRCIO VAREJISTA","Esta subclasse compreende - o comércio varejista de brinquedos, jogos (eletrônicos ou não) e artigos recreativos, inclusive suas peças e acessórios | Esta subclasse NÃO compreende - o comércio varejista de artigos esportivos (4763-6/02) - o comércio varejista de bicicletas e triciclos (4763-6/03) - o comércio varejista de artigos de caça, pesca e camping (4763-6/04)",2026-09-14
7729-2/02,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS",Secundária: aluguel de artigos de uso pessoal (locação de jogos),77292 ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,772 ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS,77 ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,N ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,"APARELHOS DE DVD; ALUGUEL DE | APARELHOS ELETRODOMÉSTICOS; ALUGUEL DE, LOCAÇÃO DE | APARELHOS ELETROELETRÔNICOS; ALUGUEL DE | AR CONDICIONADO; ALUGUEL DE | CADEIRAS; ALUGUEL DE, LOCAÇÃO DE | GELADEIRA, FREEZER; ALUGUEL DE | INSTRUMENTOS MUSICAIS; ALUGUEL DE, LOCAÇÃO DE | MESAS; ALUGUEL DE, LOCAÇÃO DE | MÓVEIS E UTENSÍLIOS PARA FESTAS; ALUGUEL DE, LOCAÇÃO DE | MÓVEIS; ALUGUEL DE, LOCAÇÃO DE | OBJETOS E UTENSÍLIOS DOMÉSTICOS; ALUGUEL DE, LOCAÇÃO DE | TELEVISOR, TELEVISÃO; ALUGUEL DE, LOCAÇÃO DE | UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO; ALUGUEL DE, LOCAÇÃO DE | UTENSÍLIOS E APARELHOS ELETROELETRÔNICOS DE USO DOMÉSTICO; ALUGUEL DE | VIDEOCASSETE; ALUGUEL DE, LOCAÇÃO DE","Esta subclasse compreende - o aluguel de móveis, utensílios e aparelhos eletroeletrônicos de uso doméstico e pessoal - o aluguel de instrumentos musicais | Esta subclasse compreende ainda - o aluguel de móveis de escritório",2026-09-14
