recorte,capital,cbo,ocupacao,admissoes,salario_p25,salario_mediana,salario_p75,salario_medio,horas_mediana,periodo_competencia,amostra_pequena
todas as atividades,Aracaju,141510,Gerente de restaurante,55,2000.0,2304.23,2993.27,2534.45,44.0,202508-202607,False
todas as atividades,Aracaju,141515,Gerente de bar,5,2100.0,3000.0,3000.0,2616.0,44.0,202508-202607,True
todas as atividades,Aracaju,371410,Recreador,54,1593.9,1621.0,1706.6,1648.97,44.0,202508-202607,False
todas as atividades,Aracaju,421125,Operador de caixa,1826,1621.0,1635.0,1660.0,1654.78,44.0,202508-202607,False
todas as atividades,Aracaju,513205,Cozinheiro geral,775,1621.0,1680.0,1900.0,1813.44,44.0,202508-202607,False
todas as atividades,Aracaju,513405,Garçom,677,1560.0,1621.0,1661.0,1620.47,44.0,202508-202607,False
todas as atividades,Aracaju,513415,Cumim,217,1560.0,1621.0,1633.89,1609.06,44.0,202508-202607,False
todas as atividades,Aracaju,513420,Barman,168,1560.0,1650.0,1800.0,1739.5,44.0,202508-202607,False
todas as atividades,Aracaju,513435,Atendente de lanchonete,1476,1560.0,1621.0,1621.0,1606.15,44.0,202508-202607,False
todas as atividades,Aracaju,513505,Auxiliar nos serviços de alimentação,1668,1560.0,1621.0,1670.0,1638.59,44.0,202508-202607,False
todas as atividades,Aracaju,514320,Faxineiro,3240,1560.0,1621.0,1623.22,1602.46,44.0,202508-202607,False
todas as atividades,Aracaju,521140,Atendente de lojas e mercados,2464,1621.0,1635.0,1660.0,1645.67,44.0,202508-202607,False
todas as atividades,Belo Horizonte,141510,Gerente de restaurante,730,2031.59,2608.88,3500.0,2981.1,44.0,202508-202607,False
todas as atividades,Belo Horizonte,141515,Gerente de bar,175,2000.0,2285.8,2800.0,2511.88,44.0,202508-202607,False
todas as atividades,Belo Horizonte,371410,Recreador,1046,1800.0,1958.01,2622.4,3762.46,44.0,202508-202607,False
todas as atividades,Belo Horizonte,421125,Operador de caixa,16765,1720.0,1720.0,1836.79,1761.69,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513205,Cozinheiro geral,5386,1737.59,1943.37,2200.0,2017.35,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513405,Garçom,3037,1623.94,1738.0,1750.0,1763.15,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513415,Cumim,598,1621.0,1697.0,1738.0,1701.46,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513420,Barman,452,1650.0,1738.0,2000.0,1841.33,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513435,Atendente de lanchonete,11839,1609.94,1697.0,1791.33,1703.35,44.0,202508-202607,False
todas as atividades,Belo Horizonte,513505,Auxiliar nos serviços de alimentação,11040,1649.12,1700.0,1800.0,1762.53,44.0,202508-202607,False
todas as atividades,Belo Horizonte,514320,Faxineiro,35572,1649.12,1715.99,1772.8,1791.28,44.0,202508-202607,False
todas as atividades,Belo Horizonte,521140,Atendente de lojas e mercados,16079,1697.0,1720.0,1836.79,1760.6,44.0,202508-202607,False
todas as atividades,Belém,141510,Gerente de restaurante,91,1800.0,2420.0,3464.44,3211.63,44.0,202508-202607,False
todas as atividades,Belém,141515,Gerente de bar,24,1606.49,1680.0,2000.0,1903.29,44.0,202508-202607,True
todas as atividades,Belém,371410,Recreador,65,1553.2,1621.0,1728.0,1706.48,44.0,202508-202607,False
todas as atividades,Belém,421125,Operador de caixa,3354,1621.0,1670.0,1802.72,1708.87,44.0,202508-202607,False
todas as atividades,Belém,513205,Cozinheiro geral,2443,1621.0,1650.0,1694.62,1794.8,44.0,202508-202607,False
todas as atividades,Belém,513405,Garçom,798,1580.0,1621.0,1680.0,1653.73,44.0,202508-202607,False
todas as atividades,Belém,513415,Cumim,400,1518.0,1615.32,1621.0,1608.36,44.0,202508-202607,False
todas as atividades,Belém,513420,Barman,219,1580.0,1621.0,1680.0,1706.49,44.0,202508-202607,False
todas as atividades,Belém,513435,Atendente de lanchonete,2724,1580.0,1621.0,1633.11,1615.25,44.0,202508-202607,False
todas as atividades,Belém,513505,Auxiliar nos serviços de alimentação,2462,1560.0,1621.0,1680.0,1641.57,44.0,202508-202607,False
todas as atividades,Belém,514320,Faxineiro,8095,1586.87,1621.0,1694.62,1635.17,44.0,202508-202607,False
todas as atividades,Belém,521140,Atendente de lojas e mercados,3763,1519.47,1621.0,1670.0,1633.89,44.0,202508-202607,False
todas as atividades,Boa Vista,141510,Gerente de restaurante,8,2055.25,2350.0,2892.86,2620.56,44.0,202508-202607,True
todas as atividades,Boa Vista,141515,Gerente de bar,6,1715.75,2000.0,2053.47,1896.43,44.0,202508-202607,True
todas as atividades,Boa Vista,371410,Recreador,60,1586.31,1621.0,1621.0,1623.51,44.0,202508-202607,False
todas as atividades,Boa Vista,421125,Operador de caixa,2248,1601.49,1621.0,1621.0,1606.19,44.0,202508-202607,False
todas as atividades,Boa Vista,513205,Cozinheiro geral,255,1600.0,1621.0,1786.3,1777.4,44.0,202508-202607,False
todas as atividades,Boa Vista,513405,Garçom,252,1586.31,1621.0,1621.0,1615.57,44.0,202508-202607,False
todas as atividades,Boa Vista,513415,Cumim,112,1586.31,1621.0,1621.0,1605.33,44.0,202508-202607,False
todas as atividades,Boa Vista,513420,Barman,40,1586.31,1593.16,1621.0,1627.37,44.0,202508-202607,False
todas as atividades,Boa Vista,513435,Atendente de lanchonete,548,1600.0,1621.0,1621.0,1614.97,44.0,202508-202607,False
