cd_bairro,nm_bairro,cd_mun,capital,uf,area_km2,pessoas,domicilios,domicilios_particulares_ocupados,media_moradores,pop_0_a_4_anos,pop_5_a_9_anos,pop_10_a_14_anos,pop_15_a_19_anos,pop_20_a_24_anos,pop_25_a_29_anos,pop_30_a_39_anos,pop_40_a_49_anos,pop_50_a_59_anos,pop_60_a_69_anos,pop_70_anos_ou_mais,densidade_hab_km2,pop_20_39,pct_pop_20_39
1100205002,Juscelino Kubitschek,1100205,Porto Velho,RO,1.1490337,7882.0,3140.0,2626.0,3.0,500.0,582.0,552.0,560.0,675.0,721.0,1220.0,1064.0,991.0,665.0,352.0,6859.7,2616.0,33.2
1100205003,Flodoaldo Pontes Pinto,1100205,Porto Velho,RO,2.3897013,7781.0,3414.0,2556.0,3.0,351.0,448.0,448.0,491.0,613.0,646.0,1255.0,1132.0,1053.0,891.0,453.0,3256.1,2514.0,32.3
1100205004,Tiradentes,1100205,Porto Velho,RO,0.8673588,3091.0,1139.0,980.0,3.2,203.0,252.0,233.0,266.0,263.0,269.0,473.0,467.0,333.0,209.0,123.0,3563.7,1005.0,32.5
1100205005,Industrial,1100205,Porto Velho,RO,1.4900187,2132.0,978.0,837.0,2.5,139.0,158.0,142.0,124.0,112.0,161.0,473.0,367.0,243.0,139.0,74.0,1430.9,746.0,35.0
1100205006,Nova Porto Velho,1100205,Porto Velho,RO,2.2934329,8187.0,4323.0,3052.0,2.7,419.0,455.0,506.0,544.0,666.0,713.0,1337.0,1241.0,1054.0,735.0,517.0,3569.8,2716.0,33.2
1100205007,Roque,1100205,Porto Velho,RO,0.7809648,2399.0,958.0,795.0,3.0,155.0,179.0,149.0,195.0,256.0,190.0,341.0,361.0,262.0,178.0,131.0,3071.8,787.0,32.8
1100205008,Liberdade,1100205,Porto Velho,RO,0.8332103,2551.0,1431.0,976.0,2.6,118.0,138.0,149.0,139.0,168.0,194.0,431.0,410.0,328.0,248.0,228.0,3061.7,793.0,31.1
1100205009,São João Bosco,1100205,Porto Velho,RO,1.3588514,5616.0,2469.0,1952.0,2.9,294.0,310.0,342.0,358.0,379.0,394.0,861.0,931.0,671.0,616.0,460.0,4132.9,1634.0,29.1
1100205010,São Cristóvão,1100205,Porto Velho,RO,1.0414588,2712.0,1307.0,943.0,2.9,125.0,155.0,167.0,170.0,187.0,221.0,449.0,408.0,316.0,247.0,266.0,2604.0,857.0,31.6
1100205011,Nossa Senhora das Graças,1100205,Porto Velho,RO,0.8722825,2024.0,1406.0,800.0,2.5,100.0,105.0,86.0,112.0,185.0,172.0,343.0,295.0,247.0,187.0,192.0,2320.3,700.0,34.6
1100205012,Mato Grosso,1100205,Porto Velho,RO,0.3988697,1341.0,722.0,444.0,3.0,59.0,83.0,89.0,93.0,154.0,107.0,177.0,203.0,173.0,94.0,109.0,3362.0,438.0,32.7
1100205014,Tucumanzal,1100205,Porto Velho,RO,0.3135786,1600.0,610.0,514.0,3.1,109.0,124.0,122.0,118.0,147.0,142.0,247.0,227.0,173.0,112.0,79.0,5102.4,536.0,33.5
1100205015,Olaria,1100205,Porto Velho,RO,1.1033993,3193.0,1630.0,1151.0,2.8,153.0,178.0,171.0,185.0,208.0,218.0,526.0,459.0,463.0,359.0,273.0,2893.8,952.0,29.8
