tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202309,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202310,Índice geral,0.24,0.24
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202311,Índice geral,0.28,0.28
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202312,Índice geral,0.56,0.56
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202401,Índice geral,0.42,0.42
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202402,Índice geral,0.83,0.83
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202403,Índice geral,0.16,0.16
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202404,Índice geral,0.38,0.38
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202405,Índice geral,0.46,0.46
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202406,Índice geral,0.21,0.21
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202407,Índice geral,0.38,0.38
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202408,Índice geral,-0.02,-0.02
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202409,Índice geral,0.44,0.44
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202410,Índice geral,0.56,0.56
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202411,Índice geral,0.39,0.39
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202412,Índice geral,0.52,0.52
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202501,Índice geral,0.16,0.16
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202502,Índice geral,1.31,1.31
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202503,Índice geral,0.56,0.56
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202504,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202505,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202506,Índice geral,0.24,0.24
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202507,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202508,Índice geral,-0.11,-0.11
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202509,Índice geral,0.48,0.48
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202510,Índice geral,0.09,0.09
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202511,Índice geral,0.18,0.18
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202512,Índice geral,0.33,0.33
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202601,Índice geral,0.33,0.33
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202602,Índice geral,0.70,0.7
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202603,Índice geral,0.88,0.88
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202604,Índice geral,0.67,0.67
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202605,Índice geral,0.58,0.58
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202606,Índice geral,0.16,0.16
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202607,Índice geral,0.07,0.07
7060,63,IPCA - Variação mensal,%,Brasil,1,Brasil,202608,Índice geral,-0.32,-0.32
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202309,Índice geral,0.46,0.46
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202310,Índice geral,0.30,0.3
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202311,Índice geral,0.04,0.04
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202312,Índice geral,0.90,0.9
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202401,Índice geral,0.63,0.63
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202402,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Município,1200401,Rio Branco - AC,202403,Índice geral,0.18,0.18
