tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Forma de declaração da idade,Idade,valor_original,valor
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,Total,364756,364756.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,Total,957916,957916.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,Total,442933,442933.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,Total,2063689,2063689.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,Total,2417678,2417678.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,Total,2428708,2428708.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,Total,2817381,2817381.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,Total,322869,322869.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,Total,1437366,1437366.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,Total,1037775,1037775.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,Total,650877,650877.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,Total,898100,898100.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,Total,2315560,2315560.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,Total,1303403,1303403.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,Total,833932,833932.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,Total,1773718,1773718.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,Total,1488920,1488920.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,Total,866300,866300.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,Total,6211223,6211223.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,Total,751300,751300.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,Total,1332845,1332845.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,Total,460434,460434.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,Total,413486,413486.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,Total,537211,537211.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,Total,11451999,11451999.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,Total,602757,602757.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,Total,302692,302692.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,0 a 4 anos,26436,26436.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,0 a 4 anos,63010,63010.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,0 a 4 anos,36948,36948.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,0 a 4 anos,153636,153636.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,0 a 4 anos,122445,122445.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,0 a 4 anos,138704,138704.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,0 a 4 anos,166848,166848.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,0 a 4 anos,17078,17078.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,0 a 4 anos,83676,83676.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,0 a 4 anos,63544,63544.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,0 a 4 anos,43647,43647.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,0 a 4 anos,59766,59766.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,0 a 4 anos,111703,111703.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,0 a 4 anos,70625,70625.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,0 a 4 anos,52011,52011.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,0 a 4 anos,85003,85003.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,0 a 4 anos,80947,80947.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,0 a 4 anos,54739,54739.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,0 a 4 anos,310648,310648.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,0 a 4 anos,42640,42640.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,0 a 4 anos,64258,64258.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,0 a 4 anos,32424,32424.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,0 a 4 anos,37337,37337.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,0 a 4 anos,25973,25973.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,0 a 4 anos,599931,599931.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,0 a 4 anos,34951,34951.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,0 a 4 anos,22841,22841.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,5 a 9 anos,29363,29363.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,5 a 9 anos,65126,65126.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,5 a 9 anos,38551,38551.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,5 a 9 anos,169175,169175.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,5 a 9 anos,141324,141324.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,5 a 9 anos,155660,155660.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,5 a 9 anos,184611,184611.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,5 a 9 anos,18419,18419.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,5 a 9 anos,89501,89501.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,5 a 9 anos,68279,68279.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,5 a 9 anos,46681,46681.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,5 a 9 anos,63928,63928.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,5 a 9 anos,124644,124644.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,5 a 9 anos,80003,80003.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,5 a 9 anos,55538,55538.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,5 a 9 anos,100444,100444.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,5 a 9 anos,93275,93275.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,5 a 9 anos,57613,57613.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,5 a 9 anos,367196,367196.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,5 a 9 anos,46579,46579.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,5 a 9 anos,76417,76417.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,5 a 9 anos,36013,36013.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,5 a 9 anos,37033,37033.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,5 a 9 anos,29092,29092.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,5 a 9 anos,682444,682444.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,5 a 9 anos,37963,37963.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,5 a 9 anos,22977,22977.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,10 a 14 anos,28831,28831.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,10 a 14 anos,65327,65327.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,10 a 14 anos,37375,37375.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,10 a 14 anos,162708,162708.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,10 a 14 anos,141898,141898.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,10 a 14 anos,154376,154376.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,10 a 14 anos,182774,182774.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,10 a 14 anos,17857,17857.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,10 a 14 anos,85964,85964.0
