anexo,faixa,rotulo_faixa,tributo,percentual,valor_original
I,1,1 a Faixa,IRPJ,5.5,"5,50%"
I,1,1 a Faixa,CSLL,3.5,"3,50%"
I,1,1 a Faixa,Cofins,12.74,"12,74%"
I,1,1 a Faixa,PIS/Pasep,2.76,"2,76%"
I,1,1 a Faixa,CPP,41.5,"41,50%"
I,1,1 a Faixa,ICMS,34.0,"34,00%"
I,2,2 a Faixa,IRPJ,5.5,"5,50%"
I,2,2 a Faixa,CSLL,3.5,"3,50%"
I,2,2 a Faixa,Cofins,12.74,"12,74%"
I,2,2 a Faixa,PIS/Pasep,2.76,"2,76%"
I,2,2 a Faixa,CPP,41.5,"41,50%"
I,2,2 a Faixa,ICMS,34.0,"34,00%"
I,3,3 a Faixa,IRPJ,5.5,"5,50%"
I,3,3 a Faixa,CSLL,3.5,"3,50%"
I,3,3 a Faixa,Cofins,12.74,"12,74%"
I,3,3 a Faixa,PIS/Pasep,2.76,"2,76%"
I,3,3 a Faixa,CPP,42.0,"42,00%"
I,3,3 a Faixa,ICMS,33.5,"33,50%"
I,4,4 a Faixa,IRPJ,5.5,"5,50%"
I,4,4 a Faixa,CSLL,3.5,"3,50%"
I,4,4 a Faixa,Cofins,12.74,"12,74%"
I,4,4 a Faixa,PIS/Pasep,2.76,"2,76%"
I,4,4 a Faixa,CPP,42.0,"42,00%"
I,4,4 a Faixa,ICMS,33.5,"33,50%"
I,5,5 a Faixa,IRPJ,5.5,"5,50%"
I,5,5 a Faixa,CSLL,3.5,"3,50%"
I,5,5 a Faixa,Cofins,12.74,"12,74%"
I,5,5 a Faixa,PIS/Pasep,2.76,"2,76%"
I,5,5 a Faixa,CPP,42.0,"42,00%"
I,5,5 a Faixa,ICMS,33.5,"33,50%"
I,6,6 a Faixa,IRPJ,13.5,"13,50%"
I,6,6 a Faixa,CSLL,10.0,"10,00%"
I,6,6 a Faixa,Cofins,28.27,"28,27%"
I,6,6 a Faixa,PIS/Pasep,6.13,"6,13%"
I,6,6 a Faixa,CPP,42.1,"42,10%"
I,6,6 a Faixa,ICMS,,-
II,1,1 a Faixa,IRPJ,5.5,"5,50%"
II,1,1 a Faixa,CSLL,3.5,"3,50%"
II,1,1 a Faixa,Cofins,11.51,"11,51%"
II,1,1 a Faixa,PIS/Pasep,2.49,"2,49%"
II,1,1 a Faixa,CPP,37.5,"37,50%"
II,1,1 a Faixa,IPI,7.5,"7,50%"
II,1,1 a Faixa,ICMS,32.0,"32,00%"
II,2,2 a Faixa,IRPJ,5.5,"5,50%"
II,2,2 a Faixa,CSLL,3.5,"3,50%"
II,2,2 a Faixa,Cofins,11.51,"11,51%"
II,2,2 a Faixa,PIS/Pasep,2.49,"2,49%"
II,2,2 a Faixa,CPP,37.5,"37,50%"
II,2,2 a Faixa,IPI,7.5,"7,50%"
II,2,2 a Faixa,ICMS,32.0,"32,00%"
II,3,3 a Faixa,IRPJ,5.5,"5,50%"
II,3,3 a Faixa,CSLL,3.5,"3,50%"
II,3,3 a Faixa,Cofins,11.51,"11,51%"
II,3,3 a Faixa,PIS/Pasep,2.49,"2,49%"
II,3,3 a Faixa,CPP,37.5,"37,50%"
II,3,3 a Faixa,IPI,7.5,"7,50%"
II,3,3 a Faixa,ICMS,32.0,"32,00%"
II,4,4 a Faixa,IRPJ,5.5,"5,50%"
II,4,4 a Faixa,CSLL,3.5,"3,50%"
II,4,4 a Faixa,Cofins,11.51,"11,51%"
II,4,4 a Faixa,PIS/Pasep,2.49,"2,49%"
II,4,4 a Faixa,CPP,37.5,"37,50%"
II,4,4 a Faixa,IPI,7.5,"7,50%"
