cluster,variavel,count,mean,std,min,p25,mediana,p75,max
0,ano_publicacao,422.0,2011.0758293838862,100.82990042923477,22.0,2014.0,2019.0,2022.0,2026.0
0,ano_nacional,265.0,2021.7094339622643,3.348804860927174,2002.0,2020.0,2022.0,2024.0,2027.0
0,qt_jogadores_min,422.0,1.8009478672985781,0.648915815798217,1.0,1.0,2.0,2.0,5.0
0,qt_jogadores_max,422.0,4.777251184834123,4.910375270809426,1.0,4.0,4.0,5.0,100.0
0,vl_tempo_jogo,422.0,74.20616113744076,43.871683550237364,10.0,45.0,60.0,90.0,300.0
0,idade_minima,422.0,11.428909952606634,2.350199515752589,5.0,10.0,12.0,13.0,18.0
0,qt_tem,422.0,652.9715639810427,1126.2880993777408,19.0,124.0,314.5,671.5,10258.0
0,qt_teve,422.0,110.49763033175356,169.6673810265105,0.0,19.0,51.0,120.0,1174.0
0,qt_favorito,422.0,57.372037914691944,117.75207044941693,0.0,10.0,21.0,52.75,1265.0
0,qt_quer,422.0,428.7345971563981,437.30477768533115,18.0,160.25,300.5,507.5,3197.0
0,qt_jogou,422.0,781.9620853080569,1201.2089094594505,27.0,159.25,377.5,831.75,9639.0
0,n_mecanicas,422.0,5.722748815165877,3.183449484575155,1.0,4.0,5.0,7.0,23.0
0,n_categorias,422.0,0.9597156398104265,0.960397737624444,0.0,0.0,1.0,2.0,4.0
0,tx_retencao,422.0,0.8364320890604997,0.09458554911542691,0.5510204081632653,0.7665171229912582,0.8520850682211261,0.9092104852307499,1.0
0,idx_desejo,422.0,1.26895627096138,1.1638943202773686,0.0241566014160766,0.5747040527366417,0.9130726631985232,1.580653072792146,12.394736842105264
0,tx_fidelizacao,422.0,0.09062856166437412,0.05874771991876013,0.0,0.05019850008563945,0.07590140123034855,0.11436792954765955,0.4642857142857143
0,diversidade_mecanica,422.0,5.722748815165877,3.183449484575155,1.0,4.0,5.0,7.0,23.0
0,amplitude_publico,422.0,2.976303317535545,4.931300733037524,0.0,2.0,3.0,3.0,99.0
0,nota_media,422.0,8.256255924170617,0.0759466677510807,8.13,8.19,8.26,8.32,8.4
0,nota_rank,422.0,7.587962085308057,0.43685457282597673,6.7,7.255,7.645,7.97,8.32
0,qt_avaliacoes,422.0,337.5568720379147,617.7682885015049,22.0,62.0,135.0,312.75,5407.0
0,tx_satisfacao,421.0,7.560910503226677,4.86510906640549,1.5294117647058822,5.0,6.555555555555555,8.454545454545455,58.0
0,tx_conversao,422.0,0.261024664143832,0.09766693181939014,0.04518664047151277,0.18921314891686133,0.25257841573631046,0.31284032722703303,0.6270841805612037
1,ano_publicacao,303.0,2018.3696369636964,6.144668894906635,1986.0,2015.0,2020.0,2023.0,2026.0
1,ano_nacional,208.0,2022.0961538461538,3.1146195114098125,2014.0,2020.0,2023.0,2025.0,2027.0
1,qt_jogadores_min,303.0,1.6171617161716172,0.6023979649686488,1.0,1.0,2.0,2.0,4.0
1,qt_jogadores_max,302.0,4.586092715231788,1.3483860038192301,1.0,4.0,4.0,5.0,12.0
1,vl_tempo_jogo,303.0,93.03630363036304,75.87691760148277,10.0,45.0,90.0,120.0,1000.0
1,idade_minima,303.0,12.066006600660065,2.0975228751736696,6.0,10.0,12.0,14.0,18.0
1,qt_tem,303.0,748.6171617161716,1103.7226436662368,3.0,130.5,416.0,896.5,9428.0
