cluster,variavel,count,mean,std,min,p25,mediana,p75,max
0,ano_publicacao,481.0,2018.6257796257796,25.615288417134806,1475.0,2017.0,2021.0,2024.0,2027.0
0,ano_nacional,351.0,2022.7435897435898,3.1635978961226483,2002.0,2021.0,2023.0,2025.0,2027.0
0,qt_jogadores_min,481.0,1.7817047817047817,0.6552337402265349,1.0,1.0,2.0,2.0,5.0
0,qt_jogadores_max,480.0,4.841666666666667,4.7395565155205714,1.0,4.0,4.0,6.0,100.0
0,vl_tempo_jogo,481.0,42.733887733887734,15.983711606790104,10.0,30.0,45.0,60.0,70.0
0,idade_minima,481.0,10.783783783783784,2.6792075606703474,3.0,8.0,10.0,14.0,18.0
0,qt_tem,481.0,751.002079002079,1306.3489986392108,0.0,91.0,286.0,752.0,9428.0
0,qt_teve,481.0,89.52390852390852,166.43566058598023,0.0,7.0,23.0,91.0,1131.0
0,qt_favorito,481.0,71.66735966735966,149.90526715192206,0.0,8.0,20.0,60.0,1147.0
0,qt_quer,481.0,452.24532224532226,583.9074003569527,5.0,103.0,246.0,541.0,4050.0
0,qt_jogou,481.0,842.5197505197506,1447.8564573062038,0.0,82.0,277.0,815.0,10300.0
0,n_mecanicas,481.0,5.197505197505198,2.9574189923524696,1.0,3.0,5.0,7.0,23.0
0,n_categorias,481.0,1.37006237006237,1.0469488388177672,0.0,1.0,1.0,2.0,4.0
0,tx_retencao,481.0,0.8925745137673827,0.09482384848975484,0.0,0.8544698544698545,0.90625,0.9574468085106383,1.0
0,idx_desejo,480.0,1.928006978092308,9.931922609333379,0.0241566014160766,0.5193507869843388,0.8034232195886044,1.2733606970185334,202.0
0,tx_fidelizacao,480.0,0.19052731489478864,0.7337475327360087,0.0,0.050676145987207925,0.07571819003781025,0.11684610730687779,10.0
0,diversidade_mecanica,481.0,5.197505197505198,2.9574189923524696,1.0,3.0,5.0,7.0,23.0
0,amplitude_publico,480.0,3.060416666666667,4.743361016198644,0.0,2.0,3.0,4.0,99.0
0,nota_media,481.0,8.53927234927235,0.3752272792428758,8.13,8.26,8.43,8.72,10.0
0,nota_rank,481.0,7.60072765072765,0.5471601786387703,6.7,7.09,7.63,8.04,8.87
0,qt_avaliacoes,481.0,356.82328482328484,701.7089228851858,12.0,36.0,108.0,301.0,5079.0
0,tx_satisfacao,475.0,6.240936505362379,4.262365289806455,1.0512820512820513,3.863543371522095,5.480225988700565,7.38421052631579,42.0
0,tx_conversao,481.0,0.2544867300745568,0.13437809027091602,0.041390728476821195,0.16943521594684385,0.22926829268292684,0.30526822227567957,1.2727272727272727
1,ano_publicacao,429.0,2018.1258741258741,5.858375822972106,1989.0,2015.0,2019.0,2023.0,2026.0
1,ano_nacional,287.0,2021.8850174216027,3.1307216570786074,2014.0,2019.0,2023.0,2024.0,2027.0
1,qt_jogadores_min,429.0,1.557109557109557,0.6034380003050741,1.0,1.0,2.0,2.0,5.0
1,qt_jogadores_max,429.0,4.396270396270396,1.160722093001731,1.0,4.0,4.0,5.0,20.0
1,vl_tempo_jogo,429.0,106.95804195804196,20.39649300733426,75.0,90.0,100.0,120.0,150.0
1,idade_minima,429.0,12.655011655011656,1.4411685005786468,8.0,12.0,12.0,14.0,18.0
1,qt_tem,429.0,619.3379953379954,915.9342939421673,2.0,116.0,323.0,757.0,10258.0
1,qt_teve,429.0,125.72027972027972,176.83905794499935,0.0,18.0,54.0,146.0,1174.0
1,qt_favorito,429.0,85.56177156177156,169.00042590399806,1.0,12.0,27.0,85.0,1692.0
1,qt_quer,429.0,605.0885780885781,660.8760870359617,31.0,193.0,394.0,714.0,4083.0
1,qt_jogou,429.0,806.8344988344988,1104.655842765783,22.0,148.0,417.0,995.0,9639.0
1,n_mecanicas,429.0,7.277389277389277,3.729144710386854,1.0,4.0,7.0,9.0,27.0
1,n_categorias,429.0,0.6853146853146853,0.8653742674152024,0.0,0.0,0.0,1.0,4.0
1,tx_retencao,429.0,0.8298390715817319,0.09190725003334432,0.5510204081632653,0.7575757575757576,0.8402366863905325,0.8996559633027523,1.0
