id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
83650,Diversidade e Inclusão,2025,2025.0,1,4.0,30,10,13,0,7,7,14,1,1,10.0,18,1
86414,Fábula TCG,2026,2026.0,2,2.0,30,14,21,0,6,5,5,4,3,9.92,13,1
51302,Operação Natal,2024,2026.0,2,4.0,90,10,2,1,3,43,47,5,1,9.86,21,1
46146,The Castles of Burgundy: Majestic Pledge,2023,2023.0,1,4.0,120,12,50,1,11,58,36,6,2,9.84,19,1
79769,Robot Hunters,2026,2027.0,2,4.0,45,12,4,0,4,35,52,4,1,9.82,17,1
80788,Na Night...,2025,2026.0,3,6.0,40,14,2,0,0,9,16,1,1,9.79,14,1
43544,4 Lead,2026,2026.0,2,4.0,20,8,4,0,10,23,30,4,3,9.77,24,1
21167,Brava Gente,2026,2026.0,2,4.0,90,14,4,0,10,82,43,2,0,9.77,31,1
63358,Frankezen,2026,2026.0,1,6.0,50,10,19,0,2,19,31,5,1,9.71,17,1
37648,Tainted Grail: Monarcas da Ruína,2023,2026.0,1,4.0,120,14,262,8,17,276,75,6,0,9.67,38,1
78092,Kakehashi,2026,2026.0,2,2.0,15,8,4,2,2,51,43,9,2,9.65,28,1
74725,Reinos Oníricos de Lovecraft,2025,2025.0,1,8.0,15,7,43,1,42,45,48,14,2,9.64,50,1
23795,Frosthaven,2022,2025.0,1,4.0,120,12,426,14,68,806,202,17,2,9.64,90,1
79818,Nezen,2025,2025.0,2,2.0,45,14,43,0,4,6,25,6,2,9.63,16,1
79571,BattleForge: Berserker,2026,2026.0,1,4.0,120,14,91,2,6,185,45,5,3,9.61,14,1
40874,The Elder Scrolls: Betrayal of the Second Era,2025,2026.0,1,4.0,240,14,478,11,55,591,221,7,1,9.6,82,1
77951,Cthulhu E Os Segredos Arcanos ,2026,2026.0,3,8.0,15,5,41,1,39,36,44,4,0,9.56,41,1
70642,Invocathlon,2026,2026.0,2,6.0,120,14,82,3,13,163,72,8,0,9.55,52,1
66596,Breachers - Fendas de Sempreterna,2026,2026.0,1,4.0,60,14,130,3,15,137,24,7,1,9.55,24,1
63567,Brass Birmingham: Deluxe Edition,2018,2021.0,2,4.0,120,14,485,14,54,160,371,11,1,9.51,144,1
71292,Dungeon Hunters,2026,2026.0,1,5.0,40,12,66,0,9,58,33,1,0,9.5,17,1
78916,Monstros & Tesouros - Campos de Batalha,2026,2026.0,1,4.0,120,14,134,6,7,104,29,11,2,9.46,18,1
22766,Oathsworn: Into the Deepwood,2022,2025.0,1,4.0,120,14,60,5,16,427,26,10,2,9.46,14,1
78912,Trickerion: Anniversary Edition,2025,2026.0,1,4.0,180,14,212,3,21,104,157,6,0,9.45,48,1
68765,Ovelha em pele de lobo,2025,2025.0,2,5.0,10,8,35,0,12,16,51,6,2,9.43,35,1
36265,The Castles of Burgundy: Special Edition,2023,2023.0,1,4.0,120,12,713,35,200,1693,1250,8,2,9.42,445,1
