,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Acertos e Falhas Críticas,7,0.004274871817749252,-0.0014855863698134287,-0.004076475224410601,-4.83586337736569e-05,0.017380730060001452,0.0341088488451708,0.02337652593771125,0.03127402353684093,0.044004515969937465,0.03359319983968488,-0.011018471988763186,0.1877034227610868,0.09880980936508926,0.04427786210548771,0.011073811780767155
Acordos,7,0.0016172097198603418,-0.0697422574152957,0.0640875367247489,0.021874222010267664,0.13365123119921424,0.09983120571324845,0.02189863471151755,0.05053362612127927,0.037404672118739456,0.009029455918893824,0.011928267735910245,0.1718732940896818,-0.025642965550396656,-0.05140612716998581,0.030295113471964064
Alianças,7,0.0025663747548206666,-0.060641367942564736,0.10953021135752189,0.03283551233228837,0.047901736609044815,0.052033127991010154,0.028211177855957344,0.05558652565864142,0.04711032484108946,0.01992151001285735,0.020876180359029488,0.2312362766074508,0.029669378856485965,-0.007598999549889449,0.03723333779701309
Alocação de Diferentes Tipos de Trabalhadores,44,0.00984556554261697,0.002569936759666259,-0.08642568631729441,-0.03374827838254073,0.1626417066679044,0.09006896219340274,-0.06337227015487856,-0.01459921863860012,-0.04558182939639576,-0.022616983511490964,-0.034619896637161175,0.14982676377503412,-0.16663889449388491,0.018557439164505397,-0.03644751002331317
Alocação de Trabalhadores,138,0.016964860984257556,-0.019259720557860495,-0.16191222178317682,-0.057615736131918574,0.24955859111319065,0.15847634858942627,-0.08798855753450478,0.024581774721394667,-0.05499102637951358,-0.005243961492140212,-0.03739740791428559,0.07438571260132834,-0.3360877531605207,-0.029110420070157603,-0.03950532314590572
Alocação de Trabalhadores com Dados,22,0.0073859624525813294,-0.029364084971920106,-0.05360095872867381,-0.03284092796406521,0.04632282810451084,0.004671536093389937,-0.0118219273422447,0.02623748028891143,-0.00015033977344555347,0.0032348905739738028,0.01361893135478525,0.04658728288928833,-0.021182938261220384,0.0519213027298071,0.008777341273283789
Apostas e Blefes,28,0.0035753935424937848,-0.08392369156138497,0.26872897539371654,0.1038416128355638,0.0043082018878218345,0.008605424517743133,-0.006408603788258121,0.011950674671069483,-0.0004357276701066762,0.007919385239711885,-0.0032920226895681963,0.0919098511465836,0.10243383182401518,-0.031447723012378574,-5.966640978137365e-05
Apostas em Metas,1,0.0018228922818958083,-0.015969627802070403,-0.03573326293554984,-0.006892585140826749,-0.015335551996855244,0.035317319154881614,-0.01681518229648198,-0.018543403719184674,-0.01382737619120694,-0.02631506653359853,-0.018924461498056162,-0.017230723647293604,-0.04086950383181909,-0.0038716227316141732,-0.015262162121145804
Ação / Evento,19,0.010611104839664157,0.06879726482895457,-0.018704676185621646,-0.005834709937923163,0.05152866484821794,0.07186243439906792,-0.04763759420198529,-0.03222724229967342,-0.015862720723405912,-0.0210969989750603,-0.06399058177522655,0.1420226115230187,0.09892743454391943,0.12081235895330575,-0.04299190596180329
Ação Cronometrada,1,0.001322865355034512,0.008002440421788038,-0.03573326293554979,-0.006892585140826751,-0.026820326620050815,0.0038418577848691646,-0.013978554990812747,-0.015650030236513707,-0.01709970083035801,-0.024145685825128924,-0.01815126632807799,-0.006806442437187153,-0.004445830692058951,-0.046383558608162505,-0.018184122005102048
Bingo,1,0.001822892281895808,-0.003983593690141185,-0.03573326293554981,0.9170251930792361,-0.026820326620050808,-0.027633603585143288,-0.0015155009776064488,-0.008513042312591996,-0.01505449793088859,-0.02029503506759537,-0.0107392574572527,0.01404211998302574,0.03197784244770114,-0.03727385806318788,-0.01095891211022842
Bônus de Fim de Jogo,131,0.018878958317657284,-0.0006268458415462919,-0.059401100017230264,0.0385097594405768,0.08303586310614121,0.033610211191476155,0.13510245241431057,0.09898765809990404,0.16411080791836008,0.19204310958790055,0.18965424568123782,0.3387735394751248,-0.152146259934462,-0.01298958505619299,0.15611879768253425
Cabo-de-Guerra,4,0.00014591878633747786,-0.026003747828663663,0.04833800687210703,-0.0523976257376918,-0.02498397064723748,-0.03173078620739137,0.12186906094159192,0.09544789683863478,0.11535552758727444,0.05838145345140551,0.06686693962753998,0.06471234050009528,0.04584523858288249,0.08658180913884315,0.10597964153318006
Camadas de Componentes,9,0.003824517474229359,0.028169102299467404,0.03264029992673002,-0.01757354033869895,-0.06938617143368564,-0.0833935390807179,0.08649521021868126,0.03167965761022788,0.06731133216690097,0.0385193399306695,0.06287457220106138,0.10529417481083528,0.011010009004960805,-0.038496633447456304,0.06561798233904383
Campanha / Batalhas Dirigidas por Cartas,24,0.007839418550273905,0.010015209451902861,-0.053809851525417646,-0.026358829712756347,0.030893578498831148,-0.0004614044471040364,0.006396647073648742,0.0317175496946538,0.03662828372351452,0.05830829027144985,-0.041554932540844386,0.25399803599407067,0.09886810721185021,0.0965252238764964,-0.01335757307450627
Captura de Peças,6,0.006940378496835408,0.06878841410754055,0.03476586096749988,-0.01694582446877684,-0.07692000797144422,-0.022798011762475888,-0.03985727816953469,-0.04313982938408385,-0.03449823975698607,-0.0452741233370664,-0.039119764563764675,-0.04236274379369012,0.10846931113823366,0.09914701723482945,-0.03203710168607415
Cartas Multiuso,40,0.015458179307180207,0.08141186947581282,-0.06708221574130914,-0.011985921426190994,0.031026841596467868,0.05322097145676874,-0.01681693859210128,-0.02856673579393741,-0.010004219071979672,-0.00411029648927598,-0.01236979832687516,0.19333810371633414,-0.07048571224745254,0.04796997421971942,-0.019070971896035214
