,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Acertos e Falhas Críticas,0.9114018983632596,0.9691550053564175,0.9154979836341899,0.9989956879380822,0.6509561354974837,0.37450203753190664,0.5428248320446885,0.41551576207490526,0.2518194161516857,0.38177053336379974,0.7742603465916004,8.240580534537405e-07,0.009931192281598512,0.24888302555820777,0.7731574874022782
Acordos,0.9664236752272711,0.06913704886841113,0.09495088470968499,0.5690652985541698,0.0004749953842895291,0.009187421837475122,0.5686340990043116,0.1881162047513254,0.3300859171358498,0.8141846741337092,0.7561884057153053,6.567527563944418e-06,0.5044104994258376,0.1805944759460906,0.430271283243698
Alianças,0.9467410414378118,0.11413474568921898,0.004242407490979726,0.39260616541382476,0.21219862868062508,0.17532842470511106,0.4626743760740427,0.14762485666282804,0.21985714090645966,0.6040500766307306,0.5868256165190057,1.0494929292583934e-09,0.4398601582585678,0.8432047138343194,0.33230748129813814
Alocação de Diferentes Tipos de Trabalhadores,0.7977386545062817,0.9466672304324854,0.02421012905627028,0.3795755476369678,2.028036709088288e-05,0.018815500943278614,0.09870463838499953,0.7039299104892277,0.23520438982246483,0.5560162329812424,0.36738325716353265,8.782621953169105e-05,1.2539390392710908e-05,0.6290459653372166,0.3426198455970052
Alocação de Trabalhadores,0.6587733814070333,0.6161216083453601,2.211325571214901e-05,0.1333769328653998,4.0996277341771594e-11,3.307142206037591e-05,0.021750809214056428,0.5222170510595995,0.15201899673039798,0.8914298661723915,0.330179911438792,0.05251838076453414,2.0342925128784148e-19,0.44852827206930923,0.30363050526540764
Alocação de Trabalhadores com Dados,0.8475459035422436,0.4445825974739004,0.16266203468827692,0.3925280627172985,0.22767222295571324,0.9032195362026357,0.7582940800763036,0.4945761310675669,0.9968777508509432,0.9328969020838955,0.7229631997442963,0.2250260541398215,0.5813395896926016,0.17625915017937976,0.8192821527057348
Apostas e Blefes,0.9258530178611737,0.028647947712748364,1.0318314922195051e-12,0.006724139508395262,0.9107139949620612,0.8227625078461103,0.8675193963954779,0.7557449497977476,0.9909509993272767,0.8366849957756565,0.9317146456751563,0.016512684587967095,0.007511619901072033,0.4129290267380379,0.9987608482268476
Apostas em Metas,0.9621563333978765,0.6776315205265846,0.35216800240718393,0.8576172845733513,0.6897532053826325,0.3578050847232513,0.6615961345861963,0.6293054422024391,0.7189012145529337,0.49330029951859267,0.6222770301923268,0.6537715053881358,0.28722443337479053,0.9197297064113357,0.6911614222729833
Ação / Evento,0.7823925683608445,0.0729989647037144,0.6263267161459726,0.8792879027151353,0.17955619803827336,0.06107980037431276,0.21473306264420663,0.40143817531979875,0.6796695501788339,0.5828741038618422,0.09545292080358236,0.00020277607618594988,0.009842894645674054,0.0015985444730240341,0.2629069242488653
Ação Cronometrada,0.9725321420509594,0.8349966630075146,0.35216800240718393,0.8576172845733513,0.4850349763855829,0.9203447648913087,0.7159601200359237,0.6837311290356223,0.6562346155798607,0.5296268827986116,0.6365733531174689,0.8593781500188405,0.907874169954702,0.22706259715519703,0.635963048833018
Bingo,0.9621563333978765,0.9174163871424191,0.35216800240718393,7.199015187418477e-273,0.4850349763855829,0.4718896566050525,0.968534211297656,0.8246341748493365,0.6951518830042169,0.5972838398882779,0.7798316671578115,0.7147247523074629,0.4050935617734149,0.3317812171504949,0.7754478153357752
Bônus de Fim de Jogo,0.6231145252256943,0.9869822390156262,0.12174079152441564,0.3159882088915973,0.030382579588549164,0.3815293755358,0.0004112323268326595,0.009797957378776713,1.70178740634338e-05,4.5187214975783037e-07,6.300838210749325e-07,1.0090233728953445e-19,6.793552573239073e-05,0.735274255583781,4.3382318533014634e-05
Cabo-de-Guerra,0.9969695652503497,0.49843025235878907,0.20805998028538758,0.1723200960652191,0.5154305554574268,0.40873410139751687,0.0014526264255090122,0.012771267940897285,0.002589923818762478,0.1282852980256065,0.08143516957821405,0.0917660642602114,0.2325069559167931,0.02395409017096408,0.0056692762602862795
Camadas de Componentes,0.9207031044612365,0.4633422974912978,0.3954277355403179,0.6473446969387904,0.07057213585099217,0.029673215399972926,0.024095820080993206,0.40948993548706464,0.07942619957363488,0.31586774008740165,0.10138563824066746,0.005990007708611376,0.7744290443862005,0.3161533090883933,0.08730238635327467
Campanha / Batalhas Dirigidas por Cartas,0.8383112557782374,0.7943309925523845,0.16102777718936545,0.4925814324813225,0.42121461094194984,0.9904177801807102,0.8677642965129286,0.40892969723480693,0.34022967046982755,0.12876518435913883,0.27921082143601633,1.7947556846200873e-11,0.0098873422457059,0.011791559413818176,0.7280673288926
Captura de Peças,0.8566406323787142,0.07303595094169625,0.36536555355731487,0.6591321182569627,0.044951342279877925,0.5528580945803631,0.2993394798099112,0.26126660152361125,0.3690702343821941,0.23838334511332096,0.30837780800424347,0.26996287195949775,0.004630292128963568,0.00967992648439979,0.4042232216616533
