,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.9999999999999992,0.018725001213332374,-0.038664069169726006,0.00771436176160549,-0.08478743977213532,0.06018879203367779,-0.016282317282734063,-0.02496364146929278,-0.019729355377425373,-0.007319581428078465,-0.01789707637292476,0.04577396119177046,0.01612344337251097,0.04566144490185172,-0.024669832332774373
ano_nacional,0.018725001213332374,1.0,-0.17831110874117068,-0.005742683331956106,-0.12349501967107179,-0.03443693905267715,-0.5489209013240789,-0.7501632494939936,-0.5569551272608377,-0.526045705468049,-0.5675778546039201,-0.18222304155816738,0.1257295935693139,0.2855647045284424,-0.6244307029681951
qt_jogadores_min,-0.038664069169726006,-0.17831110874117068,1.0,0.07892871209711315,-0.2517465784011076,-0.1992807590813963,0.10792676782684685,0.08216315255674858,0.05617144600123132,-0.008115004637590552,0.11304976703748612,-0.12465131252317663,0.08585832294653808,-0.09550945896818228,0.12451123247877838
qt_jogadores_max,0.00771436176160549,-0.005742683331956106,0.07892871209711315,0.9999999999999987,-0.0497712492605991,-0.05158999721024457,0.010453491403803892,-0.01636465972075725,-0.004313147947696151,-0.014420215372476564,0.007747410875104974,-0.0010000045868420078,0.06495085329681838,-0.05266047187275953,-0.0007929148102953434
vl_tempo_jogo,-0.08478743977213532,-0.12349501967107179,-0.2517465784011076,-0.0497712492605991,0.9999999999999996,0.4628657507364956,-0.00839760137997949,0.1476869429323501,0.13323800728404483,0.21789665717074483,0.011981220502440678,0.38004731108277456,-0.27951095414721683,0.1901865892551381,0.03477144706548279
idade_minima,0.06018879203367779,-0.03443693905267715,-0.1992807590813963,-0.05158999721024457,0.4628657507364956,1.0,-0.04212063638410336,0.0693972018800918,0.039920704289816984,0.10983640291220745,-0.03849477143667551,0.19598427332874824,-0.08513523422098748,0.09489518384669882,-0.0286897026088418
qt_tem,-0.016282317282734063,-0.5489209013240789,0.10792676782684685,0.010453491403803892,-0.00839760137997949,-0.04212063638410336,1.0,0.8397645285704919,0.8978105466323879,0.8119115887153536,0.9630725433760272,0.20651775036443332,0.014304953606365835,-0.10392117143028695,0.9698581812570982
qt_teve,-0.02496364146929278,-0.7501632494939936,0.08216315255674858,-0.01636465972075725,0.1476869429323501,0.0693972018800918,0.8397645285704919,1.0,0.8693873492911997,0.8121090189205777,0.8535534212302036,0.30571465741339404,-0.10219535585074788,-0.13801063601484437,0.9111755701899644
qt_favorito,-0.019729355377425373,-0.5569551272608377,0.05617144600123132,-0.004313147947696151,0.13323800728404483,0.039920704289816984,0.8978105466323879,0.8693873492911997,1.0,0.8912442032247861,0.8996487280402271,0.3086026111477814,-0.02432017191370677,0.042952516825456304,0.9358542282615634
qt_quer,-0.007319581428078465,-0.526045705468049,-0.008115004637590552,-0.014420215372476564,0.21789665717074483,0.10983640291220745,0.8119115887153536,0.8121090189205777,0.8912442032247861,1.0,0.859661381833638,0.3484421552787298,-0.07093427885369469,0.022267812286758962,0.8448617988804558
qt_jogou,-0.01789707637292476,-0.5675778546039201,0.11304976703748612,0.007747410875104974,0.011981220502440678,-0.03849477143667551,0.9630725433760272,0.8535534212302036,0.8996487280402271,0.859661381833638,0.9999999999999996,0.20149667383610118,-0.05236060525978007,-0.11609379027211661,0.9766843799269702
n_mecanicas,0.04577396119177046,-0.18222304155816738,-0.12465131252317663,-0.0010000045868420078,0.38004731108277456,0.19598427332874824,0.20651775036443332,0.30571465741339404,0.3086026111477814,0.3484421552787298,0.20149667383610118,1.0,-0.013343224762792052,0.11428947500278921,0.2317095336769356
n_categorias,0.01612344337251097,0.1257295935693139,0.08585832294653808,0.06495085329681838,-0.27951095414721683,-0.08513523422098748,0.014304953606365835,-0.10219535585074788,-0.02432017191370677,-0.07093427885369469,-0.05236060525978007,-0.013343224762792052,1.0,0.07515552202899145,-0.04598136513138408
nota_media,0.04566144490185172,0.2855647045284424,-0.09550945896818228,-0.05266047187275953,0.1901865892551381,0.09489518384669882,-0.10392117143028695,-0.13801063601484437,0.042952516825456304,0.022267812286758962,-0.11609379027211661,0.11428947500278921,0.07515552202899145,1.0,-0.0901777666461996
qt_avaliacoes,-0.024669832332774373,-0.6244307029681951,0.12451123247877838,-0.0007929148102953434,0.03477144706548279,-0.0286897026088418,0.9698581812570982,0.9111755701899644,0.9358542282615634,0.8448617988804558,0.9766843799269702,0.2317095336769356,-0.04598136513138408,-0.0901777666461996,1.0
