,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.0,0.6259517397949383,0.3140515195902491,0.8408558798756375,0.02704272699188121,0.11686575550962643,0.6716840897774752,0.5157724825119196,0.6075441971060173,0.8488995411962521,0.6413033027164524,0.23323469890524784,0.6747033765932782,0.23438676909953934,0.5207272928322884
ano_nacional,0.6259517397949383,0.0,2.885925935440155e-06,0.8811775865719826,0.0012518686741752715,0.36992209011433524,9.052443609810807e-55,6.601455587625451e-124,1.164951755867585e-56,1.1682755755824568e-49,3.0638307390272887e-59,1.7256394335260244e-06,0.0010175043383020845,3.1609092937711647e-14,8.6562130908244e-75
qt_jogadores_min,0.3140515195902491,2.885925935440155e-06,0.0,0.03962535808835084,2.7340319088217306e-11,1.6084776656404378e-07,0.0048407935925292985,0.03217465158891387,0.1434037315454728,0.8327096871564365,0.0031570038897332413,0.0011250111800979368,0.025160628977267157,0.012713405861247699,0.0011397218092784706
qt_jogadores_max,0.8408558798756375,0.8811775865719826,0.03962535808835084,0.0,0.1948752356986162,0.1790381864520734,0.785545418581717,0.670121303150937,0.9106119183033375,0.7073920760875321,0.8401832423715038,0.9792342398419832,0.09057311303959266,0.1701747605224942,0.9835339079930344
vl_tempo_jogo,0.02704272699188121,0.0012518686741752715,2.7340319088217306e-11,0.1948752356986162,0.0,2.0931430350587794e-37,0.8269744104280263,0.00011093715284745512,0.0004947680160367734,9.427847816220743e-09,0.7551405462284345,8.634325995084753e-25,1.1379745275982745e-13,5.85303457602515e-07,0.3652884728547724
idade_minima,0.11686575550962643,0.36992209011433524,1.6084776656404378e-07,0.1790381864520734,2.0931430350587794e-37,0.0,0.2727122852843488,0.07052731819851794,0.29857050475005137,0.004136061103197589,0.3161767342415297,2.587159744813774e-07,0.02641859542830531,0.013301265195442872,0.45511592719568505
qt_tem,0.6716840897774752,9.052443609810807e-55,0.0048407935925292985,0.785545418581717,0.8269744104280263,0.2727122852843488,0.0,5.3620062809739054e-182,1.1199657337728971e-243,1.2402282275652585e-160,0.0,5.5073190271670234e-08,0.7096245996752963,0.006681931455396509,0.0
qt_teve,0.5157724825119196,6.601455587625451e-124,0.03217465158891387,0.670121303150937,0.00011093715284745512,0.07052731819851794,5.3620062809739054e-182,0.0,9.371425357854638e-210,9.011942817724109e-161,3.747030253458794e-194,3.538406346307626e-16,0.00765290285139402,0.00030673790784725317,2.753113728778704e-263
qt_favorito,0.6075441971060173,1.164951755867585e-56,0.1434037315454728,0.9106119183033375,0.0004947680160367734,0.29857050475005137,1.1199657337728971e-243,9.371425357854638e-210,0.0,5.138204753470546e-235,3.299497172108324e-246,1.8048304280837706e-16,0.5266557030328303,0.26334490375702585,2.481183506367807e-309
qt_quer,0.8488995411962521,1.1682755755824568e-49,0.8327096871564365,0.7073920760875321,9.427847816220743e-09,0.004136061103197589,1.2402282275652585e-160,9.011942817724109e-161,5.138204753470546e-235,0.0,6.064075739281633e-200,7.633886170406367e-21,0.06450609548522843,0.5621324150094832,2.3687625054152535e-186
qt_jogou,0.6413033027164524,3.0638307390272887e-59,0.0031570038897332413,0.8401832423715038,0.7551405462284345,0.3161767342415297,0.0,3.747030253458794e-194,3.299497172108324e-246,6.064075739281633e-200,0.0,1.1633088453698454e-07,0.17262386980139244,0.002429038162137198,0.0
n_mecanicas,0.23323469890524784,1.7256394335260244e-06,0.0011250111800979368,0.9792342398419832,8.634325995084753e-25,2.587159744813774e-07,5.5073190271670234e-08,3.538406346307626e-16,1.8048304280837706e-16,7.633886170406367e-21,1.1633088453698454e-07,0.0,0.728347891714844,0.0028394321512953576,9.68395623443179e-10
n_categorias,0.6747033765932782,0.0010175043383020845,0.025160628977267157,0.09057311303959266,1.1379745275982745e-13,0.02641859542830531,0.7096245996752963,0.00765290285139402,0.5266557030328303,0.06450609548522843,0.17262386980139244,0.728347891714844,0.0,0.05011492383938924,0.23112157265370725
nota_media,0.23438676909953934,3.1609092937711647e-14,0.012713405861247699,0.1701747605224942,5.85303457602515e-07,0.013301265195442872,0.006681931455396509,0.00030673790784725317,0.26334490375702585,0.5621324150094832,0.002429038162137198,0.0028394321512953576,0.05011492383938924,0.0,0.018671984881978576
qt_avaliacoes,0.5207272928322884,8.6562130908244e-75,0.0011397218092784706,0.9835339079930344,0.3652884728547724,0.45511592719568505,0.0,2.753113728778704e-263,2.481183506367807e-309,2.3687625054152535e-186,0.0,9.68395623443179e-10,0.23112157265370725,0.018671984881978576,0.0
