id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes
83650,Diversidade e Inclusão,2025,2025.0,1,4.0,30,10,13,0,7,7,14,1,Cooperativo,1,Jogo de Cartas,Educacional,https://ludopedia.com.br/jogo/diversidade-e-inclusao,1.0,0.5384615384615384,0.5384615384615384,1,3.0,10.0,7.06,18
37204,Commodities,2022,,2,6.0,50,10,4,1,4,14,12,2,Negociação;Rolagem de Dados,3,Jogo de Cartas;Jogo de Dados;Jogo de Entrada,Economia / Produção;Educacional,https://ludopedia.com.br/jogo/commodities,0.8,3.5,1.0,2,4.0,10.0,6.77,12
86414,Fábula TCG,2026,2026.0,2,2.0,30,14,21,0,6,5,5,4,Ação / Evento;Captura de Peças;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades,3,Colecionável;Jogo de Cartas;Jogo Assimétrico,Animais;Civilização;Cultura Brasileira;Ficção Científica;Luta / Artes Marciais;Mitologia;Religião,https://ludopedia.com.br/jogo/fabula-tcg,1.0,0.23809523809523808,0.2857142857142857,4,0.0,9.92,6.81,13
51302,Operação Natal,2024,2026.0,2,4.0,90,10,2,1,3,43,47,5,Alocação de Trabalhadores;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Trilha;Pegar e Entregar,1,Jogo Assimétrico,Fantasia,https://ludopedia.com.br/jogo/operacao-natal,0.6666666666666666,21.5,1.5,5,2.0,9.86,7.14,21
46146,The Castles of Burgundy: Majestic Pledge,2023,2023.0,1,4.0,120,12,50,1,11,58,36,6,Alocação de Trabalhadores com Dados;Colecionar Conjuntos;Colocação de Peças;Grade Hexagonal;Jogo em Equipe;Rolagem de Dados,2,Estratégia Abstrata;Jogo de Dados,Medieval,https://ludopedia.com.br/jogo/the-castles-of-burgundy-majestic-pledge,0.9803921568627451,1.16,0.22,6,3.0,9.84,7.06,19
79769,Robot Hunters,2026,2027.0,2,4.0,45,12,4,0,4,35,52,4,Contratos;Corrida;Gerenciamento de Mãos;Compra Fechada,1,Jogo de Cartas,Aventura;Ficção Científica;Tema de Video Game,https://ludopedia.com.br/jogo/robot-hunters,1.0,8.75,1.0,4,2.0,9.82,6.97,17
80788,Na Night...,2025,2026.0,3,6.0,40,14,2,0,0,9,16,1,Vazas / Truques,1,Carteado,Adulto,https://ludopedia.com.br/jogo/na-night,1.0,4.5,0.0,1,3.0,9.79,6.83,14
43544,4 Lead,2026,2026.0,2,4.0,20,8,4,0,10,23,30,4,Captura de Peças;Colocação de Peças;Influência / Maioria na Área;Reconhecimento de Padrões,3,Estratégia Abstrata;Jogo de Cartas;Jogo de Entrada,Fantasia;Medieval;Tema de Video Game,https://ludopedia.com.br/jogo/4-lead,1.0,5.75,2.5,4,2.0,9.77,7.22,24
21167,Brava Gente,2026,2026.0,2,4.0,90,14,4,0,10,82,43,2,Alocação de Trabalhadores;Colecionar Conjuntos,0,,Cultura Brasileira;Educacional;Economia / Produção,https://ludopedia.com.br/jogo/brava-gente,1.0,20.5,2.5,2,2.0,9.77,7.44,31
63358,Frankezen,2026,2026.0,1,6.0,50,10,19,0,2,19,31,5,Colocação de Peças;Combinação;Mercado;Negociação;Toma Essa,1,Jogo de Cartas,Ficção Científica;Humor,https://ludopedia.com.br/jogo/frankezen,1.0,1.0,0.10526315789473684,5,5.0,9.71,6.94,17
84679,Brass Lancashire: Deluxe Edition,2017,,1,4.0,120,14,109,5,9,31,96,4,Construção de Redes e Rotas;Gerenciamento de Mãos;Mercado;Rendimentos,0,,Adulto;Economia / Produção;História;Transportes,https://ludopedia.com.br/jogo/brass-lancashire-deluxe-edition,0.956140350877193,0.28440366972477066,0.08256880733944955,4,3.0,9.69,7.32,28
37648,Tainted Grail: Monarcas da Ruína,2023,2026.0,1,4.0,120,14,262,8,17,276,75,6,"Construção de Baralho, Bolsas e Peças;Movimento de Área;Narração de Histórias;Rolagem de Dados;Tabuleiro Modular;Cenário / Missão / Campanha",0,,Aventura;Fantasia;Mitologia,https://ludopedia.com.br/jogo/tainted-grail-kings-of-ruin,0.9703703703703703,1.0534351145038168,0.0648854961832061,6,3.0,9.67,7.58,38
78092,Kakehashi,2026,2026.0,2,2.0,15,8,4,2,2,51,43,9,"Cabo-de-Guerra;Campanha / Batalhas Dirigidas por Cartas;Colocação de Peças;Construção de Baralho, Bolsas e Peças;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Grades;Pedra, Papel e Tesoura;Tempo Real",2,Jogo de Cartas;Jogo de Entrada,Anime / Manga;Cultura Oriental;Cultura Pop ou Geek;Fantasia;Luta / Artes Marciais,https://ludopedia.com.br/jogo/kakehashi,0.6666666666666666,12.75,0.5,9,0.0,9.65,7.31,28
74725,Reinos Oníricos de Lovecraft,2025,2025.0,1,8.0,15,7,43,1,42,45,48,14,Apostas e Blefes;Combinação;Compra Fechada;Cooperativo;Dedução;Gerenciamento de Mãos;Jogo em Equipe;Memória;Posicionamento Secreto;Semi-Cooperativo;Solo / Solitário;Traidor;Votação;Alianças,2,Jogo de Cartas;Jogo de Entrada,Cultura Pop ou Geek;Fantasia;Literatura;Mitologia,https://ludopedia.com.br/jogo/reinos-oniricos-de-lovecraft,0.9772727272727273,1.0465116279069768,0.9767441860465116,14,7.0,9.64,7.82,50
23795,Frosthaven,2022,2025.0,1,4.0,120,12,426,14,68,806,202,17,"Seleção de Ação Simultânea;Campanha / Batalhas Dirigidas por Cartas;Cooperativo;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Grades;Narração de Histórias;RPG;Tabuleiro Modular;Legado;Cenário / Missão / Campanha;Cartas Multiuso;Comunicação Limitada;Construção de Baralho, Bolsas e Peças;Criação de Baralho;Habilidades 1 vez por Partida;Solo / Solitário",2,Miniaturas;Dungeon Crawler,Aventura;Fantasia;Luta / Artes Marciais,https://ludopedia.com.br/jogo/frosthaven,0.9681818181818181,1.892018779342723,0.1596244131455399,17,3.0,9.64,8.34,90
79818,Nezen,2025,2025.0,2,2.0,45,14,43,0,4,6,25,6,Gerenciamento de Mãos;Habilidades 1 vez por Partida;Mapa: Modificação;Movimento em Grades;Movimento Padrão;Pontos de Ação,2,Jogo de Cartas;Jogo de Entrada,Aventura;Fantasia,https://ludopedia.com.br/jogo/nezen,1.0,0.13953488372093023,0.09302325581395349,6,0.0,9.63,6.88,16
79571,BattleForge: Berserker,2026,2026.0,1,4.0,120,14,91,2,6,185,45,5,Árvores / Trilhas de Tecnologia;Cooperativo;Grade Hexagonal;Mancala;Movimento em Grades,3,Colecionável;Miniaturas;Jogo Assimétrico,Guerra;Mitologia;Vikings,https://ludopedia.com.br/jogo/battleforge-berserker,0.978494623655914,2.032967032967033,0.06593406593406594,5,3.0,9.61,6.79,14
40874,The Elder Scrolls: Betrayal of the Second Era,2025,2026.0,1,4.0,240,14,478,11,55,591,221,7,Cooperativo;Rolagem de Dados;Tabuleiro Modular;Cenário / Missão / Campanha;Árvores / Trilhas de Tecnologia;Grade Hexagonal;Preparação Variável,1,Dungeon Crawler,Aventura;Fantasia;Tema de Video Game,https://ludopedia.com.br/jogo/the-elder-scrolls-betrayal-of-the-second-era,0.9775051124744376,1.2364016736401673,0.11506276150627615,7,3.0,9.6,8.24,82
63697,Grimcoven: Standard Edition,2025,,1,4.0,120,14,43,7,9,153,25,12,"Cooperativo;Escolha Narrativa;Eventos;Tabuleiro Modular;Cenário / Missão / Campanha;Construção de Baralho, Bolsas e Peças;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Jogo em Equipe;Rolagem de Dados;RPG;Solo / Solitário",1,Miniaturas,Fantasia;Horror/Terror,https://ludopedia.com.br/jogo/grimcoven-standard-edition,0.86,3.558139534883721,0.20930232558139536,12,3.0,9.58,6.74,13
24906,Caverna - O Misterioso Mundo Subterrâneo,2000,,2,6.0,20,7,8,35,9,52,22,1,Movimento Programado,2,Jogo de Cartas;Dungeon Crawler,Aventura;Ciências,https://ludopedia.com.br/jogo/caverna-o-misterioso-mundo-subterraneo,0.18604651162790697,6.5,1.125,1,4.0,9.58,6.78,14
77951,Cthulhu E Os Segredos Arcanos ,2026,2026.0,3,8.0,15,5,41,1,39,36,44,4,Gerenciamento de Mãos;Seguir Ação;Seleção de Ação;Toma Essa,0,,Cultura Pop ou Geek;Ficção Científica;Literatura,https://ludopedia.com.br/jogo/cthulhu-e-os-segredos-arcanos,0.9761904761904762,0.8780487804878049,0.9512195121951219,4,5.0,9.56,7.6,41
70642,Invocathlon,2026,2026.0,2,6.0,120,14,82,3,13,163,72,8,Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Cartas Multiuso;Cooperativo;Gerenciamento de Mãos;Preparação Variável;Resolução por Símbolos nos Dados;Rolagem de Dados,0,,Cultura Pop ou Geek;Fantasia;Mitologia,https://ludopedia.com.br/jogo/invocathlon,0.9647058823529412,1.9878048780487805,0.15853658536585366,8,4.0,9.55,7.81,52
66596,Breachers - Fendas de Sempreterna,2026,2026.0,1,4.0,60,14,130,3,15,137,24,7,Colocação de Peças;Cooperativo;Movimento em Grades;Jogadores com Diferentes Habilidades;Resolução por Símbolos nos Dados;Rolagem de Dados;Tabuleiro Modular,1,Dungeon Crawler,Aventura;Fantasia,https://ludopedia.com.br/jogo/breachers-fendas-de-sempreterna,0.9774436090225563,1.0538461538461539,0.11538461538461539,7,3.0,9.55,7.15,24
23610,Chronicles of Drunagor: Age of Darkness,2021,,1,5.0,120,12,145,20,24,341,78,9,Cooperativo;Rolagem de Dados;Jogadores com Diferentes Habilidades;Jogo em Equipe;Narração de Histórias;RPG;Tabuleiro Modular;Cenário / Missão / Campanha;Acertos e Falhas Críticas,2,Miniaturas;Dungeon Crawler,Fantasia;Medieval,https://ludopedia.com.br/jogo/chronicles-of-drunagor-age-of-darkness,0.8787878787878788,2.3517241379310345,0.16551724137931034,9,4.0,9.53,7.69,46
63567,Brass Birmingham: Deluxe Edition,2018,2021.0,2,4.0,120,14,485,14,54,160,371,11,Colocação de Peças;Gerenciamento de Mãos;Árvores / Trilhas de Tecnologia;Cartas Multiuso;Construção de Redes e Rotas;Empréstimos;Marcas;Mercado;Ordem de Turno: Baseado em Estatísticas;Preparação Variável;Rendimentos,1,Expansão ou Suplemento,Economia / Produção,https://ludopedia.com.br/jogo/brass-birmingham-deluxe-edition,0.9719438877755511,0.32989690721649484,0.11134020618556702,11,2.0,9.51,8.61,144
71292,Dungeon Hunters,2026,2026.0,1,5.0,40,12,66,0,9,58,33,1,Gerenciamento de Mãos,0,,Fantasia,https://ludopedia.com.br/jogo/dungeon-hunters,1.0,0.8787878787878788,0.13636363636363635,1,4.0,9.5,6.89,17
78916,Monstros & Tesouros - Campos de Batalha,2026,2026.0,1,4.0,120,14,134,6,7,104,29,11,Cenário / Missão / Campanha;Cooperativo;Eliminação de Jogadores;Grade Hexagonal;Jogadores com Diferentes Habilidades;Movimento Ponto-a-Ponto;Múltiplos Mapas;Rolagem de Dados;Seleção de Ação;Solo / Solitário;Tabuleiro Modular,2,Jogo de Guerra;Miniaturas,Fantasia;Medieval,https://ludopedia.com.br/jogo/monstros-tesouros-campos-de-batalha,0.9571428571428572,0.7761194029850746,0.05223880597014925,11,3.0,9.46,6.92,18
