id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes,tx_satisfacao,tx_conversao
23610,Chronicles of Drunagor: Age of Darkness,2021,,1,5.0,120,12,145,20,24,341,78,9,Cooperativo;Rolagem de Dados;Jogadores com Diferentes Habilidades;Jogo em Equipe;Narração de Histórias;RPG;Tabuleiro Modular;Cenário / Missão / Campanha;Acertos e Falhas Críticas,2,Miniaturas;Dungeon Crawler,Fantasia;Medieval,https://ludopedia.com.br/jogo/chronicles-of-drunagor-age-of-darkness,0.8787878787878788,2.3517241379310345,0.1655172413793103,9,4.0,9.53,7.69,46,1.9166666666666667,0.09465020576131687
63567,Brass Birmingham: Deluxe Edition,2018,2021.0,2,4.0,120,14,485,14,54,160,371,11,Colocação de Peças;Gerenciamento de Mãos;Árvores / Trilhas de Tecnologia;Cartas Multiuso;Construção de Redes e Rotas;Empréstimos;Marcas;Mercado;Ordem de Turno: Baseado em Estatísticas;Preparação Variável;Rendimentos,1,Expansão ou Suplemento,Economia / Produção,https://ludopedia.com.br/jogo/brass-birmingham-deluxe-edition,0.9719438877755512,0.3298969072164948,0.111340206185567,11,2.0,9.51,8.61,144,2.6666666666666665,0.22325581395348837
71292,Dungeon Hunters,2026,2026.0,1,5.0,40,12,66,0,9,58,33,1,Gerenciamento de Mãos,0,,Fantasia,https://ludopedia.com.br/jogo/dungeon-hunters,1.0,0.8787878787878788,0.1363636363636363,1,4.0,9.5,6.89,17,1.8888888888888888,0.13709677419354838
78916,Monstros & Tesouros - Campos de Batalha,2026,2026.0,1,4.0,120,14,134,6,7,104,29,11,Cenário / Missão / Campanha;Cooperativo;Eliminação de Jogadores;Grade Hexagonal;Jogadores com Diferentes Habilidades;Movimento Ponto-a-Ponto;Múltiplos Mapas;Rolagem de Dados;Seleção de Ação;Solo / Solitário;Tabuleiro Modular,2,Jogo de Guerra;Miniaturas,Fantasia;Medieval,https://ludopedia.com.br/jogo/monstros-tesouros-campos-de-batalha,0.9571428571428572,0.7761194029850746,0.0522388059701492,11,3.0,9.46,6.92,18,2.5714285714285716,0.07563025210084033
22766,Oathsworn: Into the Deepwood,2022,2025.0,1,4.0,120,14,60,5,16,427,26,10,"Construção de Baralho, Bolsas e Peças;Cooperativo;Force sua sorte;Jogadores com Diferentes Habilidades;Reconhecimento de Padrões;RPG;Pontos de Ação;Tabuleiro Modular;Cenário / Missão / Campanha;Rolagem de Dados",2,Jogo de Cartas;Miniaturas,Adulto;Aventura;Fantasia;Mitologia,https://ludopedia.com.br/jogo/oathsworn-into-the-deepwood,0.9230769230769232,7.116666666666666,0.2666666666666666,10,3.0,9.46,6.76,14,0.875,0.028747433264887063
78912,Trickerion: Anniversary Edition,2025,2026.0,1,4.0,180,14,212,3,21,104,157,6,"Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Construção de Baralho, Bolsas e Peças;Fila de Ações;Pontos de Ação;Seleção de Ação Simultânea",0,,História,https://ludopedia.com.br/jogo/trickerion-anniversary-edition,0.986046511627907,0.490566037735849,0.0990566037735849,6,3.0,9.45,7.69,48,2.2857142857142856,0.1518987341772152
68765,Ovelha em pele de lobo,2025,2025.0,2,5.0,10,8,35,0,12,16,51,6,Colecionar Conjuntos;Combinação;Pegar e Entregar;Toma Essa;Reconhecimento de Padrões;Gerenciamento de Mãos,2,Jogo de Cartas;Jogo de Entrada,Animais;Arte;Educacional,https://ludopedia.com.br/jogo/ovelha-em-pele-de-lobo,1.0,0.4571428571428571,0.3428571428571428,6,3.0,9.43,7.41,35,2.9166666666666665,0.6862745098039216
63763,Hegemony: Lead Your Class to Victory,2023,,2,4.0,180,14,61,6,7,188,153,7,Ação / Evento;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Simulação;Votação;Alocação de Diferentes Tipos de Trabalhadores;Papéis com Informações Assimétricas,0,,Economia / Produção;Educacional;Política,https://ludopedia.com.br/jogo/hegemony-lead-your-class-to-victory,0.9104477611940298,3.081967213114754,0.1147540983606557,7,2.0,9.42,7.5,39,5.571428571428571,0.1566265060240964
68336,Cthulhu: Ecos de R'lyeh,2027,2027.0,1,5.0,45,12,20,1,46,113,53,9,Ação / Evento;Cooperativo;Eventos;Jogadores com Diferentes Habilidades;Movimento Ponto-a-Ponto;Resolução com Testes de Estatísticas;Rolagem de Dados;RPG;Solo / Solitário,4,Jogo de Cartas;Jogo de Dados;Miniaturas;Dungeon Crawler,Aventura;Cultura Pop ou Geek;Ficção Científica;História;Horror/Terror;Literatura;Mitologia,https://ludopedia.com.br/jogo/cthulhu-ecos-de-r-lyeh,0.9523809523809524,5.65,2.3,9,4.0,9.41,7.87,61,1.326086956521739,0.45864661654135336
49740,Clank! Legacy 2: Acquisitions Incorporated - Darkest Magic,2024,,2,4.0,100,8,34,5,4,74,42,4,"Construção de Baralho, Bolsas e Peças;Force sua sorte;Legado;Cooperativo",0,,Aventura;Fantasia,https://ludopedia.com.br/jogo/clank-legacy-2-acquisitions-incorporated-darkest-magic,0.8717948717948718,2.176470588235294,0.1176470588235294,4,2.0,9.41,6.75,14,3.5,0.12962962962962962
23735,Vitruvius,2025,2025.0,2,4.0,40,8,46,3,12,57,56,2,Colocação de Peças;Gerenciamento de Mãos,2,Estratégia Abstrata;Jogo Festivo,Arte;Civilização,https://ludopedia.com.br/jogo/vitruvius,0.9387755102040816,1.2391304347826086,0.2608695652173913,2,2.0,9.39,7.32,32,2.6666666666666665,0.3106796116504854
79997,Ordem ao Caos,2026,2026.0,2,6.0,30,14,25,1,0,35,45,2,Gerenciamento de Mãos;Toma Essa,2,Jogo de Cartas;Jogo Festivo,Animais;Humor,https://ludopedia.com.br/jogo/ordem-ao-caos,0.9615384615384616,1.4,0.0,2,4.0,9.39,7.48,39,,0.65
76783,Looter's Escape,2024,2024.0,2,5.0,30,14,24,0,4,7,24,5,"Apostas e Blefes;Compra Fechada;Construção de Baralho, Bolsas e Peças;Corrida;Negociação",2,Jogo de Cartas;Carteado,Transportes;Aventura;Cultura Pop ou Geek;Fantasia;Piratas,https://ludopedia.com.br/jogo/looter-s-escape,1.0,0.2916666666666667,0.1666666666666666,5,3.0,9.38,6.86,17,4.25,0.5483870967741935
