variavel,count,mean,std,min,p25,mediana,p75,max
ano_publicacao,1000.0,2016.105,65.73369679162958,22.0,2016.0,2020.0,2023.0,2027.0
ano_nacional,681.0,2022.3377386196769,3.204849293849204,2002.0,2020.0,2023.0,2025.0,2027.0
qt_jogadores_min,1000.0,1.671,0.6427847012586502,1.0,1.0,2.0,2.0,5.0
qt_jogadores_max,999.0,4.624624624624625,3.394595822159965,1.0,4.0,4.0,5.0,100.0
vl_tempo_jogo,1000.0,85.95,61.89328136622163,10.0,45.0,80.0,120.0,1000.0
idade_minima,1000.0,11.818,2.3384491322978023,3.0,10.0,12.0,14.0,18.0
qt_tem,1000.0,677.489,1123.1520459837118,0.0,95.0,286.5,744.0,10258.0
qt_teve,1000.0,107.373,174.5143923696385,0.0,11.0,39.0,119.0,1174.0
qt_favorito,1000.0,80.3,161.38593315224045,0.0,9.0,23.0,71.25,1692.0
qt_quer,1000.0,534.311,627.5453588836876,5.0,142.0,322.5,637.0,4083.0
qt_jogou,1000.0,809.298,1268.2269484555156,0.0,109.0,329.0,936.5,10300.0
n_mecanicas,1000.0,6.366,3.569704019493323,1.0,4.0,6.0,8.0,27.0
n_categorias,1000.0,1.035,1.015286070920805,0.0,0.0,1.0,2.0,4.0
tx_retencao,1000.0,0.8596513182216784,0.09851019969183712,0.0,0.8000702247191012,0.8744906420279555,0.9374169373892499,1.0
idx_desejo,999.0,1.8377918673223415,7.015039172712122,0.0241566014160766,0.6537407850169357,1.0332502078137988,1.7312500000000002,202.0
tx_fidelizacao,999.0,0.1631675353126263,0.5191805395352054,0.0,0.05940697367532695,0.096728307254623,0.15172053455787116,10.0
diversidade_mecanica,1000.0,6.366,3.569704019493323,1.0,4.0,6.0,8.0,27.0
amplitude_publico,999.0,2.953953953953954,3.395134128924609,0.0,2.0,3.0,3.0,99.0
nota_media,1000.0,8.56949,0.36776091144653744,8.13,8.28,8.47,8.78,10.0
nota_rank,1000.0,7.70108,0.579341410629406,6.7,7.22,7.73,8.12,9.07
qt_avaliacoes,1000.0,351.152,628.5501445232354,12.0,44.0,125.0,349.25,5407.0
tx_satisfacao,994.0,5.953944398528418,4.292709741393082,0.875,3.534133958856438,5.115691489361702,7.178816466552315,58.0
tx_conversao,1000.0,0.24663816021201979,0.11928006739945239,0.028747433264887063,0.16810559751795973,0.22584061567231273,0.30356892359487514,1.2727272727272727
