nome,municipio,place_id,situacao_na_coleta_automatica
Game Of Boards,Rio de Janeiro,ChIJu1yUroF_mQAR7qxqAfxKSw4,descartado_categoria_incompativel
RED jogos,Rio de Janeiro,ChIJ1SAzAGF_mQARQgP-yrPBxbQ,descartado_categoria_incompativel
Bolsa do Infinito,Rio de Janeiro,ChIJA7jlA899mQARAEFLCN4b2oI,descartado_sem_termo_chave
Goblin Hero Store,Rio de Janeiro,ChIJ_20ww0LZmwARHjZmY0uwR9I,descartado_categoria_incompativel
Player 2 - Jogos de Tabuleiro e Videogame Retrô,Niterói,ChIJvXtOFNqDmQARo9nf7HpT6Z4,descartado_categoria_incompativel
Estante 42,Rio de Janeiro,,nao_encontrado
Magic Store Brasil,Rio de Janeiro,,nao_encontrado
Tabuloja,Niterói,,nao_encontrado
Ludus BG,Rio de Janeiro,,nao_encontrado
In Bar Ludus Garage,Rio de Janeiro,,nao_encontrado
Konklave Funstore,Nova Iguaçu,,nao_encontrado
Cards of Paradise,Rio de Janeiro,,nao_encontrado
