id_jogo,ano_publicacao,link
43761,2022,jogo/old-dragon-2-edicao-livro-i-regras-basicas
36265,2023,jogo/the-castles-of-burgundy-special-edition
13494,2018,jogo/brass-birmingham
8176,2014,jogo/dungeons-dragons-5th-edition-player-s-handbook
64469,2024,jogo/seti-search-for-extraterrestrial-intelligence
21102,1992,jogo/vampire-the-masquerade-2nd-edition
19085,2014,jogo/call-of-cthulhu-7th-edition-keeper-rulebook
13749,2017,jogo/gaia-project
14902,2003,jogo/player-s-handbook-d-d-3-5e
8624,2017,jogo/gloomhaven
12731,2014,jogo/dungeons-dragons-5th-edition-starter-set
8858,2016,jogo/terraforming-mars
32507,2021,jogo/ark-nova
20275,2018,jogo/vampire-the-masquerade-5th-edition-core-book
1127,1991,jogo/the-new-easy-to-master-dungeons-dragons
404,2012,jogo/terra-mystica
13196,2017,jogo/brass-lancashire
21138,1996,jogo/vampire-the-dark-ages
12713,2014,jogo/graphic-novel-adventures-captive
25048,2020,jogo/gloomhaven-jaws-of-the-lion
9330,2016,jogo/star-wars-rebellion
21610,2017,jogo/tales-from-the-loop
22504,2019,jogo/pathfinder-core-rulebook-2nd-edition
14910,2017,jogo/twilight-imperium-fourth-edition
14901,2000,jogo/player-s-handbook-d-d-3e
17559,2018,jogo/mage-knight-ultimate-edition
25941,2020,jogo/dune-imperium
13411,1988,jogo/gurps-basic-set-second-edition
21129,1995,jogo/mage-the-ascension-2nd-edition
65868,2024,jogo/the-lord-of-the-rings-duel-for-middle-earth
56534,2023,jogo/dune-imperium-uprising
23555,1994,jogo/werewolf-the-apocalypse-2nd-edition
60652,2023,jogo/3dx
63306,2024,jogo/harmonies
32437,2021,jogo/aventuras-na-era-hiboriana-rpg
50473,2023,jogo/age-of-innovation
7863,1986,jogo/gurps-basic-set-first-edition
187,2011,jogo/the-castles-of-burgundy
26076,2020,jogo/a-heranca-de-cthulhu
37012,2022,jogo/clank-catacombs
2614,1994,jogo/ad-d-2nd-edition-first-quest
41866,2024,jogo/slay-the-spire-the-board-game
8285,2015,jogo/7-wonders-duel
16912,2015,jogo/graphic-novel-adventures-loup-garou
433,2012,jogo/war-of-the-ring-second-edition
27900,2021,jogo/hitodama-a-jornada-das-almas
29783,2021,jogo/great-western-trail-second-edition
11110,2013,jogo/tormenta-rpg-edicao-revisada
20829,2019,jogo/the-lord-of-the-rings-journeys-in-middle-earth
1500,2010,jogo/old-dragon-modulo-basico
33119,2023,jogo/hegemony-lead-your-class-to-victory-extended-edition
33763,2021,jogo/vampire-the-masquerade-5th-edition-core-book-deluxe
15950,2018,jogo/root
24635,2020,jogo/vampiro-sozinho-na-escuridao
48,2002,jogo/puerto-rico
8149,2013,jogo/star-wars-edge-of-the-empire-core-rulebook
13588,2017,jogo/clans-of-caledonia
12600,2009,jogo/pathfinder-roleplaying-game-core-rulebook-1st-ed
24301,2021,jogo/clash-of-cultures-monumental-edition
15097,1995,jogo/player-s-handbook-ad-d-2e-revised
9426,2012,jogo/dungeon-world
10959,2017,jogo/spirit-island
63556,2025,jogo/puerto-rico-1897-special-edition
22056,2020,jogo/tormenta-20-livro-basico
26472,2020,jogo/tormenta-20-livro-basico-edicao-de-luxo
20418,2019,jogo/wingspan
17609,1994,jogo/castle-falkenstein
10168,2016,jogo/great-western-trail
11478,2017,jogo/lisboa
14605,2004,jogo/world-of-darkness
14836,2010,jogo/legend-of-the-five-rings-4th-edition-rpg
503,2005,jogo/twilight-struggle
35597,2022,jogo/nessus-jogo-rapido
11425,2016,jogo/a-feast-for-odin
23742,2019,jogo/notequest
61700,2024,jogo/wyrmspan
16788,2018,jogo/everdell
14517,1982,jogo/the-warlock-of-firetop-mountain-i
37047,2022,jogo/heat-pedal-to-the-metal
17554,2017,jogo/old-dragon-aprimorado
16910,2016,jogo/graphic-novel-adventures-your-town
31174,2023,jogo/great-western-trail-new-zealand
15490,2018,jogo/nemesis
14816,2013,jogo/numenera
13774,2012,jogo/dungeon-crawl-classics-role-playing-game-dcc-rpg
11112,2016,jogo/mansions-of-madness-second-edition
14947,2011,jogo/the-one-ring-adventures-over-the-edge-of-the-wild
53416,2023,jogo/ticket-to-ride-legacy-legends-of-the-west
36695,2022,jogo/o-enigma-do-sol-oculto
6764,2016,jogo/scythe
25895,2020,jogo/lost-ruins-of-arnak
32443,2021,jogo/licantropo-maldicao-de-sangue
32088,2021,jogo/arkham-horror-the-card-game-revised-edition
54680,2023,jogo/oeste-sombrio
14364,1983,jogo/the-citadel-of-chaos
23515,2021,jogo/zombicide-2nd-edition
5058,2014,jogo/five-tribes-the-djinns-of-naqala
10405,2016,jogo/four-against-darkness
32444,2021,jogo/bruxo-pacto-das-sombras
21148,2019,jogo/the-castles-of-burgundy-alea-20th-anniversary-edition
11178,2016,jogo/clank-a-deck-building-adventure
14601,2011,jogo/savage-worlds-deluxe
1860,2013,jogo/caverna-the-cave-farmers
15752,2016,jogo/hora-de-aventuras-juego-de-rol-rpg
15423,1983,jogo/city-of-thieves
18931,2020,jogo/on-mars
13776,2008,jogo/trail-of-cthulhu
8627,2015,jogo/through-the-ages-a-new-story-of-civilization
16484,2017,jogo/a-bandeira-do-elefante-e-da-arara-livro-de-interpretacao-de-papeis
32873,2023,jogo/la-granja-deluxe-master-set
51377,2023,jogo/sky-team
14828,2014,jogo/zombies-i
14981,2017,jogo/azul
20888,2004,jogo/gurps-basic-set-characters-fourth-edition
18993,2019,jogo/barrage
41134,2022,jogo/tormenta20-edicao-jogo-do-ano
8598,1989,jogo/dungeoneer
36830,2021,jogo/tyrants-of-the-underdark-board-game
19514,2016,jogo/blades-in-the-dark
63567,2018,jogo/brass-birmingham-deluxe-edition
170,2011,jogo/mage-knight-board-game
24310,2018,jogo/the-witcher
25979,2020,jogo/7-wonders-second-edition
17883,2013,jogo/fate-core-system
21583,2018,jogo/kult-divinity-lost
