id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
83650,2025,10.0,7.06,18
37204,2022,10.0,6.77,12
86414,2026,9.92,6.81,13
51302,2024,9.86,7.14,21
46146,2023,9.84,7.06,19
79769,2026,9.82,6.97,17
80788,2025,9.79,6.83,14
43544,2026,9.77,7.22,24
21167,2026,9.77,7.44,31
63358,2026,9.71,6.94,17
84679,2017,9.69,7.32,28
37648,2023,9.67,7.58,38
78092,2026,9.65,7.31,28
74725,2025,9.64,7.82,50
23795,2022,9.64,8.34,90
79818,2025,9.63,6.88,16
79571,2026,9.61,6.79,14
40874,2025,9.6,8.24,82
63697,2025,9.58,6.74,13
24906,2000,9.58,6.78,14
77951,2026,9.56,7.6,41
70642,2026,9.55,7.81,52
66596,2026,9.55,7.15,24
23610,2021,9.53,7.69,46
63567,2018,9.51,8.61,144
71292,2026,9.5,6.89,17
78916,2026,9.46,6.92,18
22766,2022,9.46,6.76,14
78912,2025,9.45,7.69,48
68765,2025,9.43,7.41,35
36265,2023,9.42,9.07,445
63763,2023,9.42,7.5,39
68336,2027,9.41,7.87,61
22061,2019,9.41,6.94,19
49740,2024,9.41,6.75,14
23735,2025,9.39,7.32,32
79997,2026,9.39,7.48,39
76783,2024,9.38,6.86,17
21690,2019,9.38,7.13,25
42139,2023,9.37,6.93,19
36939,2022,9.37,7.98,71
86634,2026,9.37,7.79,57
85746,2026,9.35,7.09,24
15655,2024,9.35,7.43,37
63556,2025,9.34,8.78,250
35379,2022,9.34,7.96,71
48357,2024,9.33,7.25,30
37136,2021,9.32,6.77,15
34266,2021,9.32,7.01,22
15952,2018,9.31,6.84,17
50473,2023,9.31,8.86,315
74779,2026,9.27,7.79,60
44772,2024,9.27,8.37,132
24320,2020,9.26,7.58,47
77106,2025,9.26,7.41,38
63293,2024,9.25,7.96,76
85965,2026,9.25,7.69,54
53416,2023,9.25,8.69,241
78018,2025,9.24,6.71,14
64469,2024,9.23,9.0,677
41691,2023,9.23,7.02,23
56534,2023,9.22,8.87,412
51413,2022,9.22,6.89,19
31155,2023,9.22,8.34,133
57636,2025,9.21,7.55,47
52355,2026,9.2,7.66,54
42463,2024,9.2,8.28,124
