cluster,variavel,count,mean,std,min,p25,mediana,p75,max
0,ano_publicacao,15.0,2021.5333333333333,3.0906926331133207,2016.0,2020.5,2021.0,2024.0,2026.0
0,ano_nacional,15.0,2022.6,2.3237900077244498,2018.0,2021.0,2023.0,2024.0,2026.0
0,qt_jogadores_min,15.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0,qt_jogadores_max,15.0,5.4,1.3522468075656264,4.0,4.0,5.0,6.0,8.0
0,vl_tempo_jogo,15.0,37.666666666666664,14.74384455903386,10.0,30.0,45.0,45.0,60.0
0,idade_minima,15.0,7.733333333333333,0.4577377082170635,7.0,7.5,8.0,8.0,8.0
0,qt_tem,15.0,1606.6666666666667,2641.0275777936636,111.0,168.0,568.0,903.0,9428.0
0,qt_teve,15.0,101.66666666666667,186.8837173472419,0.0,10.0,57.0,99.5,752.0
0,qt_favorito,15.0,148.13333333333333,290.43756808026916,7.0,16.5,34.0,112.5,1147.0
0,qt_quer,15.0,605.8666666666667,863.5798305944411,39.0,172.5,505.0,609.0,3561.0
0,qt_jogou,15.0,1584.2,2791.023882786694,46.0,130.5,518.0,1044.0,10300.0
0,n_mecanicas,15.0,6.466666666666667,4.718756898449704,1.0,3.0,5.0,9.0,15.0
0,n_categorias,15.0,1.5333333333333334,1.245945806357946,0.0,1.0,1.0,2.5,4.0
0,tx_retencao,15.0,0.9381544508866712,0.03578600097906878,0.8717532467532467,0.9197795943821425,0.9451923076923076,0.9547293799036203,1.0
0,idx_desejo,15.0,0.6167531049740596,0.3172203246316824,0.1772711205372923,0.37459179130788123,0.6962332928311057,0.811147433801896,1.3404255319148937
0,tx_fidelizacao,15.0,0.08595489633408661,0.034174836356219866,0.0387323943661971,0.059872901363098,0.0824008138351983,0.11609260210347669,0.1490683229813664
0,diversidade_mecanica,15.0,6.466666666666667,4.718756898449704,1.0,3.0,5.0,9.0,15.0
0,amplitude_publico,15.0,3.4,1.3522468075656264,2.0,2.0,3.0,4.0,6.0
0,nota_media,15.0,8.702666666666667,0.1568195808959486,8.55,8.605,8.66,8.725,9.13
0,nota_rank,15.0,7.967333333333334,0.5781925861394857,6.9,7.55,8.05,8.445,8.62
0,qt_avaliacoes,15.0,697.3333333333334,1324.0024097230264,23.0,55.5,199.0,403.0,5079.0
0,tx_satisfacao,15.0,4.6961962712777465,1.5835449492584157,2.5,3.4523809523809526,4.428073234524847,5.71594427244582,7.5
