id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
37648,Tainted Grail: Monarcas da Ruína,2023,2026.0,1,4.0,120,14,262,8,17,276,75,6,0,9.67,38,0
23795,Frosthaven,2022,2025.0,1,4.0,120,12,426,14,68,806,202,17,2,9.64,90,0
40874,The Elder Scrolls: Betrayal of the Second Era,2025,2026.0,1,4.0,240,14,478,11,55,591,221,7,1,9.6,82,0
66596,Breachers - Fendas de Sempreterna,2026,2026.0,1,4.0,60,14,130,3,15,137,24,7,1,9.55,24,0
63567,Brass Birmingham: Deluxe Edition,2018,2021.0,2,4.0,120,14,485,14,54,160,371,11,1,9.51,144,0
78916,Monstros & Tesouros - Campos de Batalha,2026,2026.0,1,4.0,120,14,134,6,7,104,29,11,2,9.46,18,0
78912,Trickerion: Anniversary Edition,2025,2026.0,1,4.0,180,14,212,3,21,104,157,6,0,9.45,48,0
36265,The Castles of Burgundy: Special Edition,2023,2023.0,1,4.0,120,12,713,35,200,1693,1250,8,2,9.42,445,0
63556,Puerto Rico 1897: Edição Especial ,2025,2026.0,1,5.0,120,14,645,10,69,526,886,8,1,9.34,250,0
35379,Terra Mystica: Big Box 2022,2022,2025.0,1,5.0,150,14,226,15,29,216,132,10,1,9.34,71,0
48357,Dragon Eclipse,2024,2026.0,1,2.0,120,12,136,3,18,383,46,4,1,9.33,30,0
50473,Terra Mystica: Era da Inovação,2023,2025.0,1,5.0,200,14,644,47,132,1099,1041,4,0,9.31,315,0
44772,Calamandara,2024,2024.0,2,4.0,90,13,295,14,41,315,237,10,2,9.27,132,0
24320,Seven Galaxies,2020,2020.0,2,6.0,30,10,124,9,26,48,42,4,2,9.26,47,0
77106,Everdell Silverfrost,2025,2026.0,1,4.0,60,10,213,3,20,401,160,4,0,9.26,38,0
85965,Nippon: Zaibatsu - Edição Imperial,2026,2026.0,1,4.0,120,12,134,0,10,82,242,6,0,9.25,54,0
53416,Ticket to Ride Legacy: Lendas do Oeste,2023,2023.0,2,5.0,90,10,694,42,64,813,758,10,1,9.25,241,0
64469,SETI: Busca por Inteligência Extraterrestre,2024,2025.0,1,4.0,160,14,1497,80,242,2047,2340,7,0,9.23,677,0
56534,Duna: Imperium - Uprising,2023,2025.0,1,6.0,120,13,1081,50,166,1033,1339,12,2,9.22,412,0
31155,Voidfall,2023,2025.0,1,4.0,180,14,447,34,62,625,412,11,1,9.22,133,0
63029,O Último Dado,2024,2024.0,4,6.0,40,14,100,2,24,51,66,4,3,9.15,61,0
53447,Carcassonne Big Box 7,2021,2024.0,2,6.0,35,7,190,11,21,156,140,3,0,9.13,58,0
41866,Slay the Spire: O Jogo de Tabuleiro,2024,2024.0,1,4.0,150,12,1067,101,186,1760,1204,6,2,9.13,504,0
13494,Brass: Birmingham,2018,2019.0,2,4.0,120,14,2734,386,585,3515,3652,7,0,9.12,1641,1
13196,Brass: Lancashire,2017,2019.0,2,4.0,180,13,1099,290,246,1160,1642,7,0,9.12,745,1
27167,ISS Vanguard,2022,2024.0,1,4.0,120,13,498,43,48,662,301,4,1,9.12,125,0
71120,Unmatched: The Witcher - A Queda dos Reinos,2024,2026.0,2,3.0,40,9,161,5,5,151,87,3,2,9.11,32,0
33119,Hegemonia: Conduza Sua Classe À Vitória - Edição Ampliada,2023,2026.0,2,4.0,180,14,762,121,162,1744,1344,7,1,9.11,459,0
37857,Dune: Guerra por Arrakis,2024,2024.0,1,4.0,120,14,544,49,47,619,307,8,2,9.11,119,0
23628,Trickerion: Lendas Da Ilusão – Big Box,2019,2024.0,1,4.0,180,14,501,86,66,530,742,9,0,9.11,231,0
13749,Projeto Gaia,2017,2018.0,1,4.0,150,14,2313,417,555,2951,3047,11,2,9.1,1572,1
48200,Unmatched Aventuras: Contos Fantásticos,2023,2026.0,1,4.0,60,9,330,12,24,278,260,8,0,9.09,91,0
25048,Gloomhaven: Presas do Leão,2020,2022.0,1,4.0,120,14,2161,392,267,1477,1361,18,3,9.09,776,1
77025,DC Super Heroes United: Hush,2025,2026.0,1,4.0,30,14,101,2,5,63,49,4,3,9.09,23,0
8624,Gloomhaven,2017,2020.0,1,4.0,120,12,2438,402,615,3018,1853,27,2,9.09,1336,1
38684,Imperium: Horizontes,2024,2025.0,1,4.0,120,14,194,5,20,263,95,7,1,9.09,40,0
17559,Mage Knight: Edição Definitiva,2018,2019.0,1,5.0,150,14,1472,255,337,1874,1071,11,1,9.09,692,1
76427,Nippon: Zaibatsu,2026,2026.0,1,4.0,120,14,221,2,15,360,326,8,0,9.08,77,0
37012,Clank!: Catacombs,2022,2025.0,2,4.0,90,14,1823,89,229,1626,2300,12,2,9.07,650,0
32873,La Granja: Deluxe Master Set,2023,2023.0,1,4.0,120,14,624,82,81,646,881,13,1,9.07,300,0
14910,Twilight Imperium (4ª Edição),2017,2019.0,3,6.0,480,14,1139,223,359,1847,1706,17,2,9.07,775,1
71121,Unmatched: The Witcher - Aço e Prata,2024,2026.0,2,3.0,40,9,176,2,8,182,116,3,2,9.07,34,0
32507,Ark Nova,2021,2023.0,1,4.0,120,14,2289,200,462,2168,3250,4,0,9.07,1205,1
31174,Great Western Trail: Nova Zelândia,2023,2024.0,1,4.0,150,12,1017,90,93,520,1161,9,0,9.06,385,0
35575,Agricola 15: Edição de Aniversário ,2022,2023.0,1,4.0,120,12,849,69,90,523,686,12,0,9.05,266,0
24301,Clash of Cultures: Monumental,2021,2021.0,2,4.0,240,14,1042,149,153,877,1278,7,2,9.05,530,0
9330,Star Wars: Rebellion,2016,2018.0,2,4.0,240,14,1921,393,381,2141,1513,18,3,9.04,1024,1
433,Guerra do Anel (Segunda Edição),2012,2024.0,2,4.0,150,12,1565,339,292,1752,995,11,4,9.03,690,1
30881,Robinson Crusoe: Edição de Colecionador,2022,2024.0,1,4.0,120,14,476,40,44,527,289,5,0,9.03,123,0
23123,Kanban EV,2020,2022.0,1,4.0,180,14,254,32,38,506,340,4,0,9.03,127,0
65868,O Senhor dos Anéis: Duelo pela Terra Média,2024,2024.0,2,2.0,45,10,3010,106,276,1268,2305,5,1,9.02,967,0
34906,Marvel Zombies: X-Men Resistance,2023,2024.0,1,6.0,60,14,500,27,51,339,264,5,1,9.02,135,0
40533,Unmatched: Houdini vs. O Gênio,2022,2025.0,2,2.0,20,9,327,11,13,141,225,6,2,9.02,82,0
53972,Galactic Cruise,2025,2025.0,1,4.0,150,14,327,15,45,605,674,16,0,8.99,176,0
29783,Great Western Trail: Segunda Edição,2021,2022.0,1,4.0,150,12,1398,239,234,1503,1877,7,0,8.99,833,0
8858,Terraforming Mars,2016,2017.0,1,5.0,120,12,6716,866,1692,3963,7787,17,0,8.99,4027,1
35527,Unmatched: Battle of Legends - Volume 2,2022,2025.0,2,4.0,40,9,465,21,27,264,420,3,4,8.96,132,0
22012,Clank!: Legacy – Acquisitions Incorporated,2019,2026.0,2,4.0,100,13,139,21,27,401,194,18,0,8.95,64,0
68203,Shackleton Base: Uma Jornada para a Lua,2024,2026.0,1,4.0,120,14,586,16,42,453,829,2,0,8.95,209,0
28900,Ultimate Railroads,2021,2022.0,1,4.0,120,12,447,69,68,711,754,4,0,8.95,269,0
20444,Tainted Grail: A Queda de Avalon,2019,2021.0,1,4.0,120,14,815,197,129,1034,485,13,2,8.95,308,0
63306,Harmonies,2024,2024.0,1,4.0,30,10,4991,152,572,2148,5651,6,1,8.94,2006,1
33148,O Senhor dos Anéis: Card Game (Revised Core Set),2022,2022.0,1,4.0,60,13,956,152,166,805,587,9,3,8.94,343,0
80826,Orloj: The Prague Astronomical Clock,2025,2026.0,1,4.0,120,14,252,4,12,356,321,7,0,8.93,82,0
62977,Unmatched: Origem do Sol,2024,2026.0,2,2.0,40,9,247,11,6,103,128,6,1,8.93,50,0
56124,Nucleum,2023,2023.0,1,4.0,150,14,680,82,85,610,1091,11,0,8.93,324,0
23952,Rococo: Deluxe Edition,2020,2020.0,1,5.0,120,14,404,67,40,530,745,4,0,8.93,212,0
61700,Wyrmspan,2024,2024.0,1,5.0,90,14,1554,97,171,1450,2167,7,1,8.93,625,0
66494,Feljong,2024,2024.0,4,4.0,90,10,188,16,5,60,84,4,2,8.93,35,0
21032,Sleeping Gods,2021,2023.0,1,4.0,120,13,736,122,74,1439,467,6,1,8.93,205,0
41546,Andromeda's Edge,2024,2025.0,2,4.0,200,14,441,34,51,484,595,5,2,8.92,180,0
20829,O Senhor dos Anéis: Jornadas na Terra Média,2019,2019.0,1,5.0,60,14,3277,524,607,2506,2355,10,3,8.92,1407,1
187,The Castles of Burgundy,2011,2017.0,2,4.0,90,12,3369,828,658,2780,4786,11,1,8.91,2325,1
17363,Eclipse: O Segundo Despertar da Galáxia,2020,2022.0,2,6.0,200,14,706,88,129,952,1181,17,2,8.91,403,0
10959,Spirit Island,2017,2019.0,1,4.0,120,12,2147,441,382,2251,2218,12,0,8.91,1119,1
36830,Tiranos da Umbreterna (Segunda Edição),2021,2024.0,2,4.0,90,14,1178,61,118,622,1440,2,1,8.9,458,0
11478,Lisboa,2017,2017.0,1,4.0,120,12,1452,350,279,1756,1801,5,0,8.9,881,1
29022,Ticket to Ride: Europa - 15 Anos,2021,2021.0,2,5.0,60,8,823,78,105,573,873,8,1,8.9,380,0
71312,Athos Bulcão | Master Pieces,2026,2026.0,1,6.0,60,10,102,4,3,95,206,5,2,8.9,54,0
25957,The Thing: The Boardgame,2022,2022.0,1,8.0,90,14,545,124,121,1361,1131,9,1,8.89,349,0
13588,Clãs da Caledônia,2017,2017.0,1,4.0,120,12,1659,485,360,2210,2772,8,0,8.89,1339,1
46714,Inventores do Sul do Tigre,2024,2025.0,1,4.0,120,12,142,7,5,157,114,7,1,8.88,45,0
34903,O Legado de Yu,2023,2023.0,1,1.0,60,12,332,91,27,359,233,4,0,8.88,143,0
