,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Acertos e Falhas Críticas,4,-0.020338782151668826,-0.02037761435375591,-0.04599725534696702,0.07733572697079164,0.0795645022712334,0.017008083944277254,0.02999055384515107,0.05553562155202325,0.0664751853832811,0.08089149853104068,-0.0104911213756625,0.3218616813169412,0.08494127149998044,0.05399770208978877,0.02114154782789883
Acordos,2,-0.04292988360675405,-0.023292570152999015,-0.07420758157344745,0.05441187403686942,0.13842170796756328,0.08709673384151516,-0.04859257080023413,-0.0398366599169554,-0.035890298355156024,-0.04152881958081878,-0.04448603441690177,0.05202875565664789,-0.05490512272424697,-0.06259531313967288,-0.04423181420512958
Alianças,1,-0.020187186631009907,-0.016429515571310734,0.06571909259414001,0.10172167872645346,0.12212082472871087,0.0614340596791221,-0.020327443569768414,-0.02212571391544036,-0.007109706058155366,0.0039809960484809325,-0.0032184233274632134,0.1554888349092918,0.05833040939650164,0.019975548154913078,-0.012965297572018844
Alocação de Diferentes Tipos de Trabalhadores,18,-0.014915939761932855,0.020508340190518778,-0.08666067301668895,-0.03266167226918329,0.1976655845936743,0.16793936607541443,-0.07062109928989545,-0.011335001977822582,-0.05842305390666452,-0.04866401869395343,-0.03167641120868021,0.06656493890418823,-0.21950007343991274,0.020675970650140058,-0.03527469991783935
Alocação de Trabalhadores,46,0.023633104797919524,0.10179035498457849,-0.2052307880894299,-0.07551120356763752,0.15021330910951672,0.13583736656206125,-0.13016008034555515,-0.034173547248828505,-0.10624711373760504,-0.09029299668205656,-0.07699518196075325,-0.007158189128206576,-0.37368777940464704,-0.08592235236781243,-0.07994278335659405
Alocação de Trabalhadores com Dados,9,-0.05493123334430535,-0.10185914236352538,-0.03976149794580123,-0.03332568859496725,0.01156904126304139,-0.05226955208469539,0.007340763951773459,0.09419008558859965,0.031298166473405484,0.019404143351263097,0.05815004999640768,0.008444934383884797,-0.019515065127220798,-0.03630852925751203,0.05733760710339499
Apostas e Blefes,2,0.0572398448090054,0.048349728953952495,0.2605510641912152,0.009511018632460923,0.012589621061287028,-0.03812024186547902,-0.03788487029495624,-0.04573890232968234,-0.043900507870776595,-0.03274976516449621,-0.03510209563602528,-0.00811838214688014,0.1744310894778545,-0.016170535301876315,-0.044506090703114023
Apostas em Metas,1,0.0,-0.041696119063553756,-0.05234264011922657,-0.024962375147595955,-0.04927047595227496,0.0614340596791221,-0.03911714489045778,-0.039864448203897306,-0.03567377739619452,-0.05975886671548897,-0.041763000318329295,-0.0481513811332,-0.07108022565803206,-0.07553338161672685,-0.03540690345432981
Ação / Evento,4,0.010169391075834415,0.030535071354704964,-0.04599725534696706,-0.050299659818401066,0.08573158663971772,0.08819655901001497,-0.002939497451611227,0.015597299558165408,0.04844904624570488,0.09711249693710766,-0.026797642502126517,0.21072822887740073,0.11753688230243031,0.051248383423064946,-0.0005427372395812591
Bônus de Fim de Jogo,49,0.05614899712787286,0.03777565691105439,-0.01398774588550239,-0.10685194485612753,-0.02044427604991217,0.018536715426271923,0.21895429379704723,0.11172057470278378,0.22114846930928767,0.2077304932146358,0.2742945501933371,0.29699106445442297,-0.09345428614498102,-0.00013855995386584385,0.23811369861548184
Cabo-de-Guerra,2,-0.042929883606754086,-0.04120314492973686,0.09317174130888392,-0.21499325838958153,-0.12192054080404273,-0.06316363700687785,0.25140958865251645,0.16674182452848826,0.18839556808222024,0.05960588729521687,0.15546149508375293,0.03999932809594228,0.08269660459701397,-0.010367438072151824,0.22922185428536304
Camadas de Componentes,2,-0.04292988360675408,-0.07702429448321263,0.09317174130888389,-0.21499325838958147,-0.1089034283654624,-0.11325042728967555,0.35740463093646924,0.19394346347409946,0.24802712780961786,0.12006430870895811,0.22930612994245242,0.06405818321735349,-0.009037880283826658,0.041860436995369565,0.29319684744023505
Campanha / Batalhas Dirigidas por Cartas,12,-0.035957991594729385,0.008978948462604601,-0.08132094187415013,0.04270367214449074,-0.0119773074257256,-0.08530018267249072,0.01880311015138668,0.06680252118748546,0.060961503911672,0.07680790099820389,-0.0635273797864063,0.31210244571361045,0.13096293608072201,0.12057877654895467,-0.007908971503824785
Captura de Peças,1,0.06056155989302968,0.03410369141317529,0.06571909259414001,-0.024962375147595972,-0.012543768663492272,0.026105124509541933,-0.04195928458602421,-0.048914822840865124,-0.03473210471472072,-0.048612647190701457,-0.04737628822962046,0.036698708884504876,0.05833040939650162,0.11821330449145691,-0.03917941478799415
Cartas Multiuso,17,-3.469446951953614e-18,-0.0003460495303886351,0.04365804821061349,-0.05922848276883524,-0.04306800597199183,0.005014574791754895,0.029496729160823403,0.019580107819846457,-0.0009563379720712167,-0.0163256463133176,0.01072767356394478,0.23489221471908886,-0.09280922921529042,0.11617817649495787,0.025437053255555626
Cartas de Comando,5,0.10942464128219712,0.0656114703821326,-0.0115590962169894,0.05806991925713775,-0.03386054290455141,-0.1484993508658562,-0.06359853770058264,-0.0780981759800613,-0.0636980416475843,-0.05418667393293458,-0.06955941737614355,0.1135475533282914,-0.01439799512776898,-0.010352908294735653,-0.07057370570394267
Cenário / Missão / Campanha,29,0.04442940987981339,0.025998805045347823,-0.185599099132996,-0.03077831921747111,0.0006998335460158128,0.08078385175871763,-0.03438546568887052,0.03763343591746651,-0.003131180944311078,0.0277574151182701,-0.12632362362730004,0.3181926650128457,0.15720375667027786,0.14866298617082885,-0.0678159898724115
Cerco de Área,5,-0.11854336138904689,-0.11699868883052092,-0.06488856285446312,-0.08499068279624777,0.0546181725853786,-0.020832359967947002,0.11152376633226536,0.142824342168898,0.19960065413446684,0.09581426496124584,0.11824171453545355,0.12887854988675046,-0.10208178545588201,-0.04733191798091739,0.13950812464857945
Cobertura de Grade,4,0.020338782151668816,0.03053507135470499,0.07295106102799236,0.07733572697079165,-0.11469865533602207,-0.018586153588591645,-0.002700873891489761,0.047693850566927834,0.015401124493481837,-0.006993038986958079,0.02247538593058485,0.09959477643786024,0.15013249310488022,-0.05872436324588036,0.02396781419624452
Colecionar Conjuntos,51,-0.11079585617505841,-0.09039317125992402,0.06459075422288306,-0.07258196176134771,-0.10722068460941822,-0.07593628705837403,0.12821443500596558,0.14539201910525246,0.10573922887621612,0.07732935841368982,0.1435223626750535,0.09941358553303106,-0.19871241752301744,-0.16063667839365653,0.1504205566022739
Colocação de Peças,46,1.3877787807814457e-17,0.004600341196644507,-0.06701611990218824,0.009236684886988148,-0.051457904661547274,-0.1359537902745635,0.11174608574577437,0.05337355665431963,0.10468154536887189,0.06792270597229685,0.12798763501893418,0.012708581870194836,-0.00575724396229698,-0.00925117036012317,0.11145387154176374
Combinação,5,0.13678080160274642,0.07702460533292343,0.1484293036954317,0.0008456784357835853,-0.10298453938105924,-0.08466585541690161,0.08831994217586298,-0.05912925510272652,0.01116556167655304,-0.03490510123072393,0.06486799050207215,-0.039762412256298924,0.10251372530971507,-0.022679244856796253,0.034729374818016176
Compartilhamento entre Vizinhos,1,0.10093593315504952,0.08463689839766134,0.06571909259414005,0.10172167872645346,-0.09823941900398518,-0.1505395513383586,-0.05164361243758402,-0.05398303263756714,-0.04540439510475734,-0.06702455055386897,-0.05509455910764584,0.10457878089866873,0.18774104445103526,0.00906024189529682,-0.04972310031028683
Compra Aberta,37,-0.05857557485707559,-0.009435129982481971,0.09840463102958427,-0.13303604535332592,-0.04975642274773706,-0.0811126166774876,0.19304588402904543,0.07580337030234371,0.12642602831961863,0.13167460881248916,0.19884736625184984,0.14161211721927475,-0.007572442933918799,-0.021355255960077146,0.17178698019622654
