,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Acertos e Falhas Críticas,0.7733288392966201,0.7729078446055004,0.5146217613383907,0.27277095973075965,0.25914711291403963,0.8096722232198758,0.671014157120084,0.4312922599021501,0.3460289659060127,0.25126154371651477,0.8819035805844366,2.8309896597771726e-06,0.2282294084185396,0.44417839999099057,0.7646393824011818
Acordos,0.5430813073753947,0.7415031287716897,0.2926996207846834,0.44068678101880165,0.048893575010912564,0.21659838197273723,0.4911574082457466,0.5725471352665555,0.611197985847147,0.5563345223954498,0.5285463738123651,0.4609900627588002,0.4365489638113452,0.37496636046005194,0.5309073664632544
Alianças,0.7749729766611763,0.8160295005798782,0.35155446958372283,0.14870813458084972,0.08261479237657088,0.38390798863385156,0.7734517776731324,0.7540264729626082,0.9198096792357721,0.9550467145890739,0.9636510465457175,0.026747379916382652,0.4084340533334675,0.7772699874681177,0.8543319277877538
Alocação de Diferentes Tipos de Trabalhadores,0.8327165103354175,0.7714910840994816,0.21891655404338858,0.6436460866175129,0.004700753991141237,0.016619134667670104,0.3167141427953544,0.872481870141946,0.4076887975008724,0.49051961233447156,0.6536877387923542,0.34537671573708356,0.0016521151287011428,0.769675471141955,0.6173292218611002
Alocação de Trabalhadores,0.7378609292914857,0.14843268668101697,0.0033101544664818645,0.2842796503752386,0.032423810408919104,0.05331021903141836,0.0641802483726377,0.6283625572909007,0.1313718608913742,0.20014044316146104,0.2748946708057094,0.9192646889507058,3.9830087221453976e-08,0.22288181160066395,0.2568820681858982
Alocação de Trabalhadores com Dados,0.43633054521766135,0.14815718095774993,0.5732723973298762,0.6369146209048121,0.869872000095483,0.4589152904181057,0.9172127349647253,0.18132427110809501,0.657559480187345,0.7834813159825105,0.409887217455969,0.9048151350169606,0.7822744803353775,0.6070478340947905,0.4164708302678898
Apostas e Blefes,0.41726719747189306,0.4933284923254693,0.00017374836113236318,0.8928669429171906,0.8585078837362854,0.5892161655821007,0.5915191962584472,0.5169887818878441,0.5339922235659063,0.6427513578443995,0.6190531127553913,0.9084793956340937,0.012809388130477703,0.8188790863737386,0.528360333260945
Apostas em Metas,0.9999999999999998,0.5547437747806536,0.45828657162141545,0.7237001746548092,0.4851237740739173,0.38390798863385156,0.5795076411588687,0.5722791066676779,0.613351438060132,0.39703286893455264,0.5541084603385369,0.49510556316168725,0.31357026202401206,0.2841378265135978,0.6160102478056544
Ação / Evento,0.8855000627578546,0.6653983096212965,0.5146217613383907,0.47604029931187897,0.22391458903533715,0.2108295456064752,0.9667993515273544,0.8251948559145529,0.4924399478249328,0.1680934035695141,0.704303176670744,0.002545865312486746,0.09490047469160158,0.4677496064625999,0.993868266039772
Bônus de Fim de Jogo,0.42621345325163906,0.5925892044269745,0.8429873882763123,0.1291778082709273,0.7721852944717136,0.7929366066840909,0.0016979982359254595,0.1125317420322839,0.0015203245761492318,0.0029400546735691615,7.489117211359083e-05,1.68633044954003e-05,0.18477327816795958,0.998434563777558,0.0006239439277477035
Cabo-de-Guerra,0.5430813073753947,0.5594374797170834,0.18611041098828657,0.0020674418111280455,0.08312343940914836,0.3706372278756286,0.0002966536445203857,0.017420773797919155,0.007106858827982571,0.39824467886884973,0.02677444511665466,0.5709789799743595,0.24080396200274518,0.883285900278469,0.0010031111902402898
Camadas de Componentes,0.5430813073753947,0.2747126821584176,0.18611041098828657,0.0020674418111280455,0.12194595147972484,0.10766310678280765,1.652345622862732e-07,0.005561380563295229,0.0003598062071196789,0.08795832696094671,0.0009986903391134838,0.3638858345185857,0.8981668493035243,0.553183528658166,2.183110964146114e-05
Campanha / Batalhas Dirigidas por Cartas,0.6105254122550735,0.8988273007397323,0.2487455766976971,0.545210522855391,0.8653226353461909,0.22626265938137496,0.7900295174754675,0.3436539332038388,0.3875834310479612,0.27606735751447087,0.3678826985693003,5.813445057370252e-06,0.06254086523061676,0.08659628956173523,0.9108302264719194
Captura de Peças,0.3907106874804962,0.6290653215398007,0.35155446958372283,0.7237001746548092,0.8590178427414406,0.7116008147019457,0.5522459718410888,0.4882842547461149,0.6227554149970318,0.4909781471200171,0.5020823269815092,0.6031873416488052,0.4084340533334675,0.09300117496356429,0.5789036944490611
Cartas Multiuso,0.9999999999999998,0.9960903807491663,0.536255491812444,0.4012436905474418,0.5417832547077822,0.9433930244716257,0.6761230151428099,0.781567053556377,0.9891957120148083,0.8171720966778129,0.8792608038351183,0.0007425827471945369,0.18783636445183466,0.0988086625143731,0.7186657854924312
Cartas de Comando,0.12015958808173731,0.3523454551800664,0.8699828730590006,0.41053381214047996,0.631514044480862,0.03447578250502938,0.36734532166098416,0.2680566434908998,0.3665946930421617,0.44258335858905323,0.3240623671764729,0.10673701487731573,0.8384444203284015,0.8834483124311725,0.3170398363682938
Cenário / Missão / Campanha,0.529071797232084,0.7127235369090309,0.008022420272499891,0.6628955718777745,0.9920934753950703,0.25189496341117196,0.626232660379896,0.5939839206337094,0.964635714634182,0.6942338882650756,0.07250698470103323,3.7214455645373303e-06,0.025095904851131938,0.034275235067750924,0.33636627210298714
Cerco de Área,0.0920854776956254,0.0964335742464809,0.35768751124547354,0.22795793101419085,0.4389534531549176,0.7679827405107741,0.11317038098133418,0.04207263710533931,0.004302370314543236,0.17387935180317024,0.0929220709989387,0.0668698920361607,0.14726811380639987,0.5024832686880272,0.04713013515415169
Cobertura de Grade,0.7733288392966201,0.6653983096212965,0.30097112624540445,0.27277095973075965,0.10320825780971861,0.7923968849924877,0.9694931639610815,0.49921765791087835,0.8273588678449735,0.9211212675027575,0.7502666884573922,0.15743179173187632,0.032518177202398815,0.4052705579801485,0.7342867163975086
Colecionar Conjuntos,0.11555708879552125,0.19963970007115814,0.3599028601760802,0.3034299397598965,0.1278541155154323,0.28156960796224106,0.06829954551016161,0.03847705680013483,0.13323629000742335,0.27281057290725297,0.04106831068842514,0.15819238719568365,0.0044813020575579275,0.02205173832133317,0.03218287637051329
Colocação de Peças,0.9999999999999998,0.9480622398680602,0.34210972125312983,0.8959393566603359,0.46592941004401717,0.05310436905221694,0.11244916611366078,0.44946965996684207,0.13718417786089507,0.335604681751897,0.06879345831067232,0.8571851047924817,0.9350266398768987,0.8957770867665164,0.11339786889219562
