var1,var2,pearson_r,pearson_p,spearman_r,spearman_p
qt_jogou,qt_avaliacoes,0.9737735645800364,3.3258679132515604e-131,0.9783715236983491,1.6152773292248356e-139
qt_tem,qt_avaliacoes,0.962095568229141,2.203594762883966e-115,0.9620273638831187,2.6309406778349896e-115
qt_tem,qt_jogou,0.9534482211379611,1.3288581523600747e-106,0.9460554737353248,2.479967218186389e-100
qt_favorito,qt_avaliacoes,0.9470753360665981,3.8351184179949865e-101,0.9540493107847896,3.7101281136961324e-107
qt_favorito,qt_jogou,0.9009299332587924,8.373878312660543e-75,0.9164048856641759,7.185515527800023e-82
qt_favorito,qt_quer,0.8992178224892216,4.288078295465308e-74,0.9435173013779043,2.2152637431690044e-98
qt_tem,qt_favorito,0.8955535687088754,1.2837054127104392e-72,0.9383760432187142,1.0826558179569148e-94
qt_teve,qt_avaliacoes,0.8778564252699725,3.4618757655067565e-66,0.9300693448214404,2.3449015918793996e-89
qt_teve,qt_favorito,0.8612402797873036,5.327880789483213e-61,0.900260109245516,1.5920984701338023e-74
qt_quer,qt_avaliacoes,0.8469072341364137,4.8618517963193586e-57,0.9138182697501555,1.34514455901951e-80
qt_teve,qt_quer,0.8452736885486114,1.2949779680033714e-56,0.8670095917606635,1.0121488711110057e-62
qt_quer,qt_jogou,0.8379174288435627,9.310223040683249e-55,0.9030324004802479,1.0812717647759998e-75
qt_teve,qt_jogou,0.8070166280286108,7.264842302875004e-48,0.8728478482310493,1.5108845601872654e-64
qt_tem,qt_quer,0.7817734072760028,4.2292641762617585e-43,0.8992889762996804,4.009016740864686e-74
ano_publicacao,ano_nacional,0.7811179437995515,5.5139656988478586e-43,0.803245109634922,4.13813942910659e-47
qt_tem,qt_teve,0.7783504471269054,1.6730483934827292e-42,0.8918848274191814,3.4077629410988685e-71
ano_publicacao,qt_teve,-0.7529276654611734,2.2311797884355933e-38,-0.8003859305051821,1.5092619065537215e-46
ano_nacional,qt_teve,-0.7318199949546724,2.5700436290130505e-35,-0.787500922388711,4.0029864025739476e-44
ano_publicacao,qt_quer,-0.6070010273156929,8.016405545577946e-22,-0.6165431143175503,1.2104632087855706e-22
ano_publicacao,qt_avaliacoes,-0.5793125711853453,1.3700221610263574e-19,-0.6675022670101045,1.514139310914944e-27
ano_nacional,qt_avaliacoes,-0.5769556397978328,2.0754541125442933e-19,-0.6642019596590453,3.3642867597624236e-27
ano_nacional,qt_quer,-0.5744321643802006,3.2258403407429775e-19,-0.5652656129813453,1.551370507055965e-18
ano_nacional,qt_favorito,-0.5638977515849088,1.95296020014436e-18,-0.6479844711056415,1.4742829378358171e-25
ano_publicacao,qt_favorito,-0.5504263492500968,1.7829389645103407e-17,-0.671861525914811,5.1919908634930985e-28
ano_publicacao,qt_jogou,-0.5249198686297479,9.029207382562178e-16,-0.5847473014332574,5.190308930493217e-20
vl_tempo_jogo,idade_minima,0.5111535641170664,6.572686074728722e-15,0.5005560503919898,2.8538770172313385e-14
ano_nacional,qt_jogou,-0.5086538808170931,9.335842788117934e-15,-0.5711044229263942,5.737367402609865e-19
ano_nacional,qt_tem,-0.48257293172810983,3.078986851600286e-13,-0.5948854625975973,8.080387620180402e-21
ano_publicacao,qt_tem,-0.4645441852993224,2.9183860098453122e-12,-0.5990015333137254,3.726366758033038e-21
qt_teve,n_mecanicas,0.4164263421287051,6.430014623075458e-10,0.33294915854362384,1.2117808783770473e-06
qt_quer,n_mecanicas,0.40936522796329494,1.324551449661145e-09,0.39311315239584155,6.564961213658398e-09
qt_favorito,n_mecanicas,0.3736448548634941,3.998392465324203e-08,0.3545002418469389,2.1122527209271135e-07
qt_jogadores_min,idade_minima,-0.35900357473294753,1.4418983825652736e-07,-0.37342550642019934,4.077901768742885e-08
vl_tempo_jogo,n_mecanicas,0.35046787605701324,2.958365725166344e-07,0.38255977533143354,1.7739019881639134e-08
ano_publicacao,n_mecanicas,-0.3119137548215912,5.893424053978913e-06,-0.25426729535943215,0.00025149811878591574
n_mecanicas,qt_avaliacoes,0.2856466711951134,3.610173779340904e-05,0.2978910202177312,1.5853045791231462e-05
vl_tempo_jogo,nota_media,0.277743374762927,6.020138870336013e-05,0.2676563629617373,0.00011308887071829335
ano_nacional,n_mecanicas,-0.25836202432855265,0.0001978475722037245,-0.1918176242005836,0.006113902945695167
idade_minima,n_mecanicas,0.24675460392144494,0.00038663838027578967,0.2493793292912256,0.00033319504728850807
ano_nacional,nota_media,0.23589438567073884,0.0007036161419461864,0.22265537113933218,0.0014083303151375258
ano_publicacao,nota_media,0.2318167159261212,0.0008749244997056303,0.20968586178887422,0.002677133217753216
qt_tem,n_mecanicas,0.22737678315189727,0.0011045189301268105,0.2710175457114166,9.191104114114656e-05
qt_jogadores_min,n_categorias,0.2214571667252812,0.0014967396532909706,0.2191381725372255,0.0016824114014897646
