,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.9999999999999999,0.7811179437995515,-0.14229562017267727,-0.02417556803802809,-0.20325195261676915,-0.04825814123724184,-0.4645441852993224,-0.7529276654611734,-0.5504263492500968,-0.6070010273156929,-0.5249198686297479,-0.3119137548215912,0.132577942289077,0.2318167159261212,-0.5793125711853453
ano_nacional,0.7811179437995515,1.0,-0.12918790791936852,-0.03506756724200539,-0.14397194610000574,-0.04038232804477078,-0.48257293172810983,-0.7318199949546724,-0.5638977515849088,-0.5744321643802006,-0.5086538808170931,-0.25836202432855265,0.05855786562714212,0.23589438567073884,-0.5769556397978328
qt_jogadores_min,-0.14229562017267727,-0.12918790791936852,1.0,0.16022903220275725,-0.1793700808974108,-0.35900357473294753,0.056159236920794,0.0037578963989444783,0.02096315933586123,-0.037659014078939165,0.06041513924988469,-0.07051397441169502,0.2214571667252812,-0.09270690341288548,0.06193251110393293
qt_jogadores_max,-0.02417556803802809,-0.03506756724200539,0.16022903220275725,1.0,-0.04125929588321701,-0.07991188113875736,-0.03727552912123383,-0.06700352466507034,-0.01883527399268807,-0.009459186441522167,-0.0038159000283142924,-0.0299440962006096,0.016795676472939107,-0.15538021945530853,-0.03170271218407163
vl_tempo_jogo,-0.20325195261676915,-0.14397194610000574,-0.1793700808974108,-0.04125929588321701,1.0,0.5111535641170664,-0.07221091664162851,0.11681937694991179,0.0796888732114349,0.19496759961213406,-0.026024553959703503,0.35046787605701324,-0.1911413075972046,0.277743374762927,-0.0063704763648103
idade_minima,-0.04825814123724184,-0.04038232804477078,-0.35900357473294753,-0.07991188113875736,0.5111535641170664,0.9999999999999999,-0.09820638294074022,0.08101415641998563,0.033099300185566664,0.150701809216768,-0.05494872942126981,0.24675460392144494,-0.05964668068294887,0.18658418056054357,-0.05020544147032273
qt_tem,-0.4645441852993224,-0.48257293172810983,0.056159236920794,-0.03727552912123383,-0.07221091664162851,-0.09820638294074022,0.9999999999999998,0.7783504471269054,0.8955535687088754,0.7817734072760028,0.9534482211379611,0.22737678315189727,0.10157499609442647,-0.10003151796285231,0.962095568229141
qt_teve,-0.7529276654611734,-0.7318199949546724,0.0037578963989444783,-0.06700352466507034,0.11681937694991179,0.08101415641998563,0.7783504471269054,1.0,0.8612402797873036,0.8452736885486114,0.8070166280286108,0.4164263421287051,-0.019587976177741884,-0.15307261819298631,0.8778564252699725
qt_favorito,-0.5504263492500968,-0.5638977515849088,0.02096315933586123,-0.01883527399268807,0.0796888732114349,0.033099300185566664,0.8955535687088754,0.8612402797873036,1.0,0.8992178224892216,0.9009299332587924,0.3736448548634941,0.06602714222718199,0.017157716845689255,0.9470753360665981
qt_quer,-0.6070010273156929,-0.5744321643802006,-0.037659014078939165,-0.009459186441522167,0.19496759961213406,0.150701809216768,0.7817734072760028,0.8452736885486114,0.8992178224892216,1.0,0.8379174288435627,0.40936522796329494,0.026518242480350798,0.02362313775364104,0.8469072341364137
qt_jogou,-0.5249198686297479,-0.5086538808170931,0.06041513924988469,-0.0038159000283142924,-0.026024553959703503,-0.05494872942126981,0.9534482211379611,0.8070166280286108,0.9009299332587924,0.8379174288435627,1.0,0.21677265519024125,0.006896927296082114,-0.13223485340512187,0.9737735645800364
n_mecanicas,-0.3119137548215912,-0.25836202432855265,-0.07051397441169502,-0.0299440962006096,0.35046787605701324,0.24675460392144494,0.22737678315189727,0.4164263421287051,0.3736448548634941,0.40936522796329494,0.21677265519024125,1.0,0.06036977678349659,0.1438820994740102,0.2856466711951134
n_categorias,0.132577942289077,0.05855786562714212,0.2214571667252812,0.016795676472939107,-0.1911413075972046,-0.05964668068294887,0.10157499609442647,-0.019587976177741884,0.06602714222718199,0.026518242480350798,0.006896927296082114,0.06036977678349659,0.9999999999999996,0.05330800822145375,0.02503922195326043
nota_media,0.2318167159261212,0.23589438567073884,-0.09270690341288548,-0.15538021945530853,0.277743374762927,0.18658418056054357,-0.10003151796285231,-0.15307261819298631,0.017157716845689255,0.02362313775364104,-0.13223485340512187,0.1438820994740102,0.05330800822145375,1.0,-0.1089812809302485
qt_avaliacoes,-0.5793125711853453,-0.5769556397978328,0.06193251110393293,-0.03170271218407163,-0.0063704763648103,-0.05020544147032273,0.962095568229141,0.8778564252699725,0.9470753360665981,0.8469072341364137,0.9737735645800364,0.2856466711951134,0.02503922195326043,-0.1089812809302485,1.0
