,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.0,5.5139656988478586e-43,0.04284703270689286,0.7320710703360528,0.003632455434101108,0.4941486386800148,2.9183860098453122e-12,2.2311797884355933e-38,1.7829389645103407e-17,8.016405545577946e-22,9.029207382562178e-16,5.893424053978913e-06,0.0593471893188541,0.0008749244997056303,1.3700221610263574e-19
ano_nacional,5.5139656988478586e-43,0.0,0.06621232958642201,0.6193982164055296,0.040432174690261946,0.5672948164339338,3.078986851600286e-13,2.5700436290130505e-35,1.95296020014436e-18,3.2258403407429775e-19,9.335842788117934e-15,0.0001978475722037245,0.40660577612589593,0.0007036161419461864,2.0754541125442933e-19
qt_jogadores_min,0.04284703270689286,0.06621232958642201,0.0,0.022395685135047035,0.010447640461013756,1.4418983825652736e-07,0.426128961732706,0.9575635199396092,0.7665678335816304,0.5937329738211982,0.39185937882452876,0.3174506263497822,0.0014967396532909706,0.18832566217617921,0.38005416706234557
qt_jogadores_max,0.7320710703360528,0.6193982164055296,0.022395685135047035,0.0,0.5589018914645972,0.2570665890559328,0.5975003759843067,0.34220065611729816,0.7896787179743436,0.8934473191499122,0.9569091348620475,0.6714941461048444,0.8120047207114659,0.026855042991687495,0.6534188622232666
vl_tempo_jogo,0.003632455434101108,0.040432174690261946,0.010447640461013756,0.5589018914645972,0.0,6.572686074728722e-15,0.305915033756245,0.0969487081673083,0.2584009031893609,0.005311517013820648,0.712451574309016,2.958365725166344e-07,0.006299697039529646,6.020138870336013e-05,0.928123721909734
idade_minima,0.4941486386800148,0.5672948164339338,1.4418983825652736e-07,0.2570665890559328,6.572686074728722e-15,0.0,0.16333058056012684,0.250541140459528,0.6392063299367341,0.03185834496139149,0.43618422333390516,0.00038663838027578967,0.39792132242480244,0.0076885939641460925,0.4768679947026385
qt_tem,2.9183860098453122e-12,3.078986851600286e-13,0.426128961732706,0.5975003759843067,0.305915033756245,0.16333058056012684,0.0,1.6730483934827292e-42,1.2837054127104392e-72,4.2292641762617585e-43,1.3288581523600747e-106,0.0011045189301268105,0.1492977487990282,0.1556097656882329,2.203594762883966e-115
qt_teve,2.2311797884355933e-38,2.5700436290130505e-35,0.9575635199396092,0.34220065611729816,0.0969487081673083,0.250541140459528,1.6730483934827292e-42,0.0,5.327880789483213e-61,1.2949779680033714e-56,7.264842302875004e-48,6.430014623075458e-10,0.7814814867279996,0.02923173741856066,3.4618757655067565e-66
qt_favorito,1.7829389645103407e-17,1.95296020014436e-18,0.7665678335816304,0.7896787179743436,0.2584009031893609,0.6392063299367341,1.2837054127104392e-72,5.327880789483213e-61,0.0,4.288078295465308e-74,8.373878312660543e-75,3.998392465324203e-08,0.3492965897385568,0.8080300738608991,3.8351184179949865e-101
qt_quer,8.016405545577946e-22,3.2258403407429775e-19,0.5937329738211982,0.8934473191499122,0.005311517013820648,0.03185834496139149,4.2292641762617585e-43,1.2949779680033714e-56,4.288078295465308e-74,0.0,9.310223040683249e-55,1.324551449661145e-09,0.7072442412301033,0.7379674496603251,4.8618517963193586e-57
qt_jogou,9.029207382562178e-16,9.335842788117934e-15,0.39185937882452876,0.9569091348620475,0.712451574309016,0.43618422333390516,1.3288581523600747e-106,7.264842302875004e-48,8.373878312660543e-75,9.310223040683249e-55,0.0,0.0018932594995749992,0.9222019293273015,0.06001416783139756,3.3258679132515604e-131
n_mecanicas,5.893424053978913e-06,0.0001978475722037245,0.3174506263497822,0.6714941461048444,2.958365725166344e-07,0.00038663838027578967,0.0011045189301268105,6.430014623075458e-10,3.998392465324203e-08,1.324551449661145e-09,0.0018932594995749992,0.0,0.3922156662104322,0.04055863551478331,3.610173779340904e-05
n_categorias,0.0593471893188541,0.40660577612589593,0.0014967396532909706,0.8120047207114659,0.006299697039529646,0.39792132242480244,0.1492977487990282,0.7814814867279996,0.3492965897385568,0.7072442412301033,0.9222019293273015,0.3922156662104322,0.0,0.45002740493616,0.7228843330138326
nota_media,0.0008749244997056303,0.0007036161419461864,0.18832566217617921,0.026855042991687495,6.020138870336013e-05,0.0076885939641460925,0.1556097656882329,0.02923173741856066,0.8080300738608991,0.7379674496603251,0.06001416783139756,0.04055863551478331,0.45002740493616,0.0,0.12167782439301274
qt_avaliacoes,1.3700221610263574e-19,2.0754541125442933e-19,0.38005416706234557,0.6534188622232666,0.928123721909734,0.4768679947026385,2.203594762883966e-115,3.4618757655067565e-66,3.8351184179949865e-101,4.8618517963193586e-57,3.3258679132515604e-131,3.610173779340904e-05,0.7228843330138326,0.12167782439301274,0.0
