,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.9999999999999999,0.803245109634922,-0.1521712798279193,-0.027196048073164322,-0.1997109860856804,0.0006184515948257713,-0.5990015333137254,-0.8003859305051821,-0.671861525914811,-0.6165431143175503,-0.5847473014332574,-0.25426729535943215,0.1380252400226167,0.20968586178887422,-0.6675022670101045
ano_nacional,0.803245109634922,1.0,-0.11083130611837427,-0.07203229449614941,-0.13886930511876786,0.002570603271188115,-0.5948854625975973,-0.787500922388711,-0.6479844711056415,-0.5652656129813453,-0.5711044229263942,-0.1918176242005836,0.04126810869104563,0.22265537113933218,-0.6642019596590453
qt_jogadores_min,-0.15217127982791934,-0.11083130611837427,0.9999999999999999,0.1348647912474495,-0.35461172646996486,-0.37342550642019934,0.01575996324734205,-0.0005620269192490517,0.03569225854714448,-0.04164699742860924,0.03652453946851206,-0.058303905172944225,0.2191381725372255,-0.08792019885836977,0.04443974781617011
qt_jogadores_max,-0.027196048073164322,-0.07203229449614941,0.1348647912474495,0.9999999999999999,-0.13123316259293658,-0.02142778130620256,0.010785995100088333,-0.02569226568608012,0.05860608725958663,0.0016333559916117324,0.03607102747157588,-0.026188015672210067,0.02384401430388703,-0.1683947247597618,0.050292832871755275
vl_tempo_jogo,-0.19971098608568036,-0.13886930511876786,-0.35461172646996486,-0.13123316259293655,1.0,0.5005560503919898,0.12984764035453994,0.24685325541921813,0.25309166141902867,0.29705051181602476,0.17558299189778748,0.38255977533143354,-0.28608279905095224,0.2676563629617373,0.17884878567384624
idade_minima,0.0006184515948257714,0.002570603271188115,-0.3734255064201993,-0.021427781306202563,0.5005560503919897,1.0,0.03479644072904058,0.05064968565895645,0.10476963949055916,0.13194073236114523,0.039686474447303444,0.2493793292912256,-0.003934953629888418,0.18831158466024628,0.03525695435446553
qt_tem,-0.5990015333137253,-0.5948854625975974,0.01575996324734205,0.010785995100088333,0.12984764035453994,0.03479644072904058,1.0,0.8918848274191814,0.9383760432187142,0.8992889762996804,0.9460554737353248,0.2710175457114166,0.003973510586071548,-0.11107731492231207,0.9620273638831187
qt_teve,-0.8003859305051823,-0.787500922388711,-0.0005620269192490516,-0.025692265686080122,0.24685325541921813,0.05064968565895645,0.8918848274191813,0.9999999999999999,0.900260109245516,0.8670095917606635,0.8728478482310493,0.33294915854362384,-0.07509580558900081,-0.20915945455354518,0.9300693448214404
qt_favorito,-0.671861525914811,-0.6479844711056414,0.03569225854714448,0.058606087259586624,0.25309166141902867,0.10476963949055916,0.9383760432187142,0.9002601092455161,1.0,0.9435173013779043,0.9164048856641759,0.3545002418469389,-0.008935245426200123,0.02991744660797907,0.9540493107847896
qt_quer,-0.6165431143175503,-0.5652656129813453,-0.04164699742860924,0.0016333559916117324,0.2970505118160248,0.1319407323611452,0.8992889762996803,0.8670095917606636,0.9435173013779042,1.0,0.9030324004802479,0.39311315239584155,-0.061082861377916166,0.013094645811460958,0.9138182697501555
qt_jogou,-0.5847473014332575,-0.5711044229263942,0.03652453946851206,0.03607102747157588,0.17558299189778748,0.039686474447303444,0.9460554737353248,0.8728478482310492,0.9164048856641759,0.9030324004802478,0.9999999999999999,0.2750045274465519,-0.10175169098253756,-0.16028235257117862,0.9783715236983491
n_mecanicas,-0.25426729535943215,-0.1918176242005836,-0.05830390517294423,-0.02618801567221007,0.38255977533143354,0.2493793292912256,0.2710175457114166,0.33294915854362384,0.3545002418469389,0.39311315239584155,0.2750045274465519,1.0,-0.009355941802509019,0.15212754631017747,0.2978910202177312
n_categorias,0.1380252400226167,0.04126810869104562,0.2191381725372255,0.02384401430388703,-0.28608279905095224,-0.003934953629888418,0.003973510586071547,-0.07509580558900081,-0.008935245426200125,-0.06108286137791616,-0.10175169098253754,-0.009355941802509019,1.0,0.08632131219095478,-0.06787535849607211
nota_media,0.20968586178887422,0.22265537113933215,-0.08792019885836976,-0.1683947247597618,0.26765636296173734,0.1883115846602463,-0.11107731492231207,-0.20915945455354518,0.02991744660797907,0.013094645811460958,-0.16028235257117862,0.15212754631017747,0.08632131219095478,0.9999999999999999,-0.15200832481646787
qt_avaliacoes,-0.6675022670101045,-0.6642019596590453,0.04443974781617011,0.05029283287175527,0.1788487856738462,0.03525695435446553,0.9620273638831187,0.9300693448214403,0.9540493107847895,0.9138182697501556,0.9783715236983491,0.29789102021773123,-0.06787535849607211,-0.15200832481646787,1.0
