,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
ano_publicacao,0.0,4.13813942910659e-47,0.030207680336198892,0.7001170058226815,0.004280599310152199,0.9930128811652789,3.726366758033038e-21,1.5092619065537215e-46,5.1919908634930985e-28,1.2104632087855706e-22,5.190308930493217e-20,0.00025149811878591574,0.04955065214470678,0.002677133217753216,1.514139310914944e-27
ano_nacional,4.13813942910659e-47,0.0,0.11543995110717899,0.30711612697594826,0.04816050046314268,0.9709639318629921,8.080387620180402e-21,4.0029864025739476e-44,1.4742829378358171e-25,1.551370507055965e-18,5.737367402609865e-19,0.006113902945695167,0.5588178541383683,0.0014083303151375258,3.3642867597624236e-27
qt_jogadores_min,0.030207680336198868,0.11543995110717899,0.0,0.05505581428826468,2.0925312041205756e-07,4.077901768742885e-08,0.8234015073026371,0.9936503396851337,0.6131675004168243,0.5552106131380838,0.6049092444842131,0.4086474080392472,0.0016824114014897646,0.2122686337340207,0.5289758510499568
qt_jogadores_max,0.7001170058226815,0.30711612697594826,0.05505581428826468,0.0,0.061996871888816106,0.7615481128238706,0.8786094357057785,0.7159640126376309,0.4062187977193597,0.9815481316028333,0.6094030591200709,0.7107259231160088,0.7356080593958844,0.016322861811188357,0.4761002468343901
vl_tempo_jogo,0.0042805993101521994,0.04816050046314268,2.0925312041205756e-07,0.061996871888816155,0.0,2.8538770172313385e-14,0.06482767720963697,0.00038449366455653054,0.0002692388245814844,1.6794735468850767e-05,0.012220184896293309,1.7739019881639134e-08,3.5081473345358235e-05,0.00011308887071829335,0.010677311089618592
idade_minima,0.9930128811652789,0.9709639318629921,4.077901768742915e-08,0.7615481128238706,2.853877017231366e-14,0.0,0.6221109548661922,0.4729722264072447,0.1368519790325264,0.060590851013367225,0.5739967541737361,0.00033319504728850807,0.9555660872629373,0.007132937835888334,0.617506359991556
qt_tem,3.726366758033169e-21,8.080387620180265e-21,0.8234015073026371,0.8786094357057785,0.06482767720963697,0.6221109548661922,0.0,3.4077629410988685e-71,1.0826558179569148e-94,4.009016740864686e-74,2.479967218186389e-100,9.191104114114656e-05,0.9551311516285323,0.11462961226557455,2.6309406778349896e-115
qt_teve,1.5092619065536515e-46,4.0029864025739476e-44,0.9936503396851337,0.7159640126376309,0.00038449366455653054,0.4729722264072447,3.4077629410992405e-71,0.0,1.5920984701338023e-74,1.0121488711110057e-62,1.5108845601872654e-64,1.2117808783770473e-06,0.28694481803747285,0.002745731512597043,2.3449015918793996e-89
qt_favorito,5.1919908634930985e-28,1.4742829378358171e-25,0.6131675004168243,0.4062187977193598,0.0002692388245814844,0.1368519790325264,1.0826558179569148e-94,1.5920984701335688e-74,0.0,2.2152637431690044e-98,7.185515527800023e-82,2.1122527209271135e-07,0.8993171274756661,0.6717695432038058,3.7101281136961324e-107
qt_quer,1.2104632087855706e-22,1.551370507055965e-18,0.5552106131380838,0.9815481316028333,1.6794735468850676e-05,0.06059085101336729,4.00901674086521e-74,1.0121488711109375e-62,2.2152637431694254e-98,0.0,1.0812717647759998e-75,6.564961213658398e-09,0.38663751163770016,0.8528950455557177,1.34514455901951e-80
qt_jogou,5.190308930493217e-20,5.737367402609865e-19,0.6049092444842131,0.6094030591200709,0.012220184896293309,0.5739967541737361,2.479967218186389e-100,1.5108845601873714e-64,7.185515527800023e-82,1.0812717647760652e-75,0.0,7.161647545138382e-05,0.14858771330009227,0.0223504351583315,1.6152773292248356e-139
n_mecanicas,0.00025149811878591574,0.006113902945695167,0.40864740803924715,0.7107259231160088,1.7739019881639134e-08,0.00033319504728850807,9.191104114114656e-05,1.2117808783770473e-06,2.1122527209271135e-07,6.564961213658398e-09,7.161647545138382e-05,0.0,0.8946035401203181,0.03025573229610612,1.5853045791231462e-05
n_categorias,0.04955065214470678,0.5588178541383685,0.0016824114014897646,0.7356080593958844,3.5081473345358235e-05,0.9555660872629373,0.9551311516285325,0.28694481803747285,0.8993171274756661,0.38663751163770016,0.14858771330009235,0.8946035401203181,0.0,0.2207328506429041,0.3359424457570396
nota_media,0.002677133217753216,0.001408330315137529,0.2122686337340207,0.016322861811188357,0.00011308887071829247,0.007132937835888333,0.11462961226557455,0.002745731512597043,0.6717695432038058,0.8528950455557177,0.0223504351583315,0.03025573229610612,0.2207328506429041,0.0,0.030387057440202477
qt_avaliacoes,1.514139310914944e-27,3.3642867597624236e-27,0.5289758510499568,0.4761002468343901,0.010677311089618592,0.617506359991556,2.6309406778349896e-115,2.3449015918796894e-89,3.710128113696819e-107,1.3451445590193512e-80,1.6152773292248356e-139,1.5853045791231418e-05,0.3359424457570396,0.030387057440202477,0.0
