place_id,nome,endereco,capital_busca,match_tipo,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,telefone,link_google_maps,status_google,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,"Acelino de Leão, 1503 - Buritizal, Macapá - AP, 68901-092, Brazil",Macapá,avaliacao,bar;store;point_of_interest;establishment,4.5,146,https://www.meucomercio.com.br/4funstoreap,+55 96 98117-6892,https://maps.google.com/?cid=18438541613826929184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,"R. Antônio Ataíde, 323 - Centro de Vila Velha, Vila Velha - ES, 29100-295, Brazil",Vitória,avaliacao,association_or_organization;restaurant;food;point_of_interest;establishment,5,28,https://www.instagram.com/arainhadosdados/,+55 27 99205-7387,https://maps.google.com/?cid=14137875053294073737&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,"Av. Maués, 700 - Cachoeirinha, Manaus - AM, 69065-070, Brazil",Manaus,avaliacao,bar;point_of_interest;establishment,4.8,17,,+55 92 98601-9920,https://maps.google.com/?cid=14153166556003550109&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,"R. Nilo Peçanha, 16 - São Francisco, Curitiba - PR, 80520-000, Brazil",Cuiabá;Curitiba,nome+avaliacao,coffee_shop;cafe;food_store;food;store;point_of_interest;association_or_organization;establishment,5,71,https://albajogos.com.br/,+55 41 99112-2557,https://maps.google.com/?cid=14018388388133935305&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,"R. Fontoura Xavier, 1314 - Itaquera, São Paulo - SP, 08295-300, Brazil",São Paulo,nome,video_arcade;snack_bar;meal_takeaway;association_or_organization;restaurant;point_of_interest;food;establishment,5,60,http://www.arcade80.com.br/,+55 11 92472-7575,https://maps.google.com/?cid=7775228772580637058&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJHSDPTgF5GZURKmSqKITyoGM,Arcadea Gaming Pub,"R. Gen. Neto, 440 - Moinhos de Vento, Porto Alegre - RS, 90560-020, Brazil",Manaus;Porto Alegre,avaliacao,bar;point_of_interest;establishment,4.2,1087,https://arcadeapub.com.br/,+55 51 99652-4436,https://maps.google.com/?cid=7179004455460430890&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,"R. Lino Coutinho, 1791 - Ipiranga, São Paulo - SP, 04207-002, Brazil",São Paulo,nome+avaliacao,hamburger_restaurant;cocktail_bar;bar;american_restaurant;restaurant;point_of_interest;association_or_organization;store;food;establishment,4.8,145,https://arenabg.com.br/,+55 11 91504-1212,https://maps.google.com/?cid=1545642676154263829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ0yXbI35IxwcR0_jLi-uINUU,Balboa's Hobby Games,"R. Maria Tomásia, 208 - Aldeota, Fortaleza - CE, 60150-170, Brazil",Boa Vista;Fortaleza;João Pessoa;Manaus,nome+avaliacao,snack_bar;toy_store;meal_takeaway;store;restaurant;food;point_of_interest;establishment,4.8,881,https://www.balboas.com.br/,+55 85 98223-9922,https://maps.google.com/?cid=4987042707626784979&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,"R. Lêda - Jardim Leal, Duque de Caxias - RJ, 25035-550, Brazil",Rio de Janeiro,nome+avaliacao,bar;point_of_interest;establishment,5,17,,,https://maps.google.com/?cid=11305465741218541943&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,"R. Gen. Abreu, 342 - Cidade Nova, Rio Grande - RS, 96202-570, Brazil",Aracaju;Belém;Boa Vista;Campo Grande;Natal;Porto Velho;Rio de Janeiro,nome+avaliacao,bar;restaurant;point_of_interest;food;establishment,4.8,96,http://bbludobar.acervodejogos.com.br/,,https://maps.google.com/?cid=1299615420635692612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
