place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes,num_caracteres_texto,texto_avaliacao_filtrado
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,2,5,pt,5 months ago,"Amei o local! Belém precisava de local assim. Tem muitos jogos, de cartas, de tabuleiro. O atendimento é ótimo, as cotidianas são maravilhosas, o Pink limonade delícia, banheiro limpo, salas privativas, só achei que não tem acessibilidade. A entrada é R$20 de quarta e quinta-feira e sexta a domingo e feriados R$25.",False,False,maior,promotor,outlier,316,Amei local Belém local jogos cartas tabuleiro atendimento ótimo cotidianas maravilhosas Pink delícia banheiro limpo salas privativas acessibilidade entrada quarta quinta-feira sexta domingo
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,3,5,pt,3 months ago,"Amo a Ludoteca! Ambiente agradável, divertido, e sempre fui muito bem atendida. O preço dos hambúrguer estão na faixa da maioria das hamburgueria de Belém. Tem a opção de lanches mais em conta (croissant e o sanduíche que também são muito bons) Um local ideal para se divertir com amigos e com a família.
Achei um preço justo pela experiência que proporciona e pela segurança.

Somente o nível de barulho é moderado quando está cheio, podendo melhorar.",False,False,maior,promotor,outlier,452,Amo Ludoteca Ambiente agradável divertido atendida preço hambúrguer faixa maioria hamburgueria Belém opção lanches em conta croissant sanduíche bons local ideal amigos família preço justo experiência segurança nível barulho cheio
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4.8,327,4,5,pt,3 months ago,"Lugar Maravilhoso!!! Sensacional! Na minha opinião melhor lugar para se comemorar aniversário, a gente se diverte brincando, o aniversariante não paga ingresso e ainda ganha uma soda e uma polaroide. Os atendente são super atenciosos. Tem karaokê também. .
Só vão!",False,False,maior,promotor,outlier,264,Lugar Maravilhoso opinião melhor lugar aniversário gente aniversariante ingresso soda polaroide super atenciosos karaokê
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,0,5,pt,4 months ago,"Os atendentes são super legais! eu sendo uma adolescente, me senti muito incluída e especial. E eles explicam tudo direitinho, eu indico!",False,False,maior,promotor,menor,137,atendentes super legais adolescente incluída especial direitinho indico
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,1,5,pt,4 months ago,"Atendimento incrível e imersivo, super educados e engraçados, comidas e bebidas excelentes e jogos variados e divertidos.",False,False,maior,promotor,menor,121,Atendimento incrível imersivo super bebidas excelentes jogos divertidos
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,2,2,pt,8 months ago,"Reservamos com antecedência a sala de karaokê e quando chegamos foram mais de 30 minutos das pessoas atendentes tentando ligar o microfone (depois de pedirmos e ouvir ""vou botar no grupo para aprender como fazer"") e depois do tempo e ocasião do aniversário perdidos ouvimos que simplesmente não ia funcionar. Um absurdo a falta de consideração do estabelecimento e sua gerência para algo que foi reservado com antecedência.",False,False,maior,detrator,menor,423,antecedência sala karaokê minutos pessoas atendentes microfone grupo tempo ocasião aniversário absurdo falta consideração estabelecimento gerência antecedência
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4.8,16,4,5,pt,a year ago,"LITERALMENTE, o lugar mais divertido de Salvador!!!",False,False,maior,promotor,menor,51,LITERALMENTE lugar divertido Salvador
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,1,5,pt,a year ago,Adorei! Lugar que vale a pena ir. Muitos jogos legais! Vitor foi muito solícito em explicar os jogos e nos recebeu muito bem. Comida gostosa e preço justo. Pedi um pão de queijo recheado e um suco natural ($28 reais). Lá é cobrado valor por mesa pra jogar ($30 reais jogos simples).Voltaremos mais vezes 😍,False,False,maior,promotor,menor,305,Adorei Lugar pena jogos legais Vitor solícito jogos Comida gostosa preço justo Pedi pão queijo suco natural reais valor mesa reais jogos vezes
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,2,5,pt,3 months ago,"Não podia ser melhor, me associei no dia um. Acervo gigantesco, os MELHORES DRINKS no precinho e nossinhora tem um tal de cookie de matcha com siciliano que mudou minha vida. Só vá!",False,False,maior,promotor,menor,181,melhor dia Acervo gigantesco MELHORES DRINKS precinho cookie matcha siciliano vida
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,3,5,pt,3 months ago,Atendimento excelente! O pessoal é muito educado e prestativo e ensinam os jogos super bem. As comidas também são ótimas e o preço é muito bom. Recomendo muito!,False,False,maior,promotor,menor,160,Atendimento excelente pessoal educado prestativo jogos comidas ótimas preço bom
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,5.0,49,4,5,pt,3 months ago,"Ambiente muito agradável, mas o grande destaque foi o atendimento impecável. Fomos atendidos pelo Sloan, que foi extremamente atencioso e prestativo. Só temos elogios e agradecimentos. Recomendo muito!!",False,False,maior,promotor,menor,202,Ambiente agradável grande destaque atendimento impecável Sloan atencioso prestativo elogios agradecimentos
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,1,1,pt,3 months ago,"Para quem vai querendo só jogar os board game é ótimo, agr sobre a comida e recepção decepção, primeiro que muita coisa que tem no cardápio não tem disponível, pedimos o milk shake duplo e uma isca de frango com batata frita, a batata frita estava sem sal e tinha umas que passou do ponto, o frango da outra isca que pedimos, estava cru e a salada tava horrível. O garçom mais perdido ou só era preguiçoso mesmo, não retirou os copos e nem os pratos, a gente que levou, o lugar não tava com uma ventilação muito boa, estava com um cheiro de mofo , e além disso comida péssima e super faturada.",False,False,menor,detrator,maior,593,board game ótimo agr comida recepção decepção coisa cardápio disponível duplo isca frango batata frita batata frita sal ponto frango isca cru salada horrível garçom perdido preguiçoso copos pratos gente lugar ventilação boa cheiro mofo comida péssima super
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,2,5,pt,a month ago,"Recomendo muito vc ir!!

O local tem sinuca,pembolim e boliche 🎳 (sem contar todos aqueles jogos de tabuleiro)

A comida é ótima e o boliche, mesmo sendo pequeno é MT bom",False,False,menor,promotor,maior,170,local sinuca pembolim 🎳 em conta jogos tabuleiro comida ótima boliche pequeno MT bom
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4.6,276,3,1,pt,4 months ago,"Gente, eu estou passada com o péssimo atendimento e funcionamento do local.
Você chega no local ninguém te orienta direito. Fizemos a reserva do boliche para as 21h, quando deu o horário os funcionários não nos orientou, não avisou ao pessoal da outra reserva que eles precisavam sair para o grupo do outro horário entrar. O karaokê que aparentemente não precisava de reserva, eles não tem uma logística para que todos usem, não tem microfone, ambos estavam quebrados. Quando conseguimos entrar na sala do karaokê, depois de 2h esperando, não tinha internet suficiente para carregar uma música sequer.

O atendimento do salão, pessoas mal educadas e improdutivas.

Eu não volto mais e nem acho que vale a pena o estresse. Melhor comprar o jogo e jogar em casa",False,False,menor,detrator,maior,759,Gente passada péssimo atendimento funcionamento local local direito reserva boliche 21h horário funcionários pessoal reserva grupo horário karaokê reserva logística microfone quebrados sala karaokê 2h suficiente música sequer atendimento salão pessoas improdutivas pena estresse jogo casa
