place_id,nome_estabelecimento,review_index,avaliacao_media_estabelecimento,nota_avaliacao,volume_avaliacoes_estabelecimento,num_caracteres_texto,cluster
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,2,4.8,5,327,316,1
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,3,4.8,5,327,452,1
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,4,4.8,5,327,264,1
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,0,4.8,5,16,137,1
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,1,4.8,5,16,121,1
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,2,4.8,2,16,423,0
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,4,4.8,5,16,51,1
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,1,5.0,5,49,305,1
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,2,5.0,5,49,181,1
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,3,5.0,5,49,160,1
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,4,5.0,5,49,202,1
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,1,4.6,1,276,593,0
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,2,4.6,5,276,170,1
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,3,4.6,1,276,759,0
ChIJ1S2JbVz_sgcRhJDPIt6lg5c,Vem pra Mesa Game Center,4,4.6,1,276,496,0
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,1,4.6,5,1505,389,0
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,2,4.6,5,1505,389,0
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,3,4.6,4,1505,374,0
ChIJ6ZLMZw-XpgAR_OR6SwY5xKo,Shelf Bar e Jogos,4,4.6,5,1505,160,0
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,0,5.0,5,91,387,1
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,1,5.0,5,91,364,1
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,2,5.0,5,91,211,1
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,3,5.0,5,91,194,1
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,4,5.0,5,91,243,1
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,1,5.0,5,17,382,1
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,2,5.0,5,17,103,1
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,3,5.0,5,17,61,1
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,4,5.0,5,17,37,1
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,1,5.0,5,28,107,1
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,2,5.0,5,28,210,1
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,3,5.0,5,28,77,1
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,4,5.0,5,28,148,1
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,2,4.7,4,133,702,1
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,3,4.7,5,133,259,1
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4,4.7,5,133,488,1
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,3,4.3,1,199,345,0
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,4,4.3,5,199,65,1
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,0,4.6,5,28,200,1
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,1,4.6,5,28,109,1
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,2,4.6,5,28,444,1
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,3,4.6,3,28,882,0
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4,4.6,5,28,83,1
ChIJHSDPTgF5GZURKmSqKITyoGM,Arcadea Gaming Pub,4,4.2,4,1087,4060,0
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,0,5.0,5,94,262,1
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,1,5.0,5,94,853,1
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,2,5.0,2,94,312,0
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,3,5.0,5,94,150,1
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,4,5.0,5,94,292,1
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,0,4.8,4,104,120,1
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,1,4.8,2,104,593,0
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,2,4.8,3,104,308,1
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,3,4.8,4,104,243,1
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4,4.8,5,104,349,1
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,0,4.2,1,49,146,0
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,1,4.2,1,49,163,0
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,2,4.2,5,49,92,1
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,3,4.2,5,49,74,1
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4,4.2,5,49,174,1
ChIJN8BZeb85WpMRgVKT05caxB4,Utopia Games & Food,2,4.8,3,159,2013,0
ChIJN8BZeb85WpMRgVKT05caxB4,Utopia Games & Food,3,4.8,5,159,209,1
ChIJN8BZeb85WpMRgVKT05caxB4,Utopia Games & Food,4,4.8,4,159,338,1
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,1,4.4,4,98,731,0
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,2,4.4,4,98,710,0
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,3,4.4,1,98,389,0
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,4,4.4,4,98,270,1
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,1,5.0,5,88,542,1
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,2,5.0,5,88,386,1
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,3,5.0,5,88,74,1
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,4,5.0,5,88,261,1
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,1,4.8,5,96,241,1
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,2,4.8,5,96,90,1
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,3,4.8,5,96,338,1
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,4,4.8,1,96,567,0
ChIJOUXU1akzWpMRC7rrq4o9GZc,game food,1,4.4,1,64,642,0
ChIJOUXU1akzWpMRC7rrq4o9GZc,game food,2,4.4,5,64,307,1
ChIJOUXU1akzWpMRC7rrq4o9GZc,game food,3,4.4,1,64,388,0
ChIJOUXU1akzWpMRC7rrq4o9GZc,game food,4,4.4,4,64,481,1
ChIJOcVssmeDmQARZZrnWu2mnwA,TabuClub,0,4.7,5,100,564,1
ChIJOcVssmeDmQARZZrnWu2mnwA,TabuClub,1,4.7,5,100,287,1
ChIJOcVssmeDmQARZZrnWu2mnwA,TabuClub,2,4.7,5,100,898,1
ChIJOcVssmeDmQARZZrnWu2mnwA,TabuClub,3,4.7,5,100,248,1
ChIJOcVssmeDmQARZZrnWu2mnwA,TabuClub,4,4.7,5,100,412,1
ChIJOczn8z7l3JQRNBEL_ZJ3iQo,Joyjoy Café,4,4.8,3,690,1678,0
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,0,4.9,5,206,164,1
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,1,4.9,5,206,479,1
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,2,4.9,5,206,411,1
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,3,4.9,5,206,544,1
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,4,4.9,5,206,103,1
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,0,4.0,5,4,40,1
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,1,4.0,5,4,23,1
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,2,4.0,1,4,21,0
ChIJV-ILP3axnZMRXR-ujzUSeoM,Mister Game Drinks,0,4.4,1,7,286,0
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,0,5.0,5,71,574,1
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,1,5.0,5,71,258,1
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,2,5.0,5,71,104,1
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,3,5.0,5,71,481,1
ChIJV5xi80_l3JQRyRgvZvdRi8I,Alba - Café e jogos de tabuleiro,4,5.0,5,71,140,1
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,0,4.8,5,145,282,1
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,1,4.8,5,145,195,1
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,2,4.8,5,145,254,1
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,3,4.8,5,145,368,1
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,4,4.8,5,145,253,1
ChIJ_cv0FwB_mQARkbW8bdLx99w,Vinoteca do Visconde Restaurante,2,4.9,5,546,925,1
ChIJ_cv0FwB_mQARkbW8bdLx99w,Vinoteca do Visconde Restaurante,3,4.9,1,546,603,0
ChIJ_cv0FwB_mQARkbW8bdLx99w,Vinoteca do Visconde Restaurante,4,4.9,5,546,367,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,0,5.0,5,66,2750,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,1,5.0,5,66,675,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,2,5.0,5,66,355,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,3,5.0,3,66,276,1
ChIJa0CP91MzWpMRz6oEQwlR2TA,Tem Mesa - Pizza & Luderia,4,5.0,5,66,730,1
ChIJa6-7T2uxGgcR4K-1owvXsuI,Multiverso Game Point,4,4.9,5,178,103,1
ChIJb0TXDUndrAcRi0y4ut782Hw,Grão-Mestre Luderia,2,4.7,5,569,321,1
ChIJb0TXDUndrAcRi0y4ut782Hw,Grão-Mestre Luderia,3,4.7,5,569,717,1
ChIJb0TXDUndrAcRi0y4ut782Hw,Grão-Mestre Luderia,4,4.7,1,569,1665,0
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,0,4.6,5,32,573,1
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,1,4.6,5,32,201,1
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,2,4.6,1,32,332,0
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,3,4.6,5,32,58,1
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,4,4.6,5,32,242,1
