nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
The Castles of Burgundy: Special Edition,9.07,9.42,445,https://ludopedia.com.br/jogo/the-castles-of-burgundy-special-edition,the-castles-of-burgundy-special-edition
Brass: Birmingham,9.03,9.12,1641,https://ludopedia.com.br/jogo/brass-birmingham,brass-birmingham
SETI: Busca por Inteligência Extraterrestre,9.0,9.23,677,https://ludopedia.com.br/jogo/seti-search-for-extraterrestrial-intelligence,seti-search-for-extraterrestrial-intelligence
Projeto Gaia,9.0,9.1,1572,https://ludopedia.com.br/jogo/gaia-project,gaia-project
Gloomhaven,8.98,9.09,1336,https://ludopedia.com.br/jogo/gloomhaven,gloomhaven
Terraforming Mars,8.96,8.99,4027,https://ludopedia.com.br/jogo/terraforming-mars,terraforming-mars
Ark Nova,8.95,9.07,1205,https://ludopedia.com.br/jogo/ark-nova,ark-nova
Terra Mystica,8.95,9.0,2823,https://ludopedia.com.br/jogo/terra-mystica,terra-mystica
Brass: Lancashire,8.93,9.12,745,https://ludopedia.com.br/jogo/brass-lancashire,brass-lancashire
Gloomhaven: Presas do Leão,8.91,9.09,776,https://ludopedia.com.br/jogo/gloomhaven-jaws-of-the-lion,gloomhaven-jaws-of-the-lion
Star Wars: Rebellion,8.9,9.04,1024,https://ludopedia.com.br/jogo/star-wars-rebellion,star-wars-rebellion
Twilight Imperium (4ª Edição),8.88,9.07,775,https://ludopedia.com.br/jogo/twilight-imperium-fourth-edition,twilight-imperium-fourth-edition
Mage Knight: Edição Definitiva,8.88,9.09,692,https://ludopedia.com.br/jogo/mage-knight-ultimate-edition,mage-knight-ultimate-edition
Duna: Imperium,8.88,8.99,1312,https://ludopedia.com.br/jogo/dune-imperium,dune-imperium
O Senhor dos Anéis: Duelo pela Terra Média,8.87,9.02,967,https://ludopedia.com.br/jogo/the-lord-of-the-rings-duel-for-middle-earth,the-lord-of-the-rings-duel-for-middle-earth
Duna: Imperium - Uprising,8.87,9.22,412,https://ludopedia.com.br/jogo/dune-imperium-uprising,dune-imperium-uprising
Harmonies,8.86,8.94,2006,https://ludopedia.com.br/jogo/harmonies,harmonies
Terra Mystica: Era da Inovação,8.86,9.31,315,https://ludopedia.com.br/jogo/age-of-innovation,age-of-innovation
The Castles of Burgundy,8.85,8.91,2325,https://ludopedia.com.br/jogo/the-castles-of-burgundy,the-castles-of-burgundy
Clank!: Catacombs,8.85,9.07,650,https://ludopedia.com.br/jogo/clank-catacombs,clank-catacombs
Slay the Spire: O Jogo de Tabuleiro,8.85,9.13,504,https://ludopedia.com.br/jogo/slay-the-spire-the-board-game,slay-the-spire-the-board-game
7 Wonders Duel,8.84,8.87,4383,https://ludopedia.com.br/jogo/7-wonders-duel,7-wonders-duel
Guerra do Anel (Segunda Edição),8.83,9.03,690,https://ludopedia.com.br/jogo/war-of-the-ring-second-edition,war-of-the-ring-second-edition
Great Western Trail: Segunda Edição,8.82,8.99,833,https://ludopedia.com.br/jogo/great-western-trail-second-edition,great-western-trail-second-edition
O Senhor dos Anéis: Jornadas na Terra Média,8.82,8.92,1407,https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth,the-lord-of-the-rings-journeys-in-middle-earth
Hegemonia: Conduza Sua Classe À Vitória - Edição Ampliada,8.8,9.11,459,https://ludopedia.com.br/jogo/hegemony-lead-your-class-to-victory-extended-edition,hegemony-lead-your-class-to-victory-extended-edition
Root,8.8,8.87,2171,https://ludopedia.com.br/jogo/root,root
Puerto Rico,8.8,8.83,3662,https://ludopedia.com.br/jogo/puerto-rico,puerto-rico
Clãs da Caledônia,8.79,8.89,1339,https://ludopedia.com.br/jogo/clans-of-caledonia,clans-of-caledonia
Clash of Cultures: Monumental,8.79,9.05,530,https://ludopedia.com.br/jogo/clash-of-cultures-monumental-edition,clash-of-cultures-monumental-edition
Spirit Island,8.78,8.91,1119,https://ludopedia.com.br/jogo/spirit-island,spirit-island
Puerto Rico 1897: Edição Especial,8.78,9.34,250,https://ludopedia.com.br/jogo/puerto-rico-1897-special-edition,puerto-rico-1897-special-edition
Wingspan,8.78,8.83,3029,https://ludopedia.com.br/jogo/wingspan,wingspan
Great Western Trail,8.76,8.84,1555,https://ludopedia.com.br/jogo/great-western-trail,great-western-trail
Lisboa,8.74,8.9,881,https://ludopedia.com.br/jogo/lisboa,lisboa
Twilight Struggle,8.73,8.83,1369,https://ludopedia.com.br/jogo/twilight-struggle,twilight-struggle
Um Banquete a Odin,8.72,8.85,1103,https://ludopedia.com.br/jogo/a-feast-for-odin,a-feast-for-odin
Wyrmspan,8.71,8.93,625,https://ludopedia.com.br/jogo/wyrmspan,wyrmspan
Everdell,8.71,8.77,2138,https://ludopedia.com.br/jogo/everdell,everdell
Heat: Pedal to the Metal,8.71,8.82,1264,https://ludopedia.com.br/jogo/heat-pedal-to-the-metal,heat-pedal-to-the-metal
Great Western Trail: Nova Zelândia,8.71,9.06,385,https://ludopedia.com.br/jogo/great-western-trail-new-zealand,great-western-trail-new-zealand
